# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hycC//malY//
Ada	rhaA//iscS//yedX//purH//
AdiY	hypF//dapB//argA//umuC//
AgaR	lysC//
AidB	relA//
AlaS	alkA//
AllR	polA//caiD//gpmA//caiB//galK//galM//
AraC	gcvH//ttdB//murC//aldA//tauD//kbaY//
ArgP	umuC//pnp//iscS//eda//aceA//hemL//carA//ldtD//phnJ//
ArgR	truB//entB//dmsA//tnaA//nagA//glpD//glpQ//ruvB//dgkA//paaH//phnI//tynA//iscS//dkgA//lacZ//guaB//cadA//mazG//mngB//pgaD//hycB//glpD//slt//
ArsR	carA//ribA//
AscG	nirB//rsmH//
AtoC	pck//lacA//nanM//
BaeR	gcvT//glpK//
BasR	purA//citD//rbsK//
BirA	aceB//aceE//dapD//glnA//ruvB//
BluR	
BtsR	bioA//
CadC	srkA//argA//narH//
CaiF	araB//ssuD//murG//cysE//purF//
Cbl	aroF//cynT//nadB//glyA//pspE//
CecR	pflB//
ChbR	gcvT//cysK//sbcC//
ComR	
CpxR	edd//glnA//mhpF//hycD//murI//fabH//astE//ychF//pykF//dapB//napH//nrfA//aspA//wrbA//aceF//
Cra	fbaA//treC//phnG//glmS//glcE//malY//rbsK//ftnA//malY//entH//phnM//argA//tdcE//pyrC//mpaA//purD//aroG//ugpQ//nrdE//relA//aroL//udp//ada//citX//trpD//phnP//
CreB	
CsgD	araD//glmS//xylA//purH//
CspA	
CueR	astC//lysC//
CusR	yedX//feaB//
CynR	mdh//rimK//ugpQ//
CysB	atoB//astA//folA//wzb//deoB//deoA//guaB//pgk//glnA//
CytR	astD//hmp//alkA//dapB//puuD//paaJ//nanE//phnH//hcaD//
DcuR	codA//glpA//entE//truB//
DeoR	fabD//ahpF//melA//paaE//
DicA	
