# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	murQ//phoA//
Ada	gcvT//putA//nrdE//appA//
AdiY	ynfE//aroG//luxS//fes//
AgaR	fdhF//
AidB	poxB//
AlaS	pdeR//
AllR	paaE//recD//paaY//aroL//rbsK//narH//
AraC	patD//hyaC//malP//murD//argI//nanE//
ArgP	hypB//glxK//astE//araD//hcaB//araD//hycE//epd//luxS//
ArgR	frdA//lacA//gcvH//hcaE//sbcD//wrbA//entD//ccp//glpA//galT//alkA//kbaY//paaJ//carB//argI//treC//hycC//trpB//murF//aroL//gltD//truB//nrdD//
ArsR	lsrF//fabA//
AscG	dapD//paaG//
AtoC	gloA//caiB//purN//
BaeR	wzb//fabG//
BasR	phnH//tauD//kbaY//
BirA	rbsD//hmp//katG//bioB//pdeL//
BluR	
BtsR	gapA//
CadC	fumB//deoC//ulaD//
CaiF	ppsA//feaB//phnM//murI//paaY//
Cbl	murG//rutD//metC//wzc//atoA//
CecR	mhpC//
ChbR	malQ//argB//hcp//
ComR	
CpxR	pgaB//hycD//rbsD//yedX//bglB//fumC//rbsD//trpE//caiA//ttdA//caiD//sodA//pgaB//cysG//allB//
Cra	moaD//acnA//phnI//hypB//hcaC//gltD//hcaC//purF//lysC//mdh//lsrK//ung//glmU//paaF//argA//alkA//aceE//hmp//cynT//fadD//aroF//nanK//paaE//ppiA//adiA//pfkA//
CreB	
CsgD	mraY//mdh//purC//phnM//
CspA	
CueR	puuE//puuA//
CusR	trpC//phnI//
CynR	cynS//yfdE//malP//
CysB	fadI//dapB//umuC//glpD//uxuB//entH//gcl//caiC//nagA//
CytR	ascB//luxS//nemA//guaB//tyrA//caiA//nanK//murI//alaS//
DcuR	ahpF//glcF//fabD//hycD//
DeoR	citC//gloA//napH//rsmH//
DicA	
DinJ-YafQ	nrfA//
DnaA	nanA//folE//napH//ppsA//moaC//nrfD//
DpiA	argH//glcE//phnI//carB//pgaB//
EnvR	carA//paaE//
EvgA	murF//glpA//cynS//putA//bioF//
ExuR	
FabR	entB//paaE//umpH//
FadR	aldA//fabG//frdA//tdcG//glpK//nrfA//ilvC//nagB//garR//dmsC//fumC//ychF//glcE//ada//mazG//
FeaR	purD//phnO//
FhlA	hcp//folE//malY//entH//argI//paaG//citC//
FlhDC	purH//tdcD//
FliZ	puuC//argI//ychF//gcvH//gadA//
