# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	pnp//ldtD//
Ada	mhpE//aroL//ppiA//phnN//
AdiY	nrfC//epd//aceA//hycD//
AgaR	aceF//
AidB	ndh//
AlaS	alkA//
AllR	mhpA//trpA//ulaF//murQ//ilvC//ulaF//
AraC	nanA//citF//fadI//murC//galT//ruvA//
ArgP	ppiA//rutB//waaY//frdD//fabI//aceA//rutB//bioC//astE//
ArgR	moaE//caiA//atoB//deoD//hycE//lysC//bioF//bioF//fumB//pnp//araD//glcB//sbcD//astD//murQ//dgcZ//entB//feaB//glpK//gadA//mdh//gcl//ldtD//
ArsR	carB//cynT//
AscG	ada//lsrK//
AtoC	aceF//sufS//pykF//
BaeR	folA//murI//
BasR	cdd//hcaE//accC//
BirA	napA//mhpA//pnp//glmS//paaH//
BluR	
BtsR	paaK//
CadC	melA//glcE//paaK//
CaiF	rhaD//dmsB//carB//fabD//argC//
Cbl	moaC//narG//moaE//tdcE//atoB//
CecR	cynT//
ChbR	eda//trpC//citD//
ComR	
CpxR	aspA//ung//kbaZ//rutD//srkA//fabH//purC//frdB//recB//wzb//ftnA//argG//ttdB//hycF//hycE//
Cra	recF//adiA//yedX//entA//aldA//cysE//pykF//rsmH//folE//moaC//accA//hycE//aceE//malP//fumC//pfkA//hcp//relA//phnH//ftsI//zwf//mhpD//nadB//alkB//tynA//citC//
CreB	
CsgD	rutB//fabB//bioB//aceE//
CspA	
CueR	rhaB//umuC//
CusR	waaZ//napG//
CynR	alaS//fes//wzb//
CysB	deoD//yedX//rbsK//pyrC//hemH//ruvB//tyrB//udp//purN//
CytR	nagA//umpH//slt//araB//fumC//purM//nirD//guaA//gltB//
DcuR	wrbA//fabG//cynS//phoA//
DeoR	mhpA//fadD//zwf//kbaY//
DicA	
DinJ-YafQ	nagB//
DnaA	torA//dmsB//pnp//dapD//trpA//glpX//
DpiA	tyrA//fdhF//mpaA//ynfF//hypF//
EnvR	srkA//ccp//
EvgA	murI//tdcG//rhaB//add//nagB//
ExuR	
FabR	fabI//atoD//caiC//
FadR	chbF//ascB//galM//rhaA//sbcD//sbcD//nadB//nrdD//glpA//malY//arsC//purA//argB//arsC//paaC//
FeaR	murE//recB//
FhlA	tauD//uxuA//deoA//lpd//eda//frdC//citE//
FlhDC	murE//fumC//
FliZ	lacZ//waaY//glnA//gadA//frdD//
Fur	entE//citC//sbcD//tdcG//zwf//aceA//sbcD//aroF//wzb//gloA//puuD//rsmH//murE//gadA//rutE//ssuD//paaH//nfsB//ycjG//nanA//recF//nanE//fabD//edd//wrbA//guaA//accA//grxA//slt//tdcB//bglB//
GadE	rhaD//malP//ynfE//
GadE-RcsB	torC//pdeR//mazG//accD//galK//
GadW	purD//astC//murQ//
GadX	alaC//patD//aceF//ndh//paaZ//
GalR	luxS//phnP//argE//paaZ//glnA//
GalS	ribA//argH//bioD//glpX//aceA//
GcvA	umuC//pgaD//polA//
GlcC	rhaB//umuC//rimK//
GlpR	metF//argG//ada//cysG//ydcS//pnp//cdd//
GlrR	
GntR	grxA//pyrC//moaA//purM//fdhF//
HU	glcE//napB//bioA//pdeR//
HcaR	nanM//sodA//
HdfR	
HigA	metF//
HigB-HigA	hyaA//
HipAB	ascB//aceF//
HipB	nrdD//malQ//paaC//
HprR	gpmA//ulaE//
HypT	entC//hcaF//
IclR	ribA//phnN//paaK//
IlvY	napB//
IscR	hcaE//pgaC//gcvP//glpB//adhE//dgcZ//polB//
KdgR	galM//
KdpE	ftnA//
LacI	cysG//mhpF//fdhF//
