# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	frc//ung//
Ada	torA//tdcD//atoD//uxuA//
AdiY	nrdA//add//slt//pyrC//
AgaR	fadD//
AidB	phnH//
AlaS	glxK//
AllR	cysM//fabB//feaB//poxB//pgk//phnI//
AraC	araB//nanE//purC//bioF//galM//murE//
ArgP	hyaB//nemA//guaA//alkA//fadD//aspA//glcE//hypF//frdB//
ArgR	ribA//aceE//treC//nrdA//pdeL//frdD//tyrB//nrdA//nanK//hypF//phnM//caiA//napA//purB//fadH//aroL//hcaD//aceF//glmU//rutE//nanM//trpC//nrfC//
ArsR	deoC//bioA//
AscG	atoA//paaI//
AtoC	ttdB//gpmA//mhpF//
BaeR	deoC//paaG//
BasR	gadB//appA//atoD//
BirA	gcvT//glpB//fumC//citG//mraY//
BluR	
BtsR	lsrF//
CadC	glpQ//frdD//trpA//
CaiF	garK//tynA//hcaB//atoD//fumC//
Cbl	lsrK//tyrB//rbsD//entE//fabI//
CecR	mngB//
ChbR	frdB//gapA//mhpA//
ComR	
CpxR	bioD//narG//cysG//entB//ynfG//gcl//patD//glcF//treC//glyA//argA//dmsC//umpH//slt//phnH//
Cra	murG//hycC//carA//accA//deoB//trpC//lpd//garR//ascB//nirB//phnO//polA//hycF//hcaF//pspE//argD//ldtC//rhaB//caiD//entA//umpH//purN//yfdE//ssuE//pflB//ttdB//
CreB	
CsgD	iscS//malY//citG//dmsC//
CspA	
CueR	nanK//argI//
CusR	ulaE//citG//
CynR	epd//purA//hyi//
CysB	paaH//gcvH//murQ//caiB//eda//epd//yfdE//citC//nrdD//
CytR	pflB//purD//lsrF//nrdB//lsrK//tyrA//dgcC//lsrG//mhpC//
DcuR	ugpQ//pdeR//pgaD//lysC//
DeoR	tynA//hcaB//dmsA//ttdB//
DicA	
DinJ-YafQ	nrdB//
DnaA	ada//hcaE//chbG//alaS//carB//rutA//
DpiA	araB//paaY//dgcC//tauD//guaB//
EnvR	mhpC//gltB//
EvgA	nanM//galK//gcl//accD//tyrA//
ExuR	
FabR	polA//napG//ccp//
FadR	nfsA//glyA//hmp//puuC//hycF//paaH//fabG//atoB//purH//metA//argG//astE//citF//puuC//hycB//
FeaR	argC//rutC//
FhlA	gcvP//melA//pgk//argI//glcE//paaI//frdC//
FlhDC	glcE//ccp//
FliZ	hycD//eda//hyi//dkgA//cysE//
Fur	dmsA//garK//dgcZ//alkB//fumC//aceF//dapB//alaC//ruvB//ugpQ//tdcG//phnN//frdD//gntK//phnH//purC//mhpD//trpA//argE//treC//tyrB//yqhD//acnA//ulaF//tynA//nrfC//umpH//alkB//acnA//ilvC//rbsD//
GadE	astD//glpQ//ahpC//
GadE-RcsB	hyaC//mraY//torA//lsrK//mhpE//
GadW	purF//astC//luxS//
GadX	fumB//paaC//wzb//nrdD//codA//
GalR	ung//argG//alaC//murG//rbsD//
GalS	rhaB//paaC//aceF//glpX//metE//
GcvA	fadI//trpB//fabH//
GlcC	murE//phoA//murI//
GlpR	argC//eda//paaI//rutC//napB//metF//cysE//
GlrR	
GntR	fabI//mtlD//glpX//arsC//metA//
HU	phnO//nagB//entC//pgaD//
HcaR	citG//melA//
HdfR	
HigA	nirD//
HigB-HigA	argB//
HipAB	cueO//galK//
HipB	murQ//narG//ugpQ//
HprR	zwf//garK//
HypT	galM//recB//
IclR	pyrC//gltB//nrdE//
IlvY	ulaD//
IscR	bioC//gcvP//gcvT//edd//rutE//glpK//mazG//
KdgR	phnJ//
KdpE	gltB//
LacI	nanK//ndh//hmp//
LeuO	udp//ldtC//frdC//
LexA	glpX//frdD//wrbA//paaF//lysC//glpD//hypF//paaC//nrdA//
LldR	guaA//puuB//
LrhA	
LsrR	aceE//murD//tynA//dmsA//nanK//
MalI	hycE//puuC//
MalT	guaB//waaZ//araB//murC//
MarA	dapD//caiC//purM//ogt//ydcS//lysA//phnG//poxB//tdcD//rutC//citE//lldD//
MarR	
MatA	slt//
MazE	fumC//
MazE-MazF	napG//
McbR	
MelR	ascB//glpB//
MetJ	pykF//hyi//astE//ung//mhpB//
MetR	glnA//paaA//hycG//
MhpR	fadJ//glcB//gapA//metE//cysG//alkB//
Mlc	ftsI//nanE//accA//
MlrA	xylA//
MngR	ppsA//fau//
MntR	purA//
ModE	bioD//lacA//alkA//hycD//luxS//murE//bioA//cysM//sufS//mngB//aroL//torC//cysK//hycF//atoB//
MprA	astB//
MqsA	fes//purH//
MraZ	trpE//ynfE//ftnA//cynS//rutD//gadA//entA//astE//paaH//hycB//
MurR	fabD//yqjH//argI//
Nac	sodA//ruvB//ppiA//nanM//
NadR	pspE//
NagC	guaA//caiA//mhpC//cysK//nfsB//ndh//phnG//ubiX//ogt//ldtC//oxc//glcD//astA//rbsD//
NanR	argC//yqhD//metC//galK//lpd//argD//
NarL	entB//purC//dmsB//alaC//tam//fabG//tynA//rhaB//codA//garR//malP//narI//murG//mdh//argF//tyrA//fes//nrdA//phnI//mraY//paaK//alaC//xylB//ribA//
NarP	cysG//torC//astD//puuC//phnG//gdhA//malQ//pnp//ppiA//
NemR	malQ//hcaC//
NhaR	araD//alkB//citG//ascB//wrbA//
NikR	hycB//
NimR	phoA//
NorR	pykF//
NrdR	appA//paaI//caiC//bglB//
NsrR	aroH//rhaA//mraY//tdcD//garR//hcaC//
NtrC	citC//entH//aceF//astC//cysM//fumB//glcF//srkA//
OmpR	alaC//fadH//ulaE//wzc//luxS//araA//puuE//chbF//
OxyR	mazG//gcvT//phoA//tam//glmS//entD//frdA//dapD//hcaD//fes//tdcD//entC//alkA//
PaaX	hycD//hyaA//paaG//hcaD//bglB//argD//paaZ//frdD//deoC//
PdeL	gltB//
