# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argC//caiB//
Ada	nrdF//paaZ//glxK//argF//
AdiY	nagB//phnH//cueO//nirB//
AgaR	metF//
AidB	wzc//
AlaS	paaY//
AllR	rutC//gloA//hmp//phnI//tynA//mhpB//
AraC	umuC//yfdE//melA//ynfF//atoB//glpK//
ArgP	paaF//argH//trpC//araB//gdhA//purB//mraY//gcl//entC//
ArgR	deoC//wrbA//hycC//hcaE//cysG//rhaB//mhpF//purD//udp//fabA//glpB//pyrC//lacA//ftsI//polB//argD//rutA//hycE//slt//nemA//hcaE//napG//malY//
ArsR	purA//fadH//
AscG	galT//bioB//
AtoC	fadD//pdeL//zwf//
BaeR	xylA//dgkA//
BasR	moaA//hcaF//astB//
BirA	aceE//folE//tyrA//phnG//patD//
BluR	
BtsR	mhpC//
CadC	rhaA//entC//hcaB//
CaiF	tdcB//fdhF//citE//fes//phnI//
Cbl	rhaA//nagB//rbsD//garK//tdcB//
CecR	hcp//
ChbR	mpaA//garK//glpK//
ComR	
CpxR	lsrF//mhpC//accD//fes//ruvA//aspA//phnM//nrfC//fadD//malP//argA//hycD//waaZ//tynA//glpX//
Cra	epd//citD//nrfD//paaF//cyoE//argB//kbaZ//citE//napA//aceF//tynA//gapA//pspE//rbsK//malP//fadE//ycjG//hcp//pflB//dkgA//sodA//dkgA//ugpQ//phnO//accC//hcp//
CreB	
CsgD	rbsD//dmsC//argB//nanM//
CspA	
CueR	hypF//luxS//
CusR	deoC//mdh//
CynR	ada//fadD//tdcD//
CysB	glpA//recF//phnJ//gpmA//pdeL//pdeL//nirB//aldA//waaY//
CytR	umuC//glpD//aspA//mdh//gadB//phnM//aceF//carB//nanM//
DcuR	araB//cysM//aroH//bioF//
DeoR	cysM//dmsB//metF//fabH//
DicA	
DinJ-YafQ	uxuB//
DnaA	ygeA//argH//appA//cysG//ogt//metA//
DpiA	glcD//glpD//nirB//gcvT//mpaA//
EnvR	glxK//entC//
EvgA	pgk//ldtD//gcvT//purM//phnM//
ExuR	
FabR	rutD//cynT//pdeR//
FadR	epd//citD//tauD//nfsB//moaC//nrdA//mpaA//tdcG//citC//pdeL//hyaB//araB//frdB//fadJ//fumC//
FeaR	fadJ//melA//
FhlA	entB//hcaE//dmsC//lsrF//puuA//feaB//aceF//
FlhDC	fdhF//recD//
FliZ	treC//dgcC//rsmH//garK//cynS//
Fur	glcD//argD//aroH//rnpB//umpH//nrdD//hyaB//adiA//mraY//glpX//gadA//citG//putA//ssuE//tnaA//fabB//glmU//garK//uxuB//rbsK//nirD//slt//paaY//citE//relA//puuA//bglB//argE//glpQ//lpxC//paaZ//
GadE	purA//nrfD//torC//
GadE-RcsB	ruvA//relA//eda//rutB//atoA//
GadW	ftsI//iscS//pfkA//
GadX	paaZ//nagB//cyoE//sufS//mazG//
GalR	entA//tdcB//paaJ//phnN//metE//
GalS	purH//yedX//hypF//moaA//mngB//
GcvA	waaY//entF//galT//
GlcC	mtlD//mraY//purC//
GlpR	nrdA//trpE//chbG//tnaA//murD//ynfG//paaC//
GlrR	
GntR	nanE//lldD//yfdE//recB//paaA//
HU	puuB//nrdD//paaI//hypF//
HcaR	ynfF//gltB//
HdfR	
HigA	wrbA//
HigB-HigA	fabG//
HipAB	ulaD//paaF//
HipB	glcD//lpxC//moaE//
HprR	torA//glxK//
HypT	bglB//pnp//
IclR	nanM//pgaC//nanK//
IlvY	tynA//
IscR	mhpE//bioC//aceF//phnM//yqhD//lsrK//hypF//
KdgR	torC//
KdpE	pspE//
LacI	phnM//acnA//tdcE//
LeuO	glcE//astD//lldD//
LexA	accC//feaB//umuD//paaZ//ycjG//entA//lpxC//glpQ//caiD//
LldR	polA//ribA//
LrhA	
LsrR	wzc//edd//metE//purB//ydcS//
MalI	nagA//wzb//
MalT	xylB//folE//bioB//atoB//
MarA	paaF//phnJ//gntK//poxB//folA//glmS//lysA//astB//mngB//pgk//frc//hypB//
MarR	
MatA	ynfH//
MazE	wzc//
MazE-MazF	aspA//
McbR	
MelR	pgk//argF//
MetJ	kbaZ//purD//ndh//cysE//pgaB//
MetR	hycD//pfkA//treC//
MhpR	allB//yfdE//argG//ppsA//hcaC//kbaZ//
Mlc	narG//iscS//polA//
MlrA	hycC//
MngR	xylB//hycC//
MntR	deoA//
ModE	gadA//hcaE//hcaE//astA//fabD//pgaB//citX//hycF//metF//metC//caiC//pck//folA//ttdA//paaH//
MprA	hyaA//
MqsA	nrfD//mpaA//
MraZ	luxS//cysE//phoA//pyrC//metC//glnA//mpaA//galK//fabD//atoD//
MurR	hycE//gpmA//fabA//
Nac	narI//lldD//eno//cysM//
NadR	glcD//
NagC	glmU//aceE//puuB//gadB//nagA//rutB//garL//astB//polB//narG//argF//gapA//phoA//puuC//
NanR	nrdB//hycC//arsC//hyi//cysG//atoA//
NarL	entB//gltB//nirB//aceF//fumC//adiA//napG//galT//nanK//nrdB//codA//tdcB//glxK//lsrK//deoC//galT//yqhD//aroF//gltD//umuD//rhaD//gcvP//trpC//mdh//
NarP	torC//nadB//hyaA//tnaA//purC//hycE//carA//icd//mpaA//
NemR	argF//trpC//
NhaR	citD//rutB//paaI//puuA//rhaA//
NikR	atoD//
NimR	napB//
NorR	citD//
NrdR	cysK//gltB//melA//fabI//
NsrR	tynA//uvrB//caiA//sbcD//ruvB//purH//
NtrC	yqjH//cadA//puuE//hyaB//murI//citC//wrbA//tauD//
OmpR	cdd//nrdE//zwf//ygeA//fabA//folA//lacZ//chbF//
OxyR	caiB//fes//hyaC//malQ//rutE//nrfA//bioA//hypB//fumB//pyrC//deoB//lacA//katG//
PaaX	torC//dmsA//dgcC//fabD//dmsB//pykF//guaB//rnpB//mhpA//
PdeL	poxB//
PdhR	paaZ//frdA//entF//hcaD//entE//ulaG//torA//hycB//fabD//relA//phnM//dgcZ//cysK//gltD//araD//aceA//frdA//rnpB//fes//dmsB//astE//uvrB//
PepA	nfsB//araD//
PgrR	yedX//paaJ//
PhoB	araA//citX//rsmH//ygeA//ascB//ogt//pyrC//glpK//wzb//uvrB//glcB//ubiX//phoA//sbcC//atoD//
PhoP	glpK//paaB//mhpE//
PspF	hyaA//
PurR	udp//ldtD//folE//phnL//deoD//bglB//ascB//pnp//tam//frdB//bioA//argI//
PutA	ubiX//phnN//
PuuR	deoD//wrbA//tnaA//pyrC//hcaD//treC//
QseB	
RbsR	phnN//trpC//dgcC//waaY//araB//zwf//
RcdA	xylA//
RclR	
RcnR	ruvA//
RcsAB	wzc//allB//
RcsB	ugpQ//tdcE//
RcsB-BglJ	rutD//nrfD//
RelB	add//
RelB-RelE	deoB//
RhaR	
RhaS	araD//galE//hcaD//paaJ//
Rob	eno//paaZ//deoA//moaC//
RstA	oxc//
RutR	hycF//ribA//tyrA//slt//rhaB//fdhF//dapB//mpaA//malQ//entA//
SdiA	
SgrR	hycD//rutB//rhaA//
SlyA	trpD//nfsA//sbcD//rutA//ccp//rhaD//alkB//appA//hcp//
SoxR	paaB//
SoxS	aceE//malP//dmsB//argB//ribA//cueO//napB//moaD//ynfH//phnI//moaD//paaE//glmS//narH//metC//ilvC//
StpA	araA//
SutR	gltD//gntK//
TdcA	pgaC//ychF//frdA//ssuD//allB//
TdcR	ycjG//purN//trpE//glyA//ddlB//
TorR	paaJ//rhaD//torA//eda//
TreR	nanA//metC//
TrpR	hcaC//lpxC//ahpC//garR//nanE//trpC//pgk//moaE//pnp//
TtdR	fadH//dkgA//
TyrR	pfkA//cdd//mhpC//trpB//aspA//wzc//napB//treC//lsrF//
UhpA	rimK//
UlaR	paaE//caiB//hcaD//ttdB//yqjH//
UvrY	dkgA//lysC//
UxuR	ynfG//pflB//rsmH//
XylR	bioF//citX//argC//
YdeO	glcD//acnA//mpaA//
YefM	trpB//
YefM-YoeB	mazG//
YhaJ	
YjjQ	
YpdB	
YqhC	luxS//pgk//
YqjI	galM//
ZntR	murI//
ZraR	
Zur	fadJ//
