# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	wzb//gapA//
Ada	garL//fabG//carB//phnN//
AdiY	entC//melA//pykF//nrfC//
AgaR	tdcD//
AidB	nrdF//
AlaS	entF//
AllR	atoB//umpH//araB//xylA//gltD//puuB//
AraC	galK//purN//chbF//ssuD//ahpF//purF//
ArgP	dgcZ//ribA//xylA//moaD//fadD//nanE//adhE//caiC//nrfD//
ArgR	folE//cysE//acnA//recB//trpD//hyaB//napB//argG//ulaF//lsrF//allB//phnG//cysM//aroF//gloA//kbaZ//appA//ccp//ribA//malQ//metE//moaE//gcvP//
ArsR	carB//aroG//
AscG	cdd//gcvP//
AtoC	fumC//astC//frdC//
BaeR	gadA//purB//
BasR	gloA//xylA//zwf//
BirA	ugpQ//epd//umuC//wzb//lsrF//
BluR	
BtsR	cueO//
CadC	hycE//cyoE//eda//
CaiF	mhpF//ogt//argA//glmS//ynfG//
Cbl	tynA//luxS//rhaD//purD//frdB//
CecR	fumB//
ChbR	wzb//ugpQ//nirB//
ComR	
CpxR	mraY//tynA//frdD//mdh//ychF//mhpF//murE//fumB//nadB//paaC//malQ//hycC//hycF//gloA//rbsK//
Cra	metC//uxuA//ruvB//truB//hcaC//trpB//rsmH//mazG//rhaA//hcaF//cadA//pnp//lsrG//argD//narG//lysA//guaB//fau//srkA//phnN//aceF//ulaE//paaC//malY//uvrB//nanM//
CreB	
CsgD	phoA//napA//nanM//pgaD//
CspA	
CueR	xylA//sodA//
CusR	metE//nrdB//
CynR	feaB//bioB//gcvH//
CysB	citC//bioC//ddlB//murE//pykF//torA//tyrB//murF//lacA//
CytR	fadE//metF//ydcS//ftsI//rutD//trpB//moaC//sodA//gadA//
DcuR	pdeR//ulaG//fabI//astD//
DeoR	gcvH//glxK//lsrK//glpD//
DicA	
DinJ-YafQ	alkB//
DnaA	pfkA//icd//yqjH//ilvC//paaE//lsrK//
DpiA	puuE//gntK//narI//glpX//umuD//
EnvR	napB//argD//
EvgA	caiC//nrfD//wzc//fabH//ldtC//
ExuR	
FabR	narG//metE//murE//
FadR	hcaB//atoA//argF//astD//putA//oxc//hycB//dgcZ//napB//phnP//caiA//add//argH//glcF//glnA//
FeaR	purN//trpB//
FhlA	sbcC//xylA//tnaA//wzc//pykF//bglB//glpA//
