# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	alaS//tnaA//
Ada	ascB//hycE//ogt//ruvA//
AdiY	phoA//ygeA//edd//add//
AgaR	putA//
AidB	ung//
AlaS	mhpA//
AllR	argF//murD//patD//pck//moaD//adhE//
AraC	purB//adiA//napB//argF//caiA//entB//
ArgP	ubiX//citD//gcvH//nanA//gloA//aceB//ribA//dgcZ//waaZ//
ArgR	purN//glxK//rutB//ynfH//hcaF//glcE//cynS//hyi//moaA//folE//wzc//paaY//cysE//lsrG//glpX//glcE//yfdE//feaB//hyaC//tauD//aspA//cueO//ydcS//
ArsR	metE//citC//
AscG	mpaA//mhpB//
AtoC	glpD//ogt//narG//
BaeR	lsrG//ribA//
BasR	napG//umuC//poxB//
BirA	fbaA//citE//aceF//murD//frdC//
BluR	
BtsR	paaA//
CadC	allB//gadB//astC//
CaiF	oxc//nanA//bioB//nagB//carB//
Cbl	mraY//hypB//ppiA//lacZ//phnN//
CecR	ldtD//
ChbR	lldD//patD//pdeL//
ComR	
CpxR	paaH//ppsA//pykF//napB//nrdD//cyoE//tdcB//argH//truB//hyaA//araA//paaI//lpxC//argE//kbaY//
Cra	argF//cysE//purC//tam//galE//nirB//phnH//mhpF//hycC//gcl//garL//hcp//purA//relA//glpD//fadI//yqhD//entC//phnP//nirD//folA//polB//aroH//fumB//rhaA//katG//
CreB	
CsgD	nrfA//chbF//hycG//napG//
CspA	
CueR	pflB//metA//
CusR	codA//fadI//
CynR	tdcD//mhpA//rutA//
CysB	araA//ogt//nrdF//ugpQ//ilvC//kbaZ//rbsD//yfdE//gadA//
CytR	gntK//murE//alaC//epd//purH//ftnA//puuC//aroL//fadE//
DcuR	fes//lysC//aroH//uxuA//
DeoR	ddlB//phnN//metF//nagB//
DicA	
DinJ-YafQ	melA//
DnaA	epd//recD//sufS//aceB//ahpC//alaC//
DpiA	paaA//ruvB//fadI//phnP//narI//
EnvR	mhpD//rhaA//
EvgA	entH//eda//deoD//mngB//phnP//
ExuR	
FabR	caiB//paaF//ldtD//
FadR	frdB//glcF//rutA//lpxC//ubiX//fabA//ftnA//murE//mhpA//citC//lacZ//feaB//codA//oxc//paaF//
FeaR	hyaB//glpC//
FhlA	paaY//umuD//feaB//garR//iscS//dmsB//tyrA//
FlhDC	hcaF//lacA//
FliZ	phnM//metA//nrfA//paaK//argD//
Fur	lpd//ubiX//murQ//rhaD//mpaA//araB//nrfC//phnI//rhaA//rbsK//galT//deoA//aroH//deoA//allB//glpD//recD//astE//ccp//hypB//waaY//acnA//ugpQ//ldtD//edd//ulaE//dgkA//kbaY//pfkA//paaG//astC//
GadE	ilvC//cysE//argC//
GadE-RcsB	murG//murI//entB//accD//fumB//
GadW	nrdE//paaG//ssuD//
GadX	glcE//oxc//acnA//zwf//galT//
GalR	waaZ//gpmA//ada//tyrB//eno//
GalS	grxA//gltD//appA//gcvP//nrdB//
GcvA	paaZ//lsrF//ribA//
GlcC	puuA//rutA//pgaD//
GlpR	pgaD//phoA//murG//trpA//acnA//gloA//pykF//
GlrR	
GntR	ulaF//lacZ//ascB//hcaD//aceF//
HU	alkA//srkA//fabH//nrdD//
HcaR	murE//pdeL//
HdfR	
HigA	phnH//
HigB-HigA	nanM//
HipAB	relA//nrdF//
HipB	tdcB//mhpF//nrdD//
HprR	argI//cadA//
HypT	paaK//nrdD//
IclR	sufS//adhE//nrdB//
IlvY	nrdD//
IscR	lsrF//gadB//gdhA//fadJ//araA//grxA//nrdD//
KdgR	astB//
KdpE	malP//
LacI	fes//chbF//mraY//
LeuO	citF//pgaD//murC//
LexA	glpK//glyA//srkA//moaA//fdhF//garR//yfdE//ulaG//fdhF//
LldR	fes//mtlD//
LrhA	
LsrR	entH//hycG//puuD//hyaA//hcaC//
MalI	umuC//nrfD//
MalT	nrfD//waaZ//lysC//allB//
MarA	narI//lpd//ulaF//trpE//ldtC//narH//phnO//nrfA//allA//add//ycjG//kbaY//
MarR	
MatA	atoA//
MazE	paaG//
MazE-MazF	fabH//
McbR	
MelR	glpK//paaG//
MetJ	ahpF//hypF//nrdE//fumC//entD//
MetR	sodA//hcaD//epd//
MhpR	mpaA//galE//phnM//puuE//carA//fdhF//
Mlc	tdcB//accA//iscS//
MlrA	ttdA//
MngR	narG//gadA//
MntR	paaZ//
