# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	deoD//gadA//
Ada	pspE//adiA//phnL//ftnA//
AdiY	galK//paaC//caiB//deoA//
AgaR	metF//
AidB	entA//
AlaS	eda//
AllR	caiD//phnH//glpK//tdcG//napA//umuC//
AraC	hycE//hemH//paaG//aceE//sodA//cdd//
ArgP	nemA//aceB//nfsB//pgaD//poxB//narH//allB//glcE//poxB//
ArgR	purC//glcB//phnN//dkgA//caiD//cysK//cysM//phnH//rhaD//gadB//napB//entF//katG//murQ//nanE//paaC//gcl//ulaG//hcaE//allB//paaY//alaS//pgaB//
ArsR	glcB//napG//
AscG	pdeR//ulaF//
AtoC	ung//ynfF//lsrK//
BaeR	lpxC//hyi//
BasR	gntK//glxK//pyrC//
BirA	purB//moaA//tyrB//relA//nrfD//
BluR	
BtsR	purD//
CadC	ynfF//iscS//gntK//
CaiF	paaC//hcaE//trpE//hcp//dmsB//
Cbl	bglB//gcvH//cynT//kbaY//oxc//
CecR	paaH//
ChbR	bglB//fdhF//fumC//
ComR	
CpxR	glpX//hcaF//ada//atoB//fabI//xylB//hcaE//murF//cysE//carA//polA//icd//pgaC//uxuB//pgk//
Cra	lpxC//hcp//luxS//tdcB//frdB//caiD//tdcB//rutB//gltB//zwf//glpC//ychF//phoA//folE//argE//murQ//entA//cysK//argA//cueO//moaC//rnpB//gcvT//caiB//ynfF//pdeL//
CreB	
CsgD	pgaD//aceF//hyaB//kbaY//
CspA	
CueR	caiA//rsmH//
CusR	hcaF//rhaB//
CynR	gadB//icd//umuD//
CysB	galK//lldD//phnI//paaK//ulaG//rutB//tyrA//argH//ruvB//
CytR	oxc//hemH//hcaC//paaC//ahpC//icd//yqjH//purB//oxc//
DcuR	polA//lacA//recB//fdhF//
DeoR	lldD//aceE//nrdE//bioB//
DicA	
DinJ-YafQ	astB//
DnaA	bglB//recD//umuC//murQ//glpD//phnP//
DpiA	accC//purF//alkA//ada//hyaB//
EnvR	fabH//murG//
EvgA	ccp//argI//purD//ribA//phnJ//
ExuR	
FabR	citG//bglB//wrbA//
FadR	ndh//astB//ddlB//ribA//frdB//hycG//tyrB//atoA//xylA//hycD//argA//truB//phnN//torA//mdh//
FeaR	icd//entE//
FhlA	ynfG//fadD//ahpF//yedX//rutB//purH//ulaD//
FlhDC	ruvB//purM//
FliZ	caiB//caiB//frdB//ttdA//entA//
Fur	nrfC//alkA//murQ//chbF//gcvP//pgaC//puuA//nanK//fabH//ndh//astC//puuD//atoA//narG//cysK//rutD//fbaA//ulaE//caiD//murQ//hycD//argC//hypF//mhpE//trpE//glpD//metA//tam//murE//caiC//citG//
GadE	ydcS//pgaD//gcvH//
GadE-RcsB	galE//entH//pgaB//nanM//alkA//
GadW	nrdB//hyi//phnH//
GadX	yqjH//ulaE//feaB//pgaD//purN//
GalR	paaC//nadB//metE//glpB//frdB//
GalS	sbcC//gloA//ogt//hycC//ynfE//
GcvA	gadB//glcE//cdd//
GlcC	aceF//bioF//alkB//
GlpR	lpxC//hycE//araA//bioA//ahpF//grxA//mhpB//
GlrR	
GntR	nirB//trpC//frdB//pgk//nanE//
HU	chbG//putA//mhpC//phnO//
HcaR	deoB//frdB//
HdfR	
HigA	recF//
HigB-HigA	caiA//
HipAB	hypF//moaE//
HipB	rhaD//narG//paaC//
HprR	fabI//ppsA//
HypT	mhpB//dapB//
IclR	pdeL//ubiX//trpB//
IlvY	sodA//
IscR	trpA//gadA//hycB//ssuE//cadA//frdA//purF//
KdgR	paaC//
KdpE	entH//
LacI	nfsB//fabD//nrfA//
LeuO	poxB//frdB//torC//
