# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynS//pfkA//
Ada	murC//aceE//metE//phoA//
AdiY	rutB//pck//ccp//ulaE//
AgaR	argF//
AidB	bioA//
AlaS	metC//
AllR	appA//aceB//glnA//hyaA//deoA//rutB//
AraC	guaA//chbG//gapA//yqhD//add//dgcZ//
ArgP	appA//xylA//fadJ//truB//tdcE//tynA//aceF//hyi//aceA//
ArgR	alkA//frdA//ulaE//cynS//hyaA//garK//aceF//ssuD//umuC//torA//yedX//relA//aceF//phnH//gcl//xylB//slt//sufS//galK//lacZ//appA//frdA//hcaC//
ArsR	xylB//galE//
AscG	gadA//nadB//
AtoC	pgaB//fabI//garK//
BaeR	hcaC//arsC//
BasR	narI//metC//ttdB//
BirA	dgcC//fadE//gcvT//napB//tam//
BluR	
BtsR	trpA//
CadC	mhpD//bioD//ldtC//
CaiF	tyrB//pfkA//alkA//murC//umpH//
Cbl	ttdB//ssuD//pyrC//hycF//paaZ//
CecR	gltB//
ChbR	moaD//napG//uxuA//
ComR	
CpxR	caiC//trpA//appA//glmS//tnaA//puuB//glcF//metA//trpD//glpC//garL//ftnA//astD//pck//dgcC//
Cra	paaY//fadE//ssuE//wzb//frdC//fdhF//entA//lacZ//hcaE//rhaD//tyrA//melA//bglB//glpQ//pyrC//aceB//iscS//caiD//ttdA//hcaD//hcaD//fdhF//arsC//deoB//paaG//tdcE//
CreB	
CsgD	accC//feaB//purC//purD//
CspA	
CueR	hmp//recF//
CusR	alaC//pgaC//
CynR	ppiA//tdcE//xylB//
CysB	astE//bglB//nanK//mpaA//accD//murC//srkA//murI//argA//
CytR	atoD//puuA//ygeA//ssuE//dmsC//nemA//citE//bioA//purM//
DcuR	gdhA//zwf//rutA//bioF//
DeoR	gadB//polB//ahpF//appA//
DicA	
DinJ-YafQ	ddlB//
DnaA	glpX//mraY//hypF//paaG//bioC//lsrG//
DpiA	ssuD//malP//phnG//pdeR//ycjG//
EnvR	garL//nanE//
EvgA	rhaD//napA//ygeA//glpQ//nrfD//
ExuR	
FabR	add//phnG//ttdA//
FadR	garR//ulaE//deoA//murC//hcaB//puuD//nanK//frdB//hyaB//uxuB//hemH//fabH//dmsB//hemL//nirB//
FeaR	cyoE//glcE//
FhlA	lacZ//purA//cysE//phnG//galK//malQ//purD//
FlhDC	guaA//frdD//
FliZ	entA//ydcS//tdcB//lsrF//ftnA//
Fur	rhaD//tyrA//lysA//eda//mhpC//mazG//lysC//deoC//purF//ygeA//ulaD//rimK//phnH//deoD//ftsI//astE//accC//phnG//fabH//ogt//oxc//chbF//mhpD//bioB//dgkA//treC//nanK//napA//rsmH//nrfA//sbcC//
GadE	patD//pgaD//citC//
GadE-RcsB	malP//hcaF//paaJ//ychF//trpD//
GadW	araA//argC//garK//
GadX	udp//tnaA//tdcE//entH//astC//
GalR	garK//aldA//hycF//tdcD//ddlB//
GalS	nrdB//ssuE//entE//tdcE//cynT//
GcvA	fumB//udp//phnM//
GlcC	tdcB//umuD//alaS//
GlpR	murG//aceB//luxS//udp//bioF//guaA//argD//
GlrR	
GntR	gcvT//waaZ//eno//accA//hcaD//
HU	hycB//argD//murG//rhaA//
HcaR	dapB//ilvC//
HdfR	
HigA	kbaZ//
HigB-HigA	tyrB//
HipAB	argI//nrdD//
HipB	dmsB//hcaB//uxuA//
HprR	folE//gadB//
HypT	hycB//phnO//
IclR	fabA//nanA//nrdB//
IlvY	wrbA//
IscR	garK//ssuD//gloA//phnP//ychF//trpA//rutA//
KdgR	gloA//
KdpE	fadE//
LacI	aceB//gcvT//paaK//
LeuO	mhpF//glmS//dmsC//
LexA	feaB//udp//hcaE//cyoE//frdA//gpmA//tauD//paaA//ssuD//
LldR	glpC//ulaE//
LrhA	
LsrR	napB//hemL//cyoE//cysE//galT//
MalI	folA//gapA//
MalT	garK//hycF//hcp//lpxC//
MarA	moaE//edd//yqhD//ogt//glpQ//frdB//dkgA//mhpC//glpX//astC//zwf//xylB//
MarR	
MatA	araD//
MazE	hycD//
MazE-MazF	waaZ//
McbR	
MelR	rhaD//alaC//
MetJ	pnp//umuC//glpD//treC//ldtD//
MetR	argC//sodA//glmU//
MhpR	ddlB//adiA//astA//astA//entF//aceA//
Mlc	mhpA//ribA//accC//
MlrA	fdhF//
MngR	tdcG//hycD//
MntR	garR//
ModE	srkA//sufS//accD//rbsD//aldA//lpd//puuB//feaB//ung//caiA//epd//nrfD//dgcZ//moaE//hycD//
MprA	cadA//
MqsA	nrdF//mdh//
MraZ	caiA//phoA//fadD//folE//trpA//deoA//ilvC//accD//trpC//gloA//
MurR	citC//fadJ//entF//
Nac	rhaA//napB//murQ//bioD//
NadR	katG//
NagC	pgaB//ydcS//rhaA//nrfC//dgkA//astE//tdcG//lysC//paaF//argH//fabB//astB//paaK//tdcD//
NanR	ahpC//accA//ulaF//accD//lacZ//epd//
NarL	citC//treC//purH//hcaB//mhpF//hycC//bglB//gcvT//aroG//phnN//melA//udp//fadH//nfsA//metA//waaY//caiD//ldtD//uxuA//phnM//rhaA//trpE//torA//yfdE//
NarP	trpB//phnH//murF//gadA//arsC//tyrA//accC//dmsA//atoA//
NemR	bioF//fadJ//
NhaR	gloA//add//lsrF//bioA//srkA//
NikR	nanA//
NimR	ung//
NorR	icd//
NrdR	hcaE//glyA//hycG//fadE//
NsrR	ada//glpX//gcvT//atoD//ilvC//hyaA//
NtrC	ssuD//fabB//paaZ//mpaA//nfsA//hycG//murG//cysG//
OmpR	ssuD//alaC//galK//astD//glcF//pgaB//ccp//astE//
OxyR	narG//waaY//gloA//phoA//aldA//cysE//fabD//trpC//argB//zwf//phnO//glpQ//caiD//
PaaX	mhpC//mraY//nrdF//puuB//gpmA//napA//citC//glmS//kbaZ//
PdeL	nfsA//
PdhR	ydcS//malQ//tam//citX//argF//alkA//umuD//napG//pgk//dmsC//allA//nemA//galK//adhE//paaJ//alkB//nrdF//nrdA//fabI//cysK//gcvH//phnL//
PepA	wzc//umpH//
PgrR	purC//entC//
PhoB	purC//puuA//ung//ascB//ydcS//ygeA//gpmA//rutC//argH//oxc//garK//rhaD//fabG//glpA//trpB//
PhoP	paaE//paaI//mhpB//
PspF	puuD//
PurR	phnN//mhpB//ppsA//treC//lpd//pspE//hycD//add//hcaB//atoB//ppiA//phnP//
PutA	rimK//murD//
PuuR	ahpC//phoA//guaA//bioA//purB//aceF//
QseB	
RbsR	aceF//putA//polB//glxK//argA//cysM//
RcdA	nrdD//
RclR	
RcnR	purB//
RcsAB	bioC//hcaE//
RcsB	nrfC//ssuE//
RcsB-BglJ	gapA//glpK//
RelB	gntK//
RelB-RelE	paaY//
RhaR	
RhaS	ppiA//entD//aspA//paaF//
Rob	astD//epd//bioF//ftsI//
RstA	ttdA//
RutR	frdA//fadE//trpA//ulaG//glpX//pykF//trpC//hcaE//phnI//caiC//
SdiA	
SgrR	ttdA//pgaD//mdh//
SlyA	rhaA//araD//ldtC//lpd//nrdA//phnI//caiA//ruvB//glpB//
SoxR	argB//
SoxS	ogt//allA//nadB//recD//nrfA//yfdE//tauD//add//moaE//paaY//bglB//pyrC//ruvA//lpxC//ung//gdhA//
StpA	murC//
SutR	feaB//caiD//
TdcA	purB//mraY//mhpB//tauD//yedX//
TdcR	fbaA//nadB//frdA//phnO//murD//
TorR	lacA//udp//hycG//nrdB//
TreR	bglB//tdcE//
TrpR	trpC//cdd//ycjG//lysC//garR//aroF//caiC//alaS//paaJ//
TtdR	edd//mdh//
TyrR	uvrB//pflB//ychF//astC//glcB//allB//argH//bioF//pspE//
UhpA	ttdA//
UlaR	mhpC//dmsA//caiC//nagA//guaA//
UvrY	edd//eno//
UxuR	napB//gapA//fabA//
XylR	hyi//umpH//astA//
YdeO	phnM//phnO//wzb//
YefM	nagA//
YefM-YoeB	nagB//
YhaJ	
YjjQ	
YpdB	
YqhC	gdhA//bioA//
YqjI	glpX//
ZntR	rhaD//
ZraR	
Zur	melA//
