# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ahpC//astE//
Ada	fumB//hemH//pgaD//glmS//
AdiY	metC//metE//ulaD//fdhF//
AgaR	ftnA//
AidB	polA//
AlaS	citG//
AllR	gltD//metC//glxR//umuD//paaZ//ulaF//
AraC	katG//glnA//cueO//hcaB//phoA//hycD//
ArgP	purH//ribA//moaD//atoD//nfsB//acnA//lacA//aroF//argC//
ArgR	mazG//alkA//dapD//murC//deoD//entF//ugpQ//pgaC//narI//rhaB//pdeL//lacA//recF//accA//aldA//phnG//ilvC//cysE//chbF//narH//gcvP//astA//ulaG//
ArsR	gcvH//nrfC//
AscG	tdcB//melA//
AtoC	gcvP//entC//aroL//
BaeR	slt//nrfA//
BasR	ahpF//hyaB//chbG//
BirA	trpD//umuC//frdA//rutB//gpmA//
BluR	
BtsR	astE//
CadC	paaK//nrdB//dgcC//
CaiF	ldtC//melA//zwf//rutE//pdeL//
Cbl	ssuE//alaC//citC//lsrF//uxuA//
CecR	sbcD//
ChbR	argB//deoD//purF//
ComR	
CpxR	zwf//phnG//putA//tdcE//waaZ//ychF//purB//malQ//citX//tyrB//aceE//hemL//adhE//gadA//hyaB//
Cra	glnA//fabB//purN//hemH//allA//argD//nfsA//allA//bioA//caiC//gadA//gcvT//malP//hycG//entH//hycB//rbsK//frdC//sodA//deoA//lsrG//chbG//fabH//lsrK//hycG//ygeA//
CreB	
CsgD	ppsA//frdA//purC//trpC//
CspA	
CueR	ccp//pyrC//
CusR	puuD//lacZ//
CynR	mhpD//glmS//ruvB//
CysB	mhpF//caiA//allA//napA//uvrB//mhpC//argI//paaA//hyaC//
CytR	deoB//dmsA//araA//ung//hycG//oxc//ttdB//lysC//allB//
DcuR	purD//napB//lysC//rhaB//
DeoR	icd//argH//fau//yqjH//
DicA	
DinJ-YafQ	gdhA//
DnaA	nrdA//aceA//hcaF//caiC//caiC//caiB//
DpiA	dkgA//uvrB//recD//purC//folE//
EnvR	nrdF//fabA//
EvgA	deoA//frdA//fdhF//aroH//mhpC//
ExuR	
FabR	paaB//pykF//sbcD//
FadR	uvrB//rimK//hypB//yqhD//araA//fabB//citD//bglB//mraY//fabG//dmsA//yfdE//fabB//gltD//cyoE//
FeaR	hypF//paaJ//
FhlA	fadE//entD//slt//glpA//atoA//caiB//hemL//
FlhDC	hycB//glmS//
FliZ	astC//nanE//tauD//moaA//paaI//
Fur	gltD//allB//feaB//narG//paaC//astC//glmS//fadH//ascB//dgkA//nanE//codA//fadE//citC//ycjG//cysM//hyaA//uxuB//nrfC//polA//folA//cysM//codA//tdcB//nrdA//citX//sbcC//bglB//caiC//bglB//ulaF//
GadE	accC//glpK//paaF//
GadE-RcsB	alaC//cysK//fumB//nanE//treC//
GadW	murF//hyaC//trpA//
GadX	kbaY//hyaA//nfsB//mhpF//frdD//
GalR	puuB//lysC//recB//pfkA//torC//
GalS	mazG//yfdE//rutD//narI//tynA//
GcvA	gcvT//uxuB//nanM//
GlcC	adiA//tdcE//hycB//
