# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	guaB//nadB//
Ada	frc//truB//carA//garK//
AdiY	hyi//carA//ssuD//fabG//
AgaR	astA//
AidB	ssuD//
AlaS	zwf//
AllR	metE//phnH//ssuD//ahpF//nrfA//xylA//
AraC	ppsA//adhE//hycB//gcl//icd//citX//
ArgP	phnI//hycB//accC//aceB//paaJ//entH//nanM//pspE//murG//
ArgR	bioF//lpxC//purC//fes//araD//ychF//glcF//cyoE//murE//ttdB//kbaY//bioD//tauD//mhpC//acnA//dapD//astA//rimK//glcE//putA//lsrG//glpX//cysM//
ArsR	uxuB//arsC//
AscG	bglB//citE//
AtoC	dmsB//phnO//galK//
BaeR	fabB//rhaD//
BasR	glcE//iscS//uvrB//
BirA	fadI//moaC//cysE//entA//glpC//
BluR	
BtsR	frdD//
CadC	hycE//uxuB//chbG//
CaiF	paaY//ynfG//adhE//caiB//astC//
Cbl	phnM//astA//dapD//frdA//puuE//
CecR	glpD//
ChbR	entA//nirB//uvrB//
ComR	
CpxR	deoA//deoD//ftnA//hcaD//gapA//puuE//fabB//hcaC//bioF//napH//entC//aroL//aceB//melA//malQ//
Cra	cysG//caiB//trpC//hycC//phnJ//galK//ldtD//adhE//folE//paaA//sbcD//argF//ung//fumB//citX//hcaC//aroL//gcvT//ulaD//hypF//rutB//trpE//citG//grxA//caiB//pgaC//
CreB	
CsgD	araA//hypF//moaE//gloA//
CspA	
CueR	lldD//murD//
CusR	citC//galE//
CynR	paaJ//citC//astB//
CysB	hcaF//purH//deoA//uvrB//yqhD//paaJ//phnJ//aceA//glcE//
CytR	ppsA//dgkA//galM//deoC//yfdE//nrdD//frdA//nrfA//cysG//
DcuR	tauD//cysG//ruvB//pfkA//
DeoR	garK//araD//appA//edd//
DicA	
DinJ-YafQ	tyrA//
DnaA	phnP//accC//phnO//ynfG//aceA//phnJ//
DpiA	pflB//dgcZ//caiD//rutA//lldD//
EnvR	fadI//dgcZ//
EvgA	tauD//fumB//nrdF//hyaB//xylB//
ExuR	
FabR	bioA//glpB//fabG//
FadR	add//tdcG//fadE//aroG//frdB//aceE//appA//pgk//metC//phnJ//luxS//purA//ftsI//lysA//metC//
FeaR	dapD//glpA//
FhlA	lsrK//rsmH//gadA//trpB//mhpC//glxK//ynfF//
FlhDC	caiC//bioD//
FliZ	dapB//sufS//hemH//codA//gpmA//
Fur	nanA//umpH//glcB//gltD//arsC//fabB//tauD//nrdE//fumC//ldtC//astD//nirB//deoB//recF//ulaG//galE//frdA//deoB//frc//frdA//nanA//yedX//argD//atoB//frdD//moaD//ulaE//cysG//lacZ//putA//ruvB//
GadE	moaA//phnH//gadA//
GadE-RcsB	chbG//glmU//nrdA//ascB//waaY//
GadW	glpK//treC//glpD//
GadX	tdcG//polB//ynfH//sufS//kbaZ//
GalR	nanM//glpD//nirB//phnM//alaS//
GalS	adhE//waaZ//tnaA//atoA//purD//
GcvA	hcaD//deoB//pflB//
GlcC	kbaZ//mdh//mhpE//
GlpR	allA//lpxC//rhaB//tdcE//folE//astC//cynT//
GlrR	
GntR	napB//rimK//hycC//sbcD//rbsD//
HU	umuC//truB//rutA//umuD//
HcaR	ahpC//paaZ//
HdfR	
HigA	umuD//
HigB-HigA	nrdF//
HipAB	adiA//waaZ//
HipB	nemA//cdd//katG//
HprR	argA//trpE//
HypT	entE//sbcC//
IclR	glnA//bioA//nrdE//
IlvY	tdcE//
IscR	sbcC//add//hcaE//glmS//glpC//nanE//hcaB//
KdgR	ahpF//
KdpE	entE//
LacI	cynT//ung//paaI//
LeuO	caiB//gapA//rhaA//
LexA	poxB//rbsD//guaB//entA//narI//murC//tyrA//melA//dgkA//
LldR	frdC//carA//
LrhA	
LsrR	edd//aroL//ssuE//rutE//iscS//
MalI	ldtC//cysG//
MalT	purH//mhpA//argE//puuE//
MarA	napG//fadJ//argA//gapA//oxc//uvrB//metA//gpmA//pspE//purH//patD//trpE//
MarR	
MatA	ahpF//
MazE	hycG//
MazE-MazF	rutB//
McbR	
MelR	fbaA//accA//
MetJ	aspA//aceE//acnA//fadD//nemA//
MetR	araA//hyaA//gapA//
MhpR	hyaA//tynA//murG//ydcS//nadB//bglB//
Mlc	frdB//mhpD//folA//
MlrA	fabI//
MngR	gltB//pgaC//
MntR	glyA//
ModE	glmS//phnN//cysM//murE//lpxC//galK//napH//rimK//puuA//aroL//ulaF//atoB//hycB//aroG//paaH//
MprA	ssuD//
