# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	araB//torA//
Ada	wzb//fumC//dkgA//astA//
AdiY	ubiX//nfsB//phnP//udp//
AgaR	hyaC//
AidB	garL//
AlaS	carB//
AllR	dapB//ruvA//pgaD//chbF//argH//icd//
AraC	rbsD//rbsK//recD//glyA//chbF//glcD//
ArgP	argG//adiA//iscS//gapA//oxc//entB//rimK//hemL//aceF//
ArgR	mtlD//hypF//yqjH//cysK//luxS//alaS//argE//narH//rhaA//wzc//ttdA//fabD//argG//kbaY//pnp//entB//hypB//yqhD//citG//paaC//dkgA//ftnA//tdcG//
ArsR	tdcD//dgcC//
AscG	appA//citX//
AtoC	fdhF//tauD//phnN//
BaeR	allA//garR//
BasR	fadD//hycC//ascB//
BirA	aldA//aspA//argG//accC//moaC//
BluR	
BtsR	lsrF//
CadC	argI//purD//ynfF//
CaiF	fes//fabA//polB//nfsB//entA//
Cbl	rhaA//tauD//tauD//narI//lldD//
CecR	caiD//
ChbR	ascB//cysG//hyaB//
ComR	
CpxR	phnO//moaE//rimK//malQ//kbaZ//hycE//cysE//hyaB//bioD//narG//entD//dmsB//dgkA//citE//entA//
Cra	trpE//dapD//fdhF//tdcG//yqhD//purM//pgk//glpC//torC//rhaD//purA//nanE//cadA//ulaD//glcB//mhpD//pgaB//kbaZ//mpaA//astE//codA//mazG//argF//glpK//araD//lsrG//
CreB	
CsgD	rutD//mhpA//caiC//luxS//
CspA	
CueR	aceB//napA//
CusR	cysK//paaG//
CynR	ydcS//ogt//aroH//
CysB	frdD//murF//tynA//fau//add//ftnA//slt//fabG//glcE//
CytR	ppsA//ynfE//grxA//fabB//accC//umuC//astA//rhaA//dmsA//
DcuR	cysM//garR//paaF//galT//
DeoR	pdeR//frdA//rimK//mhpD//
DicA	
DinJ-YafQ	umuC//
DnaA	phnP//aceE//purD//pfkA//gdhA//hcaB//
DpiA	napH//galE//pflB//purH//phnL//
EnvR	ada//alaS//
EvgA	entH//rbsK//allA//rhaD//phnJ//
ExuR	
FabR	sbcD//aspA//appA//
FadR	lpd//entH//carA//acnA//hcaC//nrdE//nrdE//argG//iscS//tdcB//ulaD//bioD//nfsB//paaB//ascB//
FeaR	lsrF//glyA//
FhlA	fadI//pgaD//recD//adhE//hycB//glpA//rbsK//
FlhDC	nfsB//kbaY//
FliZ	ldtC//citD//rutE//rbsD//napA//
Fur	phnM//astD//cueO//waaZ//guaB//entH//glpA//paaB//melA//ppiA//gpmA//rutD//narG//nrdB//sodA//cysM//astE//fbaA//narH//paaI//lacA//cysK//cysK//rbsD//paaA//paaH//pck//nagB//araA//polA//murI//
GadE	phnG//luxS//araA//
GadE-RcsB	atoB//lysC//pdeL//aroF//rutC//
GadW	murE//poxB//mhpF//
GadX	udp//lsrK//lsrK//gcvT//fau//
GalR	fabB//rimK//acnA//hcaD//fabB//
GalS	phnO//deoA//frdC//ycjG//adiA//
GcvA	alkB//gpmA//fabI//
GlcC	trpA//moaC//phnP//
GlpR	wzb//metE//purN//mraY//ulaE//nrdB//ahpC//
GlrR	
GntR	nrfC//purM//murI//malY//mraY//
HU	ugpQ//lsrF//aroH//lldD//
HcaR	murE//phoA//
HdfR	
HigA	garK//
HigB-HigA	puuB//
HipAB	adiA//frdA//
HipB	paaA//dapD//ruvB//
HprR	ftsI//mngB//
HypT	ahpF//phnJ//
IclR	ldtD//paaG//deoC//
IlvY	moaC//
IscR	purC//ppsA//mazG//ruvA//rutC//caiA//nanM//
KdgR	metA//
KdpE	caiB//
LacI	hyaA//frdA//gcvP//
LeuO	ilvC//dmsB//caiA//
LexA	paaK//putA//ddlB//citD//murE//uxuB//hyaA//puuD//udp//
LldR	hmp//atoB//
LrhA	
LsrR	wzc//fadJ//lsrK//ulaE//narI//
MalI	nrfA//adhE//
MalT	trpC//fabH//tauD//umpH//
MarA	alkB//ppsA//uxuB//bglB//frdD//rhaD//hypF//accA//phnL//fadJ//nrfA//phnL//
MarR	
MatA	purB//
MazE	ugpQ//
MazE-MazF	udp//
McbR	
MelR	astE//argD//
MetJ	purB//yedX//katG//feaB//puuC//
MetR	hycG//dmsC//hypB//
MhpR	hmp//frdB//citX//cueO//patD//argG//
Mlc	mngB//ygeA//argE//
MlrA	frc//
MngR	ribA//hcaF//
MntR	dgcC//
ModE	ssuE//napH//hycB//nadB//ygeA//fabA//fabH//ddlB//nrdB//rutE//gloA//cynS//appA//nfsB//gcl//
MprA	poxB//
MqsA	feaB//mraY//
MraZ	fadD//citC//dgcC//lsrG//fadE//chbF//yedX//aceB//ribA//fes//
MurR	purD//glcE//eno//
Nac	dmsB//lpxC//relA//frdD//
NadR	phoA//
NagC	kbaZ//tauD//purN//tdcG//napA//ruvB//adiA//deoB//napA//paaC//ftnA//trpD//argE//hyi//
NanR	hmp//nirB//poxB//nrdF//glpD//fau//
NarL	accD//moaE//frc//napA//lysA//moaE//astA//nanK//ndh//narG//aroL//hcaF//carB//paaB//puuC//ynfH//dmsB//ycjG//glpX//phnN//astB//argC//argE//citC//
NarP	mazG//feaB//glyA//deoA//purD//xylA//fadE//mazG//mpaA//
NemR	dmsC//pykF//
NhaR	pgaB//appA//argA//phnH//garR//
NikR	murI//
NimR	poxB//
NorR	galK//
NrdR	ahpF//folE//argF//frdB//
NsrR	purM//nrfD//lacZ//aldA//rutE//aceF//
NtrC	purA//fabI//mdh//chbG//cysM//caiA//astC//icd//
OmpR	tdcD//fadI//bglB//garR//bioA//glcB//wzb//ttdB//
OxyR	araA//nfsB//caiA//puuD//lysA//fbaA//pflB//purH//icd//carA//hcp//ynfH//tam//
PaaX	argF//murD//slt//ubiX//fadH//rsmH//glxR//argE//tdcG//
PdeL	nrdD//
PdhR	accA//chbG//moaC//lldD//carA//purN//nfsB//allA//narH//sodA//alkA//glpC//moaE//narH//murG//paaC//ynfH//dgcZ//paaK//rsmH//argB//deoA//
PepA	rutE//lpxC//
PgrR	gcvT//patD//
PhoB	argI//garR//poxB//lpd//recB//galM//argE//rhaD//puuA//glcF//citE//murC//phoA//malQ//iscS//
PhoP	fadI//ppsA//carA//
PspF	caiC//
PurR	glcB//phnI//purD//ung//hyaC//gdhA//pnp//nrfC//glpX//rutA//accD//astC//
PutA	dgcC//rutC//
PuuR	moaA//caiC//codA//acnA//bglB//fes//
QseB	
RbsR	ahpC//tyrA//glpX//entB//pgk//eno//
RcdA	mazG//
RclR	
RcnR	relA//
RcsAB	dgcZ//recD//
RcsB	glpD//nirB//
RcsB-BglJ	mhpF//fadH//
RelB	mhpE//
RelB-RelE	ruvA//
RhaR	
RhaS	purA//frdD//pfkA//gltD//
Rob	cueO//cysE//tam//deoC//
RstA	nanM//
RutR	alkB//hypF//aroG//nrdE//ulaF//ychF//rhaD//deoB//dkgA//rimK//
SdiA	
SgrR	murE//entE//ruvB//
SlyA	trpC//mhpE//trpC//polB//ynfF//ldtD//paaB//fabA//tauD//
SoxR	trpC//
SoxS	murQ//phoA//pspE//torC//oxc//hemL//mtlD//tynA//pck//phnG//entB//bioF//trpE//galK//lsrK//metC//
StpA	glpC//
SutR	fabH//garK//
TdcA	xylA//rutE//phnN//tyrA//mdh//
TdcR	hypF//astB//hcaF//deoA//rimK//
TorR	grxA//treC//guaA//hcaC//
TreR	argA//purA//
TrpR	metE//nemA//argF//udp//kbaZ//frdB//fbaA//garL//alaS//
TtdR	nrfD//add//
TyrR	paaH//nagB//phoA//deoD//tdcE//umuC//mhpF//mhpE//dgkA//
UhpA	sodA//
UlaR	napB//phnH//glmU//lacA//galT//
UvrY	mraY//mhpE//
UxuR	rutE//torA//luxS//
XylR	pspE//lpxC//astB//
YdeO	uxuA//recD//dapB//
YefM	nagA//
YefM-YoeB	lysA//
YhaJ	
YjjQ	
YpdB	
YqhC	rnpB//eda//
YqjI	napA//
ZntR	rbsK//
ZraR	
Zur	hyi//
