# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glcF//gpmA//
Ada	nfsA//rnpB//hycF//add//
AdiY	allB//eda//fau//gltD//
AgaR	paaK//
AidB	accD//
AlaS	aroF//
AllR	treC//ubiX//rutE//carA//paaI//puuE//
AraC	phnP//pck//lsrG//hcaF//frc//gntK//
ArgP	cynS//allB//dmsB//glpD//glnA//trpB//phnH//rimK//narH//
ArgR	sufS//yfdE//ribA//atoA//ahpF//rbsD//pck//nrfC//mngB//ppsA//mdh//ldtC//trpB//metF//glcE//pgaD//fadD//astD//nanA//udp//murC//nirB//adiA//
ArsR	mhpD//mhpD//
AscG	cysK//nrdE//
AtoC	aroL//napA//frdD//
BaeR	metC//nfsB//
BasR	glpX//sbcD//gadA//
BirA	accD//tdcB//argD//narI//argA//
BluR	
BtsR	metC//
CadC	nirD//nrdE//gcvH//
CaiF	phnP//fdhF//hycE//polB//purN//
Cbl	pgaB//grxA//poxB//hyaC//glxR//
CecR	pck//
ChbR	napB//purA//entF//
ComR	
CpxR	ccp//citG//fadD//luxS//trpA//rnpB//metF//nfsA//argH//hycF//adiA//wzb//ada//add//dmsB//
Cra	glmU//yfdE//mtlD//sodA//gcl//ldtD//ccp//sodA//napA//aceB//ulaE//dapD//nadB//nfsA//gdhA//citC//ttdB//napB//phnG//frdC//purH//hcaC//nemA//mhpE//glnA//astA//
CreB	
CsgD	phnG//caiA//yedX//nadB//
CspA	
CueR	atoA//hyi//
CusR	phnG//malY//
CynR	tnaA//aceB//edd//
CysB	ydcS//glpK//malY//cysG//ynfH//kbaY//folE//nanM//murE//
CytR	carB//iscS//entA//nanE//ssuD//ada//malQ//moaE//argE//
DcuR	pdeL//phnJ//argG//phnO//
DeoR	astB//folA//relA//purA//
