# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	torA//dkgA//
Ada	udp//garR//glxK//nrdE//
AdiY	glcF//puuD//ulaG//caiB//
AgaR	acnA//
AidB	fabA//
AlaS	umpH//
AllR	lysA//hcaB//murG//astB//sbcC//eda//
AraC	atoD//atoA//cynS//cueO//fabI//hycE//
ArgP	astD//adiA//caiC//carA//pyrC//paaK//astE//purH//tam//
ArgR	ssuE//tdcD//ndh//adhE//glpD//wzc//ndh//garR//nagB//mhpC//napA//argF//grxA//napH//glxK//caiD//polB//waaZ//hycG//dgkA//puuD//nadB//aroH//
ArsR	aroG//cysK//
AscG	iscS//alkA//
AtoC	entB//deoC//lacA//
BaeR	glxR//garL//
BasR	moaC//torA//pflB//
BirA	argA//nrdF//wzb//phnG//atoB//
BluR	
BtsR	accC//
CadC	ddlB//mazG//feaB//
CaiF	hycD//rimK//rutD//ulaF//aceE//
Cbl	murQ//hycF//allB//rhaD//grxA//
CecR	napG//
ChbR	galM//moaD//ulaG//
ComR	
CpxR	tdcE//glmS//luxS//fabG//poxB//katG//chbF//glpB//yqjH//paaA//carB//dmsA//purM//lsrG//mraY//
Cra	hcaF//uvrB//recF//dapD//nrdA//appA//araD//zwf//tauD//murI//waaZ//hycE//moaA//nagA//purN//uxuB//wzb//mhpA//fabI//aceB//wzc//gntK//fabH//glpQ//hycB//lsrK//
CreB	
CsgD	hypF//pflB//murG//puuC//
CspA	
CueR	ascB//nrdB//
CusR	caiC//rhaD//
CynR	carA//grxA//rutA//
CysB	metA//ndh//nirD//nagA//astD//aceF//phnM//folA//narI//
CytR	mhpA//pnp//iscS//lsrK//xylB//ycjG//gapA//ruvA//pgaC//
DcuR	ynfE//deoB//galK//nrdA//
DeoR	luxS//aroL//tdcG//frdB//
DicA	
DinJ-YafQ	recD//
DnaA	gcl//ynfE//rutE//citX//glmS//gltD//
DpiA	glnA//nrdE//pck//metA//zwf//
EnvR	argB//murC//
EvgA	caiC//nfsA//pnp//nadB//guaB//
ExuR	
FabR	purM//entB//folE//
FadR	dmsA//umuD//nanA//astA//bioC//dkgA//pgaB//paaF//nrdD//pgaB//murQ//lldD//bglB//add//argA//
FeaR	ldtC//fadH//
FhlA	hyaA//murD//glpC//phnH//bioF//polA//ychF//
FlhDC	hcaB//relA//
FliZ	aroH//fabD//hcaC//phnM//fadE//
Fur	deoD//folA//fabB//ruvA//recF//lacZ//bioC//paaF//puuD//glpB//glnA//sbcC//napH//feaB//nrdD//dgkA//polB//cysE//allA//murD//frdC//murC//ulaD//oxc//gcvT//paaH//hycB//mhpD//lldD//chbF//fumB//
GadE	dgcC//nrdF//eno//
GadE-RcsB	entH//carB//bioD//rutB//argH//
GadW	sufS//iscS//lpd//
GadX	ccp//nagB//hypF//argB//iscS//
GalR	umuD//citX//mraY//bioF//argC//
GalS	trpA//waaY//napG//murG//argD//
GcvA	galM//cueO//ilvC//
GlcC	argG//ndh//aspA//
GlpR	argH//fumB//frdA//ascB//sbcD//slt//entF//
GlrR	
GntR	gcl//argE//poxB//gltB//araD//
HU	eno//paaI//mpaA//nirB//
HcaR	recB//purH//
HdfR	
HigA	pykF//
HigB-HigA	lysC//
HipAB	cyoE//dgcZ//
HipB	uvrB//hycF//tyrB//
HprR	pyrC//carA//
HypT	narG//narG//
IclR	ubiX//patD//napH//
IlvY	tam//
IscR	gdhA//waaY//trpA//phnJ//mhpE//tyrB//galK//
KdgR	rutD//
KdpE	astC//
LacI	allB//ada//gcvT//
LeuO	argC//bioB//mdh//
LexA	xylA//poxB//entC//ulaG//ubiX//lsrF//paaB//nrdE//narH//
LldR	paaJ//glcF//
LrhA	
LsrR	truB//nadB//glcB//ycjG//fadI//
MalI	fadE//puuC//
MalT	lacZ//purB//lsrG//astC//
MarA	puuD//aceA//hycF//murD//nrfA//putA//atoA//lacA//deoD//frdD//glmU//chbG//
MarR	
MatA	nrdD//
MazE	ynfG//
MazE-MazF	napG//
McbR	
MelR	bioD//napB//
MetJ	cadA//araB//mhpB//fes//citE//
MetR	gpmA//nfsA//sodA//
MhpR	hyaB//nrdF//argI//udp//ulaF//accC//
Mlc	atoB//bioB//rutA//
MlrA	hemL//
MngR	garL//dgkA//
MntR	cadA//
ModE	gltB//phnM//ssuD//argH//hemH//nagA//phnJ//dapB//frdA//cysE//arsC//aceF//ttdB//tam//codA//
MprA	lsrF//
MqsA	alkA//yqjH//
MraZ	fumB//aroL//astB//truB//carA//hmp//fadD//nrdA//recF//adhE//
MurR	galE//ogt//gcl//
Nac	aspA//rutC//yqjH//glpA//
NadR	lsrF//
NagC	sbcD//ccp//araB//rnpB//paaG//polB//umuC//folE//bioB//fadE//nrfD//trpE//argE//cadA//
NanR	gpmA//paaH//paaZ//malQ//fau//fes//
NarL	argA//metF//fdhF//aroG//umpH//lysC//astD//melA//hyaA//hyi//purH//rbsD//pnp//gltD//citE//ssuD//ycjG//hypF//lpxC//acnA//kbaZ//atoB//torA//pgaB//
NarP	glpA//patD//dgcC//mraY//pyrC//entH//pgaB//glxK//mdh//
NemR	polB//kbaZ//
NhaR	nrdD//citF//cynT//tdcD//folE//
NikR	xylA//
NimR	iscS//
NorR	feaB//
NrdR	ssuE//purN//malY//phnN//
NsrR	lacA//torC//nagA//chbG//alkB//gadA//
NtrC	gadA//paaK//purM//citD//yqjH//paaH//hycC//entH//
OmpR	umuD//deoD//caiD//glmS//wzc//pck//ftsI//nanM//
OxyR	phnM//lldD//lsrG//narG//adiA//katG//alkA//nagB//mhpF//ogt//ahpF//fadE//purA//
PaaX	rimK//accC//glpA//fabD//cueO//carA//purH//alkB//atoB//
PdeL	murQ//
PdhR	allB//nrdA//araD//gcvP//caiC//allA//hemL//nagA//pgaD//gloA//allA//wrbA//nfsB//caiA//wzb//trpB//nrfC//moaA//murG//hyaB//glpX//xylA//
PepA	moaA//cadA//
PgrR	fbaA//ruvA//
PhoB	torC//tyrA//deoA//bioF//frc//ascB//rutE//rutB//guaB//nanA//kbaY//astD//napG//hyaA//caiD//
PhoP	murI//nfsA//metA//
PspF	fadE//
PurR	aceB//nfsA//fadD//atoB//truB//alkB//phnO//ascB//murE//caiB//purN//pfkA//
PutA	argH//nfsB//
PuuR	nrfD//cysM//citC//dapB//moaD//katG//
QseB	
RbsR	add//citF//lpxC//bioC//fadI//gpmA//
RcdA	dapD//
RclR	
RcnR	mhpA//
RcsAB	hyaA//puuB//
RcsB	wzb//malY//
RcsB-BglJ	hycF//polB//
RelB	epd//
RelB-RelE	murG//
RhaR	
RhaS	dgkA//araD//hyi//ttdA//
Rob	phnP//argC//paaI//paaE//
RstA	appA//
