# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	hycF//ogt//
Ada	caiC//dmsC//tnaA//ygeA//
AdiY	murC//recD//entD//mhpA//
AgaR	fes//
AidB	codA//
AlaS	allA//
AllR	luxS//alaS//metE//paaZ//moaA//eda//
AraC	malP//ynfF//pyrC//polA//dmsC//add//
ArgP	tnaA//bioC//cysG//caiD//paaH//phnJ//astD//iscS//tyrB//
ArgR	galE//uvrB//mhpF//ynfH//rnpB//carB//relA//accC//codA//bioF//glpB//ycjG//glcB//glcF//carA//eda//nrfA//accD//dmsB//hycE//uvrB//aroL//narG//
ArsR	gntK//argD//
AscG	rsmH//ascB//
AtoC	frdA//yqhD//nanE//
BaeR	rbsD//ttdB//
BasR	tdcB//murI//ada//
BirA	trpD//yqjH//ulaF//paaJ//yfdE//
BluR	
BtsR	hcaE//
CadC	ilvC//pfkA//pdeL//
CaiF	argH//paaF//argF//rutE//dmsC//
Cbl	xylB//nrfC//ribA//wzb//puuB//
CecR	ilvC//
ChbR	relA//araB//yqhD//
ComR	
CpxR	glnA//tdcG//nfsA//murQ//zwf//ogt//entB//putA//murG//wzb//tauD//tnaA//patD//gadB//deoB//
Cra	hycB//deoD//dgcC//rnpB//fau//fadD//murE//tnaA//yqjH//fadE//gadA//epd//frdC//paaK//pgaD//nfsB//putA//argE//purB//trpD//trpB//aroF//lacZ//citD//nrfD//murQ//
CreB	
CsgD	entF//uvrB//ttdA//lpxC//
CspA	
CueR	adhE//tdcB//
CusR	mpaA//aroH//
CynR	ruvA//purA//folE//
CysB	aceA//mngB//caiA//fadD//bioF//pfkA//paaZ//gltD//purD//
CytR	napG//caiA//hcaB//napH//pgk//phnN//ulaE//metF//frdB//
DcuR	frc//nagA//polA//araB//
DeoR	paaK//hcaF//appA//aroL//
DicA	
DinJ-YafQ	alkB//
DnaA	rutC//araB//melA//ubiX//umpH//pgk//
DpiA	hyi//cueO//cueO//appA//puuC//
EnvR	xylB//nfsB//
EvgA	tynA//hcaC//uvrB//malP//mtlD//
ExuR	
FabR	alkB//glcF//tdcD//
FadR	glmS//citG//wrbA//frdD//folA//gcvP//cynS//puuB//nrdF//alaS//appA//carA//mpaA//rbsD//glcE//
FeaR	citF//ahpF//
FhlA	aroH//moaE//xylA//ulaE//ahpF//iscS//purA//
FlhDC	gcvP//dkgA//
FliZ	ydcS//trpE//cysG//ascB//lpd//
Fur	garR//melA//frc//rnpB//ssuE//nfsB//trpD//frdC//luxS//rbsK//murF//glyA//pykF//pgaC//ynfE//fadE//aroL//alaC//caiD//fadI//ung//recD//nrdB//sufS//alaC//lysA//glmS//gpmA//ulaD//sodA//ubiX//
GadE	recF//mhpA//entE//
GadE-RcsB	pdeL//bioA//murE//accC//fadJ//
GadW	nirB//eda//murD//
GadX	murI//dgcZ//nanA//bglB//nanM//
GalR	cueO//recB//phnG//xylB//umuD//
GalS	nrdD//frdA//aldA//hcaE//argI//
GcvA	luxS//ycjG//gpmA//
GlcC	purM//gcvP//polA//
GlpR	citD//araB//pck//fabH//kbaY//yqjH//rutD//
GlrR	
GntR	ynfE//ldtD//sbcD//bioC//umuC//
HU	fabH//eda//fes//hycB//
HcaR	astA//ada//
HdfR	
