# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	fabA//atoB//
Ada	aroF//fabA//nfsB//nrdA//
AdiY	ftnA//puuE//kbaY//hypB//
AgaR	accC//
AidB	frdD//
AlaS	ulaE//
AllR	napB//nrfD//purN//hycF//fabD//mngB//
AraC	ftsI//murG//bioF//purA//citG//mhpF//
ArgP	gpmA//eno//glnA//astD//hypF//ahpC//rutB//aldA//alkB//
ArgR	narI//glcF//cueO//xylA//aroL//entA//entF//malQ//dkgA//garL//ruvB//purB//edd//tauD//atoA//metC//udp//iscS//ribA//hcaF//ychF//mhpE//gcvH//
ArsR	lysC//mhpF//
AscG	cynS//murD//
AtoC	nrdF//tauD//pnp//
BaeR	purA//astB//
BasR	nanA//kbaY//paaB//
BirA	narH//deoA//nadB//fabH//tdcG//
BluR	
BtsR	glcE//
CadC	ubiX//garL//mhpE//
CaiF	kbaY//folA//nfsA//nanE//dgcZ//
Cbl	entF//katG//gadB//feaB//cysK//
CecR	recF//
ChbR	hycD//entD//murD//
ComR	
CpxR	sbcD//argG//paaK//tdcE//zwf//pgaD//ulaD//yqhD//trpE//relA//gadB//nagA//chbF//umuC//putA//
Cra	argB//ssuD//ddlB//argB//allB//recD//gadB//rimK//astB//ulaD//glpB//garK//puuC//lacA//fumB//hcaF//cysG//citG//nrdF//alkA//trpB//astA//dapB//accC//frdC//atoA//
CreB	
CsgD	cynT//tam//frdC//dapB//
CspA	
CueR	nanM//paaK//
CusR	citF//phnM//
CynR	rbsK//ddlB//citG//
CysB	accD//paaY//umuC//ychF//paaC//luxS//umpH//gcvP//accD//
CytR	argF//polA//entH//relA//cysM//lsrF//araD//glnA//mhpF//
DcuR	nrdF//lpd//glxK//glpD//
DeoR	paaI//atoB//guaA//metE//
