# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	tdcE//gpmA//
Ada	paaJ//moaC//moaD//ulaE//
AdiY	frdA//entA//rbsD//glcE//
AgaR	hyaC//
AidB	atoB//
AlaS	ascB//
AllR	nrfD//fumC//fumC//moaC//gcl//citF//
AraC	malY//hyaC//aroH//narG//moaE//astD//
ArgP	nirD//trpD//argA//hycG//gdhA//pflB//zwf//mpaA//treC//
ArgR	ada//entH//umpH//udp//paaF//ddlB//dmsB//aroG//murF//yfdE//mhpB//narI//lsrK//puuD//nrdA//aspA//dgcZ//yedX//aroH//mhpA//hcp//gapA//ftnA//
ArsR	nrdB//wzc//
AscG	glpA//torA//
AtoC	appA//nrdA//napB//
BaeR	kbaZ//garK//
BasR	ahpF//nrdA//glyA//
BirA	malQ//astD//garR//aceA//ruvA//
BluR	
BtsR	tdcE//
CadC	gcvH//phnI//cysM//
CaiF	glpB//nemA//adhE//glcB//allA//
Cbl	dapB//uvrB//codA//rhaA//fabI//
CecR	phnO//
ChbR	pflB//astE//melA//
ComR	
CpxR	hypF//entC//putA//appA//astC//entD//murC//argF//fadD//feaB//dapB//cueO//sbcD//hcaF//aceA//
Cra	nanA//ssuD//gcvH//citF//trpD//murD//rhaA//aceF//waaZ//metF//edd//ygeA//malQ//hycE//cyoE//araD//relA//galT//gadA//folE//poxB//frdB//ruvB//ychF//metE//katG//
CreB	
CsgD	umpH//paaI//napH//nrdB//
CspA	
CueR	purC//mngB//
CusR	yedX//pdeR//
CynR	ndh//dmsA//atoD//
CysB	hcp//pspE//nanK//cysK//yqjH//hemL//astB//purM//phnG//
CytR	yfdE//alkA//aceE//metF//ulaD//dgkA//hcaF//gdhA//phnG//
DcuR	gloA//metE//relA//glxR//
DeoR	paaE//arsC//ssuE//pyrC//
DicA	
DinJ-YafQ	torC//
DnaA	epd//tynA//paaG//frc//frdB//aspA//
DpiA	ulaD//ynfH//pdeL//glpK//appA//
EnvR	argG//caiB//
EvgA	yqjH//ulaG//rhaA//ttdA//pgaC//
ExuR	
FabR	ndh//uxuB//waaY//
FadR	glpA//nadB//bioF//ynfF//paaE//fbaA//phoA//truB//entF//recF//gdhA//paaY//chbF//ldtC//dgcC//
FeaR	putA//phnO//
FhlA	nanA//tauD//melA//rutC//hyi//deoB//glxK//
FlhDC	patD//frc//
FliZ	garL//yfdE//astD//hycC//glyA//
Fur	paaY//rutB//lacZ//accA//eda//purF//fadJ//udp//nfsA//mhpE//atoA//pgaC//umpH//puuA//phnI//glpA//malY//frdB//ssuD//araB//rutE//narG//accA//purN//rsmH//pfkA//citD//srkA//hemL//folA//melA//
GadE	metA//aspA//caiD//
GadE-RcsB	ugpQ//hycE//garL//tam//polB//
GadW	feaB//galM//mazG//
GadX	fadJ//mhpC//folE//bioF//gadB//
GalR	atoB//folE//ung//cysE//xylB//
GalS	hyi//citG//nrdE//gadB//dgcC//
GcvA	murG//phnH//nrdF//
GlcC	sufS//tdcE//aceF//
GlpR	aldA//udp//xylB//recF//ldtC//xylB//pspE//
GlrR	
GntR	dmsC//glpK//murE//moaD//nrdE//
HU	rutC//glxR//lsrK//putA//
HcaR	glcE//argE//
HdfR	
HigA	ynfH//
HigB-HigA	paaI//
HipAB	gltB//gcvH//
HipB	mhpF//nadB//glpK//
HprR	aroH//cynT//
HypT	epd//dapD//
IclR	nagA//ndh//puuC//
IlvY	phnI//
IscR	entE//rhaB//hycG//carB//purH//ndh//iscS//
KdgR	nrfA//
KdpE	purC//
LacI	glmS//rutE//yedX//
LeuO	phnM//narH//hmp//
LexA	metC//hmp//phnO//wzc//cyoE//pflB//ynfH//ruvB//purC//
LldR	feaB//hypF//
LrhA	
LsrR	aroG//astD//tyrB//nrdB//caiD//
MalI	glcB//ilvC//
MalT	atoD//glmS//ynfF//ttdB//
MarA	metF//nrdE//malY//nanM//aldA//nfsA//astD//bioF//galE//mtlD//argC//cysM//
MarR	
MatA	glmS//
MazE	grxA//
MazE-MazF	garL//
McbR	
MelR	aceE//malP//
MetJ	alkB//argG//cadA//deoD//tynA//
MetR	yqjH//nrfD//pck//
MhpR	dkgA//glxK//bioF//atoB//narH//fadJ//
Mlc	relA//fabI//recB//
MlrA	ldtC//
MngR	ynfE//citG//
MntR	ulaG//
ModE	adiA//waaZ//nanK//bioB//torC//xylA//bioC//udp//deoB//pck//glnA//gadB//dkgA//recB//melA//
MprA	citG//
MqsA	rbsD//uxuB//
MraZ	truB//araD//phnH//fadJ//bioB//ulaD//lpxC//accC//pgk//paaE//
MurR	rnpB//alkB//entH//
Nac	cyoE//bioA//phnJ//napA//
NadR	araD//
NagC	bioA//mhpA//cynT//nrdF//zwf//fadJ//murG//atoB//cysM//tyrA//malQ//paaJ//citC//polB//
NanR	tdcE//hycC//wzb//rutC//caiB//deoB//
NarL	mhpB//mhpE//pfkA//patD//aceA//treC//glpA//fabG//kbaY//entD//ruvB//citE//xylA//fabI//bioC//fumC//hcp//entD//tyrA//fabH//yfdE//tdcB//srkA//putA//
NarP	nagA//zwf//atoA//xylB//rhaB//mhpB//tnaA//mhpF//lacA//
NemR	murC//ada//
NhaR	tauD//phnM//murE//mdh//hycB//
NikR	malY//
NimR	hycF//
NorR	paaY//
NrdR	mhpB//nanM//iscS//pgaD//
NsrR	pyrC//rutB//glyA//poxB//phnH//ulaG//
