# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nrdB//murC//
Ada	accA//rutA//mhpE//cynT//
AdiY	gadB//nanM//patD//murD//
AgaR	nrdA//
AidB	rutC//
AlaS	purN//
AllR	galE//pgaD//nanA//fabB//garK//hcp//
AraC	hycG//citF//ulaD//epd//ccp//malP//
ArgP	gcvT//lsrG//glcD//ynfE//recB//nirD//carA//allB//dgcZ//
ArgR	glpB//tyrB//polA//cynS//recB//yqhD//metA//aldA//gcvH//nrdD//grxA//purD//hycE//codA//entC//ssuE//hcaD//paaA//citG//ugpQ//paaF//nrfD//napH//
ArsR	astE//gntK//
AscG	ruvA//yqhD//
AtoC	katG//polB//fadH//
BaeR	argA//pykF//
BasR	aroF//xylA//yqhD//
BirA	kbaZ//fadJ//ascB//argC//lsrG//
BluR	
BtsR	napA//
CadC	patD//lacA//epd//
CaiF	araD//tdcD//frc//hcaF//araD//
Cbl	glyA//cysG//ahpF//slt//paaG//
CecR	citF//
ChbR	frdA//zwf//napB//
ComR	
CpxR	metF//frdC//paaA//ftsI//add//tdcG//entA//purD//yqhD//pgaC//moaA//gcvT//citF//dapB//patD//
Cra	ttdA//ldtD//gntK//polB//patD//add//mraY//puuA//ftsI//napH//phnH//hyaC//citX//bglB//zwf//pgaC//ynfH//citD//gpmA//pgaD//nrdB//gcl//nanK//murE//bioD//rimK//
CreB	
CsgD	pgaD//cadA//gadA//aceA//
CspA	
CueR	lysA//argA//
CusR	glyA//murI//
CynR	hyaC//dapB//glcD//
CysB	ppsA//glnA//tdcB//phnI//wzc//argE//murC//recF//astB//
CytR	pgaC//gdhA//hycF//ulaG//fadI//gntK//citF//glcE//argH//
DcuR	bioD//araA//fadE//lacA//
DeoR	ahpC//purB//cysK//nrdF//
DicA	
DinJ-YafQ	grxA//
DnaA	hyaA//yqjH//lacA//nirD//caiA//paaZ//
DpiA	cynS//xylB//purH//fumC//nanK//
EnvR	aroG//nrfD//
EvgA	araD//hycF//napB//lysC//aceF//
ExuR	
FabR	ldtC//murG//yqjH//
FadR	fes//sbcC//purD//luxS//aceE//ppiA//eda//atoD//ugpQ//hcaE//argF//sbcC//astB//tdcD//murD//
FeaR	yfdE//torC//
FhlA	ynfH//tdcE//argI//citE//tam//atoA//udp//
FlhDC	aroG//cadA//
FliZ	srkA//fau//uxuB//melA//bglB//
Fur	pnp//ulaG//fabA//pgk//nanM//dgcC//frdC//uvrB//yedX//deoB//ttdB//hycF//puuB//gcvP//glmS//hcaE//ldtC//trpC//pgaB//codA//tdcE//murQ//phnG//aceB//cyoE//murD//lysC//phnM//lldD//wzb//umpH//
GadE	deoD//glcE//phnJ//
GadE-RcsB	katG//purH//mhpC//entH//argG//
GadW	ydcS//pspE//ycjG//
GadX	hycF//putA//atoA//bioC//fabA//
GalR	paaK//argG//ttdA//icd//patD//
GalS	glyA//nemA//ynfF//glmS//mhpD//
GcvA	murF//acnA//phnM//
GlcC	purB//folA//yfdE//
GlpR	treC//mhpC//deoD//carB//mazG//argG//glcB//
GlrR	
GntR	rutE//bioC//glcF//nrfD//rhaD//
HU	pflB//fau//ynfG//ugpQ//
HcaR	aroG//aspA//
HdfR	
HigA	glpQ//
HigB-HigA	sodA//
HipAB	glcF//ppiA//
HipB	frdC//gntK//pdeR//
HprR	phnL//citG//
HypT	argD//glpC//
IclR	putA//purC//deoA//
IlvY	hcaC//
IscR	caiC//ung//murD//mraY//napA//nanE//gltD//
KdgR	codA//
KdpE	ddlB//
LacI	glyA//hyaB//sodA//
LeuO	pdeR//rhaB//purN//
LexA	dgkA//aroG//nanE//gcvT//sodA//pnp//caiA//accC//lpxC//
LldR	zwf//gcvT//
LrhA	
LsrR	rnpB//purC//frdA//dmsC//alkA//
MalI	metF//tdcE//
MalT	rsmH//katG//deoD//paaB//
MarA	ttdA//citD//gadB//ppsA//aceE//trpD//gcvT//glpB//rbsK//entA//phnO//gloA//
MarR	
MatA	araB//
MazE	galT//
MazE-MazF	gcvP//
McbR	
MelR	fabA//ynfE//
MetJ	ycjG//hycC//ugpQ//gcvP//astE//
MetR	yqhD//puuC//hycE//
MhpR	caiA//torC//aceE//frdC//rimK//tdcG//
Mlc	argE//argF//kbaZ//
MlrA	fabG//
MngR	pck//slt//
MntR	caiD//
ModE	hycG//ada//napA//fadI//patD//purN//paaG//mhpE//argB//bioD//aceE//bioF//moaC//purA//argG//
MprA	mhpA//
MqsA	caiA//fabI//
MraZ	lsrK//citX//umuC//accD//ychF//cdd//glxR//hemH//aroL//ldtC//
MurR	lpd//tyrB//atoD//
Nac	nirD//hycD//garK//glcB//
NadR	argE//
NagC	glpC//entF//ynfF//argI//gadB//yfdE//mhpC//trpA//purA//puuA//ycjG//ulaD//hycC//phnG//
NanR	lldD//cysE//umpH//paaF//citD//fau//
NarL	uvrB//umuC//entE//lacA//hcaF//nrdD//recF//ribA//ftsI//hcaF//lysA//phnM//cueO//tdcD//gntK//xylB//cadA//hemL//fabH//glpK//garK//grxA//trpC//wzc//
NarP	hcaC//deoC//ldtC//aspA//citD//waaY//paaA//ruvB//purC//
NemR	purD//astC//
NhaR	cynS//wrbA//moaE//lsrF//argB//
NikR	gntK//
NimR	allA//
NorR	murC//
NrdR	paaA//purH//argA//phnM//
NsrR	hcaE//entB//argA//ddlB//sbcD//adiA//
NtrC	hypF//argH//caiA//bioF//hmp//lpd//murG//hyi//
OmpR	murF//fbaA//ftnA//dgcZ//rutA//galM//codA//umuD//
OxyR	uxuA//frdB//caiB//hcaD//acnA//tam//hyaB//pgaB//nrfA//glpB//hycD//garR//uxuB//
PaaX	ulaD//murE//pdeL//nrfC//fabI//deoD//ulaF//ulaE//yqhD//
PdeL	ahpC//
PdhR	glmU//carB//glpQ//luxS//metE//fbaA//entH//trpA//atoD//carB//puuE//accA//fadH//caiC//edd//astC//carB//entF//lsrF//araA//glpA//alaC//
PepA	ssuD//kbaZ//
PgrR	fabI//gpmA//
PhoB	murD//hcaC//alkB//alaC//fadH//hemL//mdh//cynT//gloA//nrfA//metF//sodA//adhE//bioA//glnA//
PhoP	argH//rutC//ada//
PspF	nfsA//
PurR	fes//purF//nrdF//ndh//fadJ//phoA//xylB//phnH//icd//mhpB//purA//phnP//
PutA	purC//zwf//
PuuR	pdeL//purB//dmsA//trpB//fes//aldA//
QseB	
RbsR	accC//phnM//nagB//moaA//argF//nrdF//
RcdA	glpB//
RclR	
RcnR	hcaF//
RcsAB	lacA//caiB//
RcsB	chbG//araA//
RcsB-BglJ	polA//cueO//
RelB	nrdF//
RelB-RelE	nrdF//
RhaR	
RhaS	fau//fbaA//accA//tdcD//
Rob	ssuD//atoA//aroF//mngB//
RstA	pdeR//
RutR	purB//ahpC//folA//hyi//carB//argD//mhpD//aspA//paaZ//nadB//
SdiA	
SgrR	yqjH//relA//paaK//
