# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	astC//ychF//
Ada	bioC//rutB//paaF//fau//
AdiY	garL//nanM//sbcD//waaY//
AgaR	fdhF//
AidB	fadE//
AlaS	argB//
AllR	yqjH//paaI//tnaA//torA//umuC//mhpE//
AraC	glyA//murD//murC//paaC//argI//rhaA//
ArgP	dgcC//kbaZ//glcD//ruvA//astC//eno//nanM//narG//hcp//
ArgR	trpA//hcaD//mhpB//cynT//fabD//ulaG//nrdE//allB//entC//folA//glmS//mraY//aroL//hcaE//glcB//purD//hyaB//waaZ//murD//tdcG//phoA//luxS//puuB//
ArsR	gcvH//edd//
AscG	patD//dmsA//
AtoC	ynfF//phnL//frc//
BaeR	malQ//phoA//
BasR	glpK//ddlB//aceB//
BirA	purB//fumB//glpA//folA//phoA//
BluR	
BtsR	deoD//
CadC	ycjG//napA//glpK//
CaiF	fabD//hycG//umuC//rutC//phnH//
Cbl	paaI//kbaY//aroL//glpB//nanA//
CecR	araA//
ChbR	frdA//frc//paaY//
ComR	
CpxR	zwf//malQ//metE//narI//murF//guaB//trpB//lacZ//pdeL//bioD//dkgA//purN//galK//murQ//srkA//
Cra	cyoE//entH//tdcG//moaC//citC//cdd//pgaC//argI//metF//ruvA//ccp//nrdF//pgaD//argF//paaI//hyaC//metA//lysA//tauD//murF//entF//fadE//gadA//nanK//ahpF//srkA//
CreB	
CsgD	paaY//nrfD//glmU//yedX//
CspA	
CueR	rutD//hycG//
CusR	paaA//hmp//
CynR	torC//mtlD//rhaA//
CysB	ynfG//ruvB//chbF//ahpC//astD//feaB//ogt//ada//lacA//
CytR	glcD//deoD//ung//feaB//appA//pdeL//astE//entH//puuE//
DcuR	cysE//fabB//hemH//ssuE//
DeoR	galE//dgcZ//ahpF//hyi//
DicA	
DinJ-YafQ	purB//
DnaA	phnP//hcaE//fabI//sodA//phnO//phoA//
DpiA	nirD//metF//cysM//entF//ndh//
EnvR	moaE//phnM//
EvgA	accC//glpA//tdcE//ung//argI//
ExuR	
FabR	caiD//glxR//cysG//
FadR	relA//ung//eno//waaZ//torA//alkB//ynfG//accC//relA//lsrG//frdA//rhaB//mpaA//entC//allA//
FeaR	araD//accC//
FhlA	moaC//pdeL//hycG//ulaD//icd//puuD//nrdA//
FlhDC	ynfH//phnL//
FliZ	lacZ//argB//purM//ahpF//mhpA//
Fur	phoA//hyaC//ydcS//glpK//aroL//cadA//mazG//paaH//murE//torC//tynA//ttdB//aceE//paaZ//garR//mdh//mdh//glpD//frdA//sodA//glcE//paaF//caiA//argA//chbG//garK//metA//ribA//fumC//aceE//purA//
GadE	recD//cysM//bglB//
GadE-RcsB	nanK//ttdB//eno//tyrA//puuB//
GadW	hyaC//deoA//lpd//
GadX	murD//lacZ//puuE//narG//purN//
GalR	pgaB//nemA//accC//frdA//murE//
GalS	puuE//alaC//hyaA//rutC//waaZ//
GcvA	aroL//ycjG//phnI//
GlcC	ndh//ada//umuC//
GlpR	entH//purM//ttdB//paaI//umuD//lsrG//hcaB//
GlrR	
GntR	recF//ulaF//paaC//pflB//deoA//
HU	lpxC//cdd//ynfF//tdcD//
HcaR	entF//gltD//
HdfR	
HigA	nemA//
HigB-HigA	uvrB//
HipAB	patD//fabA//
HipB	wzb//recF//purH//
HprR	glpC//tyrA//
HypT	lysA//gadB//
IclR	ynfH//nfsB//astC//
IlvY	trpE//
IscR	sbcD//nfsB//tyrB//glmS//napB//murI//hycF//
KdgR	luxS//
KdpE	feaB//
LacI	argG//rbsK//hycB//
LeuO	hycF//gadA//ftnA//
LexA	appA//ttdB//xylA//adhE//murC//atoA//ldtD//astB//aroH//
LldR	phnL//malY//
LrhA	
LsrR	moaD//recD//galT//adiA//phnN//
MalI	ruvA//gltB//
MalT	hycC//moaC//purF//nagA//
MarA	trpD//uvrB//entB//tdcG//astE//patD//pspE//fau//bioF//nrfA//murF//fau//
MarR	
MatA	caiB//
MazE	torC//
MazE-MazF	purA//
McbR	
MelR	pspE//moaC//
MetJ	galK//glxK//nagA//astC//hycG//
MetR	argD//argH//gcl//
MhpR	hemL//xylB//malP//yedX//moaD//tnaA//
Mlc	yqhD//ychF//paaJ//
MlrA	tdcD//
MngR	garR//argE//
MntR	entE//
ModE	atoB//katG//moaE//gloA//ssuE//pdeL//ygeA//accA//cyoE//ubiX//gpmA//mhpC//ahpC//ndh//purC//
MprA	glpX//
MqsA	hemL//hcaB//
MraZ	moaA//hyaB//rhaA//garK//aceE//paaI//narG//argE//rnpB//pnp//
MurR	argH//dgcZ//nanE//
Nac	hyaA//ada//hycD//argF//
NadR	entF//
NagC	ttdA//ilvC//epd//mpaA//nrdB//ftnA//gltB//moaC//alkB//hyi//truB//glxK//galE//accD//
NanR	astD//gpmA//entH//galK//ynfG//rutC//
NarL	dgcC//hyaA//pck//bioD//ttdB//rutE//eno//argA//eno//nanM//hcp//ynfG//iscS//ascB//phnJ//napG//mhpD//carA//srkA//citG//hycG//cysE//paaC//ynfG//
NarP	deoD//moaD//aceA//metF//yqhD//xylA//aceF//ada//umuC//
NemR	pfkA//dgkA//
NhaR	fau//fdhF//phnP//araA//rhaA//
NikR	sbcC//
NimR	nagB//
NorR	trpB//
NrdR	astA//ttdA//caiA//trpD//
NsrR	dmsA//pck//ada//ahpC//feaB//adiA//
NtrC	galK//rutA//polB//phnJ//fbaA//paaZ//cdd//citG//
OmpR	cysG//carA//fabI//tdcB//ldtD//hmp//nrdA//fabA//
OxyR	astC//hyaC//lsrG//oxc//hcaD//entH//lysA//gntK//accA//eno//cynT//ychF//argE//
PaaX	ycjG//ahpC//gntK//gloA//hypB//nrfA//ilvC//epd//dgkA//
PdeL	astD//
PdhR	eda//ssuE//nfsA//pgaD//ydcS//fadE//lsrG//frdB//nrdE//slt//bioF//atoD//xylA//tauD//eno//waaY//fdhF//paaF//argI//ahpF//ydcS//torC//
PepA	dmsB//fadE//
PgrR	rimK//entH//
PhoB	atoA//hycB//ppiA//phnP//cdd//trpE//fadH//fabD//nrdA//nagB//lsrG//udp//cysG//murQ//recD//
PhoP	wzc//mpaA//caiB//
PspF	tdcD//
PurR	waaZ//citE//trpE//entA//ilvC//relA//rutD//metA//garR//ynfG//yqhD//waaZ//
PutA	oxc//srkA//
PuuR	rutD//folE//paaZ//entD//dgcC//alkA//
QseB	
RbsR	epd//paaC//gdhA//glxK//hycG//aldA//
RcdA	ulaE//
RclR	
RcnR	xylA//
RcsAB	paaH//citD//
RcsB	aldA//arsC//
RcsB-BglJ	yfdE//tynA//
RelB	napH//
RelB-RelE	rutD//
RhaR	
RhaS	ddlB//ynfE//accC//ssuD//
Rob	narG//tam//rutD//argB//
RstA	tyrA//
RutR	zwf//paaJ//purH//ccp//nfsA//ttdA//bglB//dapB//pgaD//fabB//
SdiA	
SgrR	murE//sufS//alaC//
SlyA	hcaF//gcvP//tam//moaE//gltD//pspE//paaG//nemA//glyA//
SoxR	gntK//
SoxS	ynfE//murI//cysM//citC//araA//araD//phnH//nrdD//waaZ//nirB//entE//murQ//galM//accC//icd//murE//
StpA	argB//
SutR	umuD//feaB//
TdcA	garR//ddlB//puuD//puuA//eda//
TdcR	hyi//dgkA//rutD//puuC//murF//
TorR	alkA//lsrG//caiC//sodA//
TreR	feaB//argH//
TrpR	gcvP//hcaE//phnG//epd//ulaG//lpxC//dkgA//tdcG//trpA//
TtdR	carA//frdD//
TyrR	rutD//argC//dapB//fabA//trpA//bioD//glcB//slt//phnM//
UhpA	hypF//
UlaR	kbaZ//edd//aceF//eno//moaC//
UvrY	paaA//metF//
UxuR	hyi//bioD//mazG//
XylR	caiA//glpX//xylA//
YdeO	alkB//argE//rutA//
YefM	allA//
YefM-YoeB	ppiA//
YhaJ	
YjjQ	
YpdB	
YqhC	tdcG//lacZ//
YqjI	galT//
ZntR	pdeL//
ZraR	
Zur	recF//
