# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaJ//murE//
Ada	nrdE//eno//narG//melA//
AdiY	nrfC//metE//bioA//malP//
AgaR	ruvB//
AidB	rutE//
AlaS	recF//
AllR	argD//ycjG//pgaC//napB//glcE//narH//
AraC	pyrC//nanK//phnM//guaA//aroF//katG//
ArgP	lysC//ynfF//entD//cysE//glpK//purF//hycF//relA//hypF//
ArgR	ulaE//epd//katG//fadD//argE//yedX//xylB//cadA//trpA//atoA//aldA//accC//adhE//araD//metA//argE//puuC//paaB//nanA//aroL//aldA//caiC//rhaB//
ArsR	caiD//bioA//
AscG	nfsB//caiD//
AtoC	nrdE//gadA//cysG//
BaeR	ulaD//nrfA//
BasR	ssuD//gpmA//frdC//
BirA	lldD//uxuB//dgcZ//citE//phnM//
BluR	
BtsR	malP//
CadC	purA//eda//pyrC//
CaiF	purM//citD//gntK//uxuB//hmp//
Cbl	ygeA//argA//atoA//eda//umuD//
CecR	cdd//
ChbR	mdh//caiD//arsC//
ComR	
CpxR	glmU//hycE//murE//fumC//nirD//bglB//fabB//hmp//folA//ruvA//murF//araB//entC//lsrK//glnA//
Cra	pdeL//ssuE//patD//tdcB//nagB//phnG//citD//rbsK//deoD//fabD//entD//ycjG//pspE//fumC//ribA//fabB//ulaG//deoB//phnG//murD//purA//rutB//appA//pykF//tdcE//glxR//
CreB	
CsgD	nrfD//fumB//atoD//phnL//
CspA	
CueR	frdA//entA//
CusR	hcaC//frc//
CynR	aroH//nagB//trpE//
CysB	entD//gadB//purB//fadJ//atoB//argH//moaD//pyrC//argB//
CytR	glyA//entF//ynfF//hycG//umuC//udp//fabD//glpB//mngB//
DcuR	zwf//gpmA//ttdB//hyaB//
DeoR	deoC//bglB//purH//truB//
DicA	
DinJ-YafQ	aroL//
DnaA	cyoE//puuE//lacA//paaZ//pgaC//caiB//
DpiA	ogt//caiD//phnN//ulaG//nadB//
EnvR	ddlB//napA//
EvgA	narG//ydcS//frdB//moaC//paaK//
ExuR	
FabR	metF//tauD//arsC//
FadR	alaS//narH//pfkA//fabI//hycB//fes//glmU//argG//paaF//dkgA//mhpC//narG//glmU//wzc//accC//
FeaR	malQ//fes//
FhlA	aroG//astB//hypB//fabA//ldtD//frdB//oxc//
FlhDC	murG//fumC//
FliZ	ynfH//glpC//glmU//napB//phnO//
Fur	deoB//atoB//hcaF//metA//ulaF//caiA//malY//appA//entF//eno//hypB//citX//fabI//hcaB//kbaZ//dmsA//nrfD//hyaC//cynT//nirB//nanE//recD//phoA//wzc//deoB//cysK//mtlD//alaC//ahpF//citF//purB//
GadE	argH//hcaC//trpA//
GadE-RcsB	phnP//yfdE//lpxC//fadE//aceF//
GadW	astB//dmsB//alaC//
GadX	nagA//hcaC//fadI//nanK//lysA//
GalR	ychF//phnJ//hcaC//guaA//adiA//
GalS	rutE//hcaF//rutC//rutD//kbaY//
GcvA	galM//katG//hyi//
GlcC	truB//waaY//nrfD//
GlpR	glcF//puuA//dapB//fabD//rsmH//lysA//gcl//
GlrR	
GntR	nrfC//narG//argF//ynfE//ychF//
HU	cynS//adhE//fabI//accA//
HcaR	dmsB//galK//
HdfR	
HigA	zwf//
HigB-HigA	pflB//
HipAB	kbaY//astD//
HipB	citD//paaJ//gdhA//
HprR	fadJ//ung//
HypT	malQ//hycD//
IclR	ftnA//tynA//lpxC//
IlvY	araA//
IscR	tnaA//accC//galK//hycE//torA//glpA//galE//
KdgR	ogt//
KdpE	xylA//
LacI	ssuE//dgkA//rbsD//
LeuO	ccp//polB//tauD//
LexA	phoA//astE//lysC//bioB//cysM//ycjG//bioB//caiD//accD//
LldR	ulaE//guaB//
LrhA	
LsrR	gpmA//purN//rimK//phnN//aroG//
MalI	gpmA//argC//
MalT	garK//paaA//ruvB//ung//
MarA	ulaF//paaE//phnL//gadB//cyoE//ynfE//fumC//phnO//pdeL//dgcZ//fabH//chbF//
MarR	
MatA	luxS//
MazE	trpD//
MazE-MazF	cysE//
McbR	
MelR	moaC//srkA//
MetJ	araB//phnJ//napG//atoB//relA//
MetR	icd//folE//srkA//
MhpR	ulaF//mpaA//polB//hycB//recF//deoC//
Mlc	fabH//lldD//dgcC//
MlrA	entC//
MngR	metC//epd//
MntR	moaA//
ModE	relA//gpmA//paaZ//lysA//bioC//ogt//entD//cynT//ygeA//entA//galK//purA//paaK//gltD//ruvB//
MprA	adiA//
MqsA	galK//folE//
MraZ	hycC//metF//ahpF//folE//uxuA//phnG//murG//tyrB//napA//glpQ//
MurR	fadD//deoA//glcF//
Nac	mhpB//pgk//nrdE//entF//
NadR	cynT//
NagC	hyaB//trpE//ruvB//cueO//entA//argD//glyA//uvrB//napA//trpB//hcaD//fumC//moaC//atoD//
NanR	hmp//glcD//cueO//fadH//napH//paaJ//
NarL	fadD//narG//nirD//ttdA//ynfE//entF//glcF//hypF//fabD//astA//pgaB//atoD//atoA//argB//lsrF//luxS//murD//lacZ//paaH//umpH//rnpB//cysG//alkB//uvrB//
NarP	rutB//nagA//accC//bioA//cueO//folE//aroF//adiA//ulaG//
NemR	lysA//glpX//
NhaR	ydcS//ynfH//dkgA//slt//garR//
NikR	fabB//
NimR	phnG//
NorR	hemH//
NrdR	nrdA//uxuB//tnaA//paaI//
NsrR	uxuB//gpmA//recF//gcl//nfsB//dgcZ//
NtrC	accA//lacA//nrfA//dmsA//rimK//ulaG//napH//gpmA//
OmpR	tynA//fabB//argB//murC//ttdB//oxc//atoA//entA//
OxyR	alaS//hycD//rutC//sodA//sodA//mtlD//nemA//ynfF//codA//purH//citG//nirB//napH//
PaaX	cadA//waaZ//narI//fabB//aceA//hemH//narI//purF//gltD//
PdeL	astE//
PdhR	nanK//deoB//rbsD//lacA//entH//pgk//rutD//ilvC//gapA//mhpA//ldtD//murG//alkB//phnI//ynfH//garK//cysG//accD//ygeA//gadA//ynfG//mngB//
PepA	murE//napB//
PgrR	ddlB//lpd//
PhoB	ssuE//murQ//purC//kbaZ//cdd//bioF//paaG//lysA//nadB//lsrG//mhpE//hmp//gcvH//poxB//lsrK//
