# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	pnp//guaB//
Ada	gdhA//feaB//atoB//polB//
AdiY	hcaF//rbsD//guaA//frc//
AgaR	sbcD//
AidB	trpA//
AlaS	lsrG//
AllR	cadA//lpd//adhE//entC//eda//ynfE//
AraC	tnaA//paaJ//pgk//moaD//recD//chbG//
ArgP	deoA//nfsA//purB//ppiA//pykF//acnA//nanK//murQ//yqjH//
ArgR	astE//malY//atoB//nfsB//ttdB//ulaF//ldtC//rutA//nanA//slt//phoA//phnG//aroH//purM//tdcB//hemH//icd//yfdE//ddlB//hycC//argI//ogt//caiC//
ArsR	bglB//aceB//
AscG	purD//putA//
AtoC	accD//ogt//argI//
BaeR	cysG//purH//
BasR	metC//galK//nfsA//
BirA	deoA//purM//gloA//metC//glpQ//
BluR	
BtsR	caiB//
CadC	murI//nrdF//hyaA//
CaiF	alaC//bglB//wzc//gloA//rhaB//
Cbl	argE//pykF//folA//phnM//murE//
CecR	allB//
ChbR	rbsK//yqjH//argH//
ComR	
CpxR	accA//ynfH//lsrG//murC//astB//galK//paaA//pykF//rutB//glpB//malP//ssuD//argE//ulaF//add//
Cra	fau//dapB//tdcE//chbG//araB//pck//purF//yqhD//lpd//purA//caiC//malP//recF//pyrC//paaB//ung//rhaB//sufS//pgk//purA//paaA//narI//ttdA//purB//ssuE//aspA//
CreB	
CsgD	fabB//kbaY//paaY//glmS//
CspA	
CueR	astE//caiC//
CusR	rsmH//add//
CynR	tam//hypB//fabD//
CysB	alkA//phnO//fbaA//lsrK//uxuB//xylA//entA//nrdE//oxc//
CytR	udp//argA//nrfC//ahpC//waaY//moaA//cdd//argE//ogt//
DcuR	pgaC//ldtC//alaS//argI//
DeoR	frdB//hcaB//fdhF//atoB//
DicA	
DinJ-YafQ	murF//
DnaA	glxK//argB//cyoE//nanM//luxS//accD//
DpiA	udp//nrdA//pgaC//hcaC//glpB//
EnvR	napB//rsmH//
EvgA	bioC//dmsA//pgaC//nirD//ruvA//
ExuR	
FabR	ychF//purC//araD//
FadR	hyi//zwf//accC//murC//relA//glmU//hcaF//cysE//ttdA//accA//torC//ada//ppiA//cysM//zwf//
FeaR	phnM//citG//
FhlA	tdcB//entH//ldtD//ubiX//pgaC//trpA//tam//
FlhDC	hcaD//hycE//
FliZ	glpX//rimK//dmsC//argH//bioC//
Fur	eda//araB//trpE//glpC//fabI//umuD//tauD//tynA//ldtD//aroF//grxA//hyaC//frdB//murQ//malP//tauD//gcvT//tdcG//hycG//rutB//ccp//umuD//eda//malP//sodA//phnG//eno//frdC//paaG//nirD//citF//
GadE	gltD//uvrB//napA//
GadE-RcsB	glpX//purN//putA//galK//pgaB//
GadW	pfkA//tdcD//narI//
GadX	cysG//paaB//uxuB//atoD//paaZ//
GalR	codA//paaK//bglB//aldA//phnO//
GalS	paaG//wrbA//recF//mpaA//alaS//
GcvA	ppiA//ruvA//nanK//
GlcC	deoA//malP//napB//
GlpR	lsrF//glpA//citG//uxuA//lsrG//yqhD//ilvC//
GlrR	
GntR	hycD//tauD//rutC//hycB//entA//
HU	gcvT//patD//ada//fabA//
HcaR	xylA//narI//
HdfR	
HigA	mhpF//
HigB-HigA	melA//
HipAB	ccp//malY//
HipB	hycE//hemL//tdcE//
HprR	accA//ttdA//
HypT	patD//bioC//
IclR	moaC//deoC//deoA//
IlvY	nirB//
IscR	dgcZ//nanM//gcvP//gltD//atoD//tdcB//bglB//
KdgR	hyaB//
KdpE	lsrF//
LacI	luxS//poxB//kbaY//
LeuO	nrdB//gntK//lpd//
LexA	ftsI//ddlB//paaK//hyaB//tnaA//hycC//cysM//gloA//allB//
LldR	glpD//mazG//
LrhA	
LsrR	folA//fabB//melA//pspE//nrfC//
MalI	patD//ldtC//
MalT	tnaA//hycD//rnpB//lsrF//
MarA	fadJ//adiA//ydcS//paaY//nrdB//fadD//mhpA//nfsA//entE//guaA//ynfH//ssuE//
MarR	
MatA	poxB//
MazE	lsrF//
MazE-MazF	ppiA//
McbR	
MelR	aceE//entD//
MetJ	ssuD//metA//rsmH//katG//rutC//
MetR	purH//tam//lsrF//
MhpR	gcvP//hyaA//pykF//astE//pnp//bglB//
Mlc	sodA//murG//nfsA//
MlrA	hcaC//
MngR	nanK//cynT//
MntR	ygeA//
ModE	codA//tam//nrdF//ynfF//nanE//wrbA//metF//argF//fes//fabD//caiC//ttdB//chbG//chbG//puuE//
MprA	lacA//
MqsA	carB//aceA//
MraZ	waaZ//rutD//cynT//caiA//argG//fdhF//rbsK//acnA//edd//glpX//
MurR	puuA//fadJ//dgcZ//
Nac	argA//umuC//add//caiC//
NadR	galK//
NagC	carB//entH//pgaD//glpB//mazG//fadD//tauD//pspE//hcaE//sbcD//garR//purA//rimK//mpaA//
NanR	aceF//mhpF//nanK//patD//entD//hycF//
NarL	accA//fau//nrfD//dmsB//purH//argH//gcvH//caiD//pck//glpQ//rutE//dgkA//carB//napH//hypF//puuD//torA//purM//ruvA//ulaD//cueO//paaY//frdA//purA//
NarP	cysE//cadA//phnM//caiA//nrdF//hypB//argB//glpK//deoA//
NemR	paaE//pdeR//
NhaR	rimK//trpD//galM//moaD//entD//
NikR	ydcS//
NimR	citD//
NorR	wzc//
NrdR	uxuB//nrfC//icd//paaZ//
NsrR	bioB//bioD//paaC//ynfG//recD//nanA//
NtrC	umuC//fabA//ulaE//umuD//lacZ//rutD//cdd//gcl//
OmpR	frdA//aspA//argD//cysG//glpQ//mhpE//hypB//glcB//
OxyR	aroH//galK//fdhF//hypB//phnH//gdhA//fadI//phnH//frdC//chbF//mtlD//treC//glnA//
PaaX	ygeA//lysC//astD//aroH//entD//mngB//cynT//eda//malY//
PdeL	paaZ//
PdhR	hypB//rbsK//rhaA//astD//hycD//cynT//astE//rutB//fbaA//puuC//chbG//polA//alkA//nfsA//accA//glcB//cdd//hycD//glcF//frdA//folE//nrdF//
PepA	accA//entF//
PgrR	rutC//ruvA//
PhoB	ulaD//phnO//acnA//ynfE//cyoE//glxR//citD//hcaE//ulaF//purC//nrfA//gcvH//relA//argH//lpd//
PhoP	phnJ//argA//ftsI//
PspF	atoA//
PurR	lacZ//ulaF//icd//garR//nanA//ddlB//torA//waaZ//citD//pykF//aceE//lldD//
PutA	frc//dgcC//
PuuR	hemH//carB//caiB//umuD//rutE//ulaG//
QseB	
RbsR	malP//ogt//astD//hcaF//citF//rutA//
RcdA	galM//
RclR	
RcnR	grxA//
RcsAB	phnO//aroH//
RcsB	ppiA//umuC//
RcsB-BglJ	metC//waaY//
RelB	rhaD//
RelB-RelE	ilvC//
RhaR	
RhaS	accA//araA//ldtD//ascB//
Rob	ppiA//nfsB//phnM//codA//
RstA	purD//
RutR	aroL//rutE//galT//bglB//argD//hcaD//tam//garL//cysK//lysC//
SdiA	
SgrR	entC//ftnA//mraY//
SlyA	fadH//argH//codA//torA//moaA//glpK//cynS//murI//ahpF//
SoxR	recD//
SoxS	ychF//hyaA//entH//pgk//narH//paaK//ynfH//aroH//ppsA//hypB//puuC//dgcC//adhE//pfkA//argE//glmU//
StpA	aroH//
SutR	argB//pykF//
TdcA	lacA//galT//citX//hcaC//dmsB//
TdcR	nirB//astD//iscS//napA//tyrB//
TorR	paaF//icd//fabI//umuD//
TreR	icd//entA//
TrpR	frc//phnO//aroL//entC//chbF//nrfC//argI//gcl//wzc//
TtdR	dapB//nemA//
TyrR	rhaB//fabA//malQ//fdhF//uxuB//cadA//paaH//yfdE//purD//
UhpA	nagB//
UlaR	argH//glmU//frdD//pgaB//citG//
UvrY	mngB//hcaE//
UxuR	trpA//lysC//umpH//
XylR	uxuA//narH//ynfF//
YdeO	cyoE//gdhA//gcvT//
YefM	waaY//
YefM-YoeB	ttdB//
YhaJ	
YjjQ	
YpdB	
YqhC	nrfC//hycB//
YqjI	appA//
ZntR	phnH//
ZraR	
Zur	ssuE//
