# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ribA//citX//
Ada	puuA//hyaA//napH//gpmA//
AdiY	puuB//guaB//lacA//galK//
AgaR	ilvC//
AidB	hemL//
AlaS	cysK//
AllR	lpd//ynfF//ttdA//fabI//nanM//glpC//
AraC	waaZ//fadJ//pgk//ttdB//aldA//torA//
ArgP	ddlB//araB//adiA//cadA//rutA//uxuA//malQ//aceB//aroH//
ArgR	ftsI//arsC//fabI//hcp//phnO//ynfH//cysG//cadA//kbaY//wrbA//moaC//caiC//eda//araD//ulaD//mhpD//lldD//poxB//tdcD//xylA//nrfD//glmU//alaC//
ArsR	phoA//mngB//
AscG	lsrK//alkA//
AtoC	pgaD//dapD//yqhD//
BaeR	purM//glxK//
BasR	dapB//nanK//ychF//
BirA	paaC//katG//mpaA//paaK//glxR//
BluR	
BtsR	aroF//
CadC	pdeR//entA//ftsI//
CaiF	araA//accD//ada//alkB//glxK//
Cbl	glmS//appA//phnM//cysE//purB//
CecR	gltB//
ChbR	nanK//malP//ppsA//
ComR	
CpxR	phnJ//ilvC//bglB//iscS//aroG//yedX//adiA//pgaC//astE//napA//ftsI//ahpC//fabA//dmsC//fdhF//
Cra	lldD//udp//gloA//aldA//dmsC//purF//paaB//fabG//lpxC//nadB//purN//gadA//fabG//entB//nagB//hcaF//uxuB//bioB//nfsA//araD//rnpB//fadI//ndh//nrdD//araD//kbaY//
CreB	
CsgD	waaZ//uvrB//gcvP//gcvH//
CspA	
CueR	frdA//pnp//
CusR	ynfE//phoA//
CynR	lsrF//glcD//xylA//
CysB	purA//fadH//glcF//gntK//ynfF//xylA//rbsK//pgaD//entD//
CytR	rbsD//deoB//nrdB//waaY//paaF//poxB//ynfE//pyrC//kbaZ//
DcuR	murQ//galT//glpX//caiC//
DeoR	hcaD//bioF//murD//hcaC//
DicA	
DinJ-YafQ	folE//
DnaA	mtlD//frdA//umuC//garK//metF//ada//
DpiA	grxA//folE//hcp//purN//uxuB//
EnvR	tyrA//kbaZ//
EvgA	iscS//rutD//bglB//entA//caiC//
ExuR	
FabR	mhpA//wzb//purC//
FadR	lsrK//bglB//luxS//fadI//fes//pgaB//argI//gcvT//pflB//pgk//trpA//lsrG//nirB//glxR//ssuD//
FeaR	carB//moaC//
FhlA	phnL//napH//icd//tauD//zwf//paaY//frdA//
FlhDC	phnP//galT//
FliZ	argA//lsrF//aroG//ddlB//galK//
Fur	srkA//puuC//edd//aceE//cdd//moaC//narG//frdC//fabB//gloA//dgkA//entH//glcD//galK//folA//nfsB//purD//polB//caiA//polA//phnG//fabH//argA//murG//malY//umpH//purA//paaI//glmU//rutA//glcE//
GadE	gpmA//argC//phnO//
GadE-RcsB	yedX//cyoE//ccp//puuD//kbaZ//
GadW	pyrC//glpX//rsmH//
GadX	napH//fabH//gltB//deoB//ttdA//
GalR	puuE//astA//eno//glpQ//gloA//
GalS	nanA//glcF//hycG//glyA//xylA//
GcvA	gadA//arsC//malP//
GlcC	ygeA//umuD//ruvA//
GlpR	sufS//araA//appA//ubiX//tnaA//alkA//nirB//
GlrR	
GntR	gapA//lysC//paaH//deoA//entD//
HU	folE//gdhA//pnp//ubiX//
HcaR	nanA//phnM//
HdfR	
HigA	nrdF//
HigB-HigA	frdB//
HipAB	hycG//ulaG//
HipB	frdA//paaI//slt//
HprR	rutB//nrfD//
HypT	fabG//murE//
IclR	narH//uxuA//nfsB//
IlvY	ldtC//
IscR	caiA//hcaB//fabI//rhaA//accC//ugpQ//puuA//
KdgR	metE//
KdpE	phnI//
LacI	astA//putA//astE//
LeuO	ynfH//uvrB//galE//
LexA	argE//cynT//trpE//puuC//glpQ//argF//glpQ//gcvT//paaK//
LldR	lsrF//waaZ//
LrhA	
LsrR	fabB//entD//paaC//glpX//glxR//
MalI	deoD//citC//
MalT	nadB//frdD//phnI//allA//
MarA	aroL//alkB//napH//nrdE//sbcC//yqhD//araD//paaB//hycD//phoA//tyrB//araD//
MarR	
MatA	yqjH//
MazE	purF//
MazE-MazF	murQ//
McbR	
MelR	carB//citF//
MetJ	rutD//ttdB//torA//rimK//deoA//
MetR	nrdD//cysM//glpA//
MhpR	glpC//ulaF//wzc//gcvP//uvrB//hcp//
Mlc	narG//fabA//ychF//
MlrA	phnP//
MngR	murC//paaF//
MntR	tyrA//
ModE	atoB//puuD//mhpB//fumB//polA//wzb//waaZ//glmU//paaJ//phnN//moaA//ynfH//aceE//recF//bglB//
MprA	ycjG//
MqsA	aroH//pykF//
MraZ	cynT//grxA//xylA//alaS//atoA//aceB//truB//aroL//glpQ//argF//
MurR	tyrB//chbG//phnG//
Nac	argB//metF//purF//bioF//
NadR	nirB//
NagC	hemL//nirB//atoA//hcaD//hycG//argA//frdD//phnH//pgaD//allA//codA//fadJ//mhpC//pdeR//
NanR	polB//katG//phoA//hcaB//entB//wzb//
NarL	folA//ruvA//astD//narI//yfdE//ccp//ndh//adhE//paaB//pnp//aroG//gltD//araD//entF//rutB//galK//narG//dgkA//cdd//mhpB//fabD//phnP//hypF//umpH//
NarP	melA//edd//murI//folE//alkB//caiD//deoC//nfsB//gadB//
NemR	mhpA//lacZ//
NhaR	puuA//mhpB//deoB//napG//gcvP//
NikR	purD//
NimR	tauD//
NorR	astE//
NrdR	wzc//aspA//napA//sodA//
NsrR	rsmH//acnA//hycC//lysA//sbcD//pflB//
NtrC	garL//lacZ//nanE//lacA//araB//ppiA//frdC//frdD//
OmpR	mhpD//ynfF//uxuB//frdA//bglB//pgaB//putA//uxuA//
OxyR	purC//gpmA//purC//fabI//fabH//paaF//argC//araD//entC//uxuA//entH//citE//pgaD//
PaaX	mazG//dmsC//gcl//hyaB//mhpB//napG//hcaE//fumB//fabB//
PdeL	tdcB//
PdhR	accC//gloA//pflB//entC//phnL//hemH//sodA//ascB//fumC//astC//caiC//galE//hcaF//gloA//frdC//aspA//kbaY//entE//ttdB//lpxC//bioA//trpD//
PepA	bglB//fabI//
PgrR	glpX//codA//
PhoB	eda//araD//ssuE//glpK//entB//tauD//ung//hycF//murQ//deoB//tdcB//nirD//tdcB//citG//phnJ//
PhoP	yqjH//aspA//ycjG//
PspF	paaI//
PurR	malP//mhpB//glxK//waaY//trpC//eno//fadE//aceE//deoC//phnP//hcaC//hcp//
PutA	ynfG//ada//
PuuR	ndh//uxuB//glcD//hypF//phnP//alkA//
QseB	
RbsR	nagB//nrdE//treC//pgk//cynT//paaG//
RcdA	citX//
RclR	
RcnR	dmsC//
RcsAB	purA//ycjG//
RcsB	folE//gltB//
RcsB-BglJ	mpaA//fdhF//
RelB	acnA//
RelB-RelE	entD//
RhaR	
RhaS	lacZ//rsmH//umuD//wzb//
Rob	yqjH//alkB//metF//argD//
RstA	recD//
RutR	glpX//kbaY//aspA//napG//hycF//astB//guaA//nrdB//dkgA//eno//
SdiA	
SgrR	ada//hycB//metC//
SlyA	aroL//edd//dgkA//uxuB//argB//nrfD//add//adiA//umuC//
SoxR	recD//
SoxS	astC//atoB//polA//rutB//nadB//oxc//recF//trpB//guaA//rutC//nrfC//ndh//pfkA//ilvC//gcvT//nrfA//
StpA	dgcC//
SutR	ribA//astD//
TdcA	glcE//gcvP//hcaB//entB//tynA//
TdcR	gadB//entE//garK//glyA//yfdE//
TorR	hcaB//ynfH//epd//melA//
TreR	dkgA//gcvT//
TrpR	paaH//glcF//ulaE//puuD//uxuB//rutE//polA//frdA//ynfE//
TtdR	hycE//fabG//
TyrR	arsC//rbsD//glnA//slt//katG//luxS//hycG//hycC//phoA//
UhpA	glxR//
UlaR	puuE//hcaC//accA//deoB//ccp//
UvrY	gcl//pspE//
UxuR	xylB//hyaB//napA//
XylR	gcl//yqjH//napG//
YdeO	recD//oxc//gntK//
YefM	fumB//
YefM-YoeB	citX//
YhaJ	
YjjQ	
YpdB	
YqhC	kbaZ//oxc//
YqjI	nrfC//
ZntR	ulaF//
ZraR	
Zur	fbaA//
