# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	entC//hyaA//
Ada	fabB//frdA//hcp//guaB//
AdiY	hycG//phnJ//nirD//ilvC//
AgaR	recB//
AidB	hyaC//
AlaS	rutC//
AllR	cysM//waaY//pgaB//ydcS//phnO//glpB//
AraC	entE//ung//pck//paaB//entB//atoD//
ArgP	bioB//gltB//sbcC//pgaB//gloA//phnI//uxuA//rutE//phnO//
ArgR	fumC//frdC//ssuE//rutE//metA//hcp//purA//glpK//rbsD//astA//araA//bioA//gpmA//citE//nrfA//nrdB//trpE//nrdD//citE//paaE//rutB//phnH//cysG//
ArsR	gltB//melA//
AscG	lysC//paaI//
AtoC	paaJ//ynfG//narH//
BaeR	aroH//rimK//
BasR	argI//glpA//pyrC//
BirA	accD//garK//garR//allA//metF//
BluR	
BtsR	paaA//
CadC	uxuA//nadB//astE//
CaiF	malP//astA//poxB//pfkA//hemL//
Cbl	glcB//tyrA//pyrC//hcaB//aspA//
CecR	rhaA//
ChbR	nrdE//garL//umpH//
ComR	
CpxR	cysM//lsrG//argA//ppsA//aldA//puuB//garK//glpK//truB//phnL//rutE//cyoE//citX//cueO//hyaB//
Cra	ubiX//mhpC//araD//ssuD//nrfD//argB//gcvP//fadI//puuE//frdA//polA//zwf//deoA//zwf//glpA//rhaD//aceA//caiA//citX//phnH//slt//glmU//murG//gcl//hycF//phnM//
CreB	
CsgD	araB//deoA//sufS//ruvA//
CspA	
CueR	codA//paaY//
CusR	murE//trpB//
CynR	nfsA//ubiX//cynS//
CysB	accA//dmsA//aroG//mhpA//murI//ppiA//ahpF//glcB//hyaC//
CytR	purH//rbsD//ubiX//hcaF//deoB//glcE//torA//paaA//ahpC//
DcuR	ssuE//moaA//fbaA//uvrB//
DeoR	deoB//rhaA//ttdB//frdA//
DicA	
DinJ-YafQ	murG//
DnaA	glpK//codA//phnM//paaB//bioB//murC//
DpiA	mhpF//argI//yedX//hycC//fadE//
EnvR	tynA//ygeA//
EvgA	ttdA//argD//purC//pfkA//ldtD//
ExuR	
FabR	aceA//rhaA//trpC//
FadR	carB//yqjH//fabH//paaF//mpaA//dapB//truB//putA//hyi//glpD//hycG//hcaB//gadB//rutA//glcB//
FeaR	gadA//nirD//
FhlA	galE//ccp//aroH//entB//ttdB//mdh//hyaA//
FlhDC	paaI//cueO//
FliZ	tdcB//ychF//phoA//lsrF//citE//
Fur	purB//waaZ//adhE//aldA//ssuD//rbsD//treC//accC//nrfD//cynT//uxuA//purH//cueO//glpA//feaB//aroF//sodA//bioA//phnI//tam//poxB//hycE//phnM//appA//metA//caiC//rutD//mpaA//murD//hyi//nrfA//
GadE	aceE//fabI//rnpB//
GadE-RcsB	tam//poxB//pyrC//entA//glnA//
GadW	trpA//gadB//rbsK//
GadX	aceE//metF//rhaA//lsrK//ugpQ//
GalR	ugpQ//paaE//argF//deoC//mdh//
GalS	araB//icd//glpX//citE//nrdF//
GcvA	phnP//puuE//rbsK//
GlcC	bioB//tyrA//xylB//
GlpR	sbcC//trpB//rimK//galE//phnO//ogt//nanK//
GlrR	
GntR	paaK//luxS//cadA//ynfF//hycG//
HU	fabB//moaC//cdd//pdeR//
HcaR	galM//nfsA//
HdfR	
HigA	ynfE//
HigB-HigA	entB//
HipAB	fabB//citC//
HipB	dgkA//fabD//astC//
HprR	cueO//deoB//
HypT	slt//nrdF//
IclR	nfsB//cysE//murF//
IlvY	purD//
IscR	glpC//alkA//ssuD//lsrG//add//iscS//recD//
KdgR	aceB//
KdpE	pgaB//
LacI	ttdB//recD//purD//
LeuO	gltB//malY//frc//
LexA	lsrG//trpA//luxS//garK//fadJ//kbaZ//carB//gadA//folA//
LldR	fes//rutB//
