# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	yqhD//purB//
Ada	napA//yfdE//ynfH//hypB//
AdiY	dmsB//gcl//guaB//lacA//
AgaR	hcaB//
AidB	truB//
AlaS	cysG//
AllR	hcaB//frc//purH//ascB//nanA//citD//
AraC	relA//trpD//adhE//tauD//mazG//adiA//
ArgP	aldA//hyaC//napB//melA//paaE//narI//ynfG//murG//hycD//
ArgR	tam//glcF//paaZ//pgaD//argA//argG//folA//argC//frdA//truB//dgcZ//araB//ubiX//ynfE//aceE//pdeR//garR//xylA//entB//fdhF//oxc//acnA//glpA//
ArsR	rhaD//recB//
AscG	argE//patD//
AtoC	lysC//purF//narH//
BaeR	gcvH//ppiA//
BasR	paaK//argH//rhaA//
BirA	lsrK//bioA//nagB//allA//argC//
BluR	
BtsR	atoD//
CadC	ndh//ssuD//rutE//
CaiF	slt//puuC//ugpQ//ulaD//ahpF//
Cbl	gntK//glpB//guaB//xylA//nanE//
CecR	relA//
ChbR	napH//mazG//frc//
ComR	
CpxR	glpA//pfkA//nanK//murD//lsrG//ccp//pflB//gadA//accC//ascB//srkA//aceB//mazG//ttdB//glcD//
Cra	nanE//puuD//napB//napA//gltB//moaD//rutC//hyaA//metC//pck//mhpF//entA//hyi//nrdE//pnp//codA//pspE//astA//nadB//nanE//hycF//dmsA//paaY//fau//ogt//hypB//
CreB	
CsgD	murC//icd//edd//bioA//
CspA	
CueR	ygeA//gntK//
CusR	oxc//ssuD//
CynR	cysG//ada//glcE//
CysB	adiA//phoA//fabB//melA//putA//phnM//atoA//nrdD//cysG//
CytR	poxB//luxS//zwf//puuA//nrdE//rhaB//hmp//adhE//ada//
DcuR	gloA//ubiX//nirD//xylA//
DeoR	metA//paaI//glpA//fadI//
DicA	
DinJ-YafQ	glmS//
DnaA	ubiX//cadA//napH//nrdA//hyi//mazG//
DpiA	citG//fabA//glxR//ldtD//dkgA//
EnvR	entD//cynT//
EvgA	phoA//slt//moaC//ulaD//zwf//
ExuR	
FabR	arsC//pfkA//hcaB//
FadR	pdeR//gntK//chbG//katG//metE//putA//hypF//entH//pdeR//ruvB//hycC//phnG//argB//mhpD//entF//
FeaR	nfsA//sufS//
FhlA	folA//hycF//glyA//galM//nanA//ccp//astD//
FlhDC	argG//edd//
FliZ	glpX//gloA//carB//iscS//add//
Fur	pykF//rutB//aceB//edd//napB//pnp//murD//citF//atoB//mhpB//carA//paaE//mhpB//ilvC//slt//truB//mhpD//ugpQ//bglB//trpC//eno//mtlD//argH//entH//rutD//paaY//allB//nrdE//recD//cyoE//ftnA//
GadE	tam//appA//dgkA//
GadE-RcsB	appA//ttdB//aldA//puuA//tauD//
GadW	fabB//phnO//mdh//
GadX	lysA//glpD//xylA//paaA//chbG//
GalR	torA//paaG//argG//paaC//pyrC//
GalS	cadA//glxK//cysM//glcE//acnA//
GcvA	phnH//umpH//tnaA//
GlcC	iscS//waaY//phnJ//
GlpR	napH//recD//frdA//lpd//narI//sbcD//metC//
GlrR	
GntR	tdcE//ppiA//cyoE//phnL//glmS//
HU	fabA//pspE//ldtD//aceE//
HcaR	frc//tdcB//
HdfR	
HigA	argC//
HigB-HigA	gapA//
HipAB	ung//glcB//
HipB	bglB//tauD//tyrB//
HprR	yqjH//ugpQ//
HypT	rutC//ulaG//
IclR	adhE//ugpQ//dapD//
IlvY	tyrA//
IscR	nrfA//hycD//nanA//argH//oxc//nanA//ftsI//
KdgR	yqjH//
KdpE	cyoE//
LacI	tdcG//gcvH//polB//
LeuO	aroH//carA//glpD//
LexA	garK//paaG//glcF//purF//ddlB//phnI//ruvB//uvrB//rutD//
LldR	udp//xylA//
LrhA	
LsrR	atoA//argF//rutB//pgaC//murC//
MalI	tauD//aldA//
MalT	srkA//waaY//mngB//mngB//
MarA	nfsB//yedX//deoC//ydcS//ulaG//sodA//astE//fes//cynT//moaC//ccp//gloA//
MarR	
MatA	alkA//
MazE	hcaD//
MazE-MazF	chbG//
McbR	
MelR	wzb//ynfE//
MetJ	mhpB//folE//argE//aroF//lldD//
MetR	torA//umuD//rutB//
MhpR	yedX//recF//paaJ//bglB//nanK//ttdA//
Mlc	frdA//nfsB//argI//
MlrA	paaJ//
MngR	alaC//ynfG//
MntR	ydcS//
ModE	tyrB//cdd//nanK//argA//hcp//astD//wzc//poxB//aroH//luxS//citX//nanE//ccp//glcE//ahpC//
MprA	fabA//
MqsA	trpC//pgaC//
MraZ	lpxC//purA//purB//nirD//nrdA//sbcD//tam//nanM//metF//cynS//
MurR	glpD//ynfE//rhaB//
Nac	hemL//folE//puuB//rimK//
NadR	deoB//
NagC	tyrA//ftnA//narI//narI//ldtC//rimK//moaE//aroH//gadA//entA//dgcZ//ynfE//nadB//arsC//
NanR	hcaF//gcvP//glnA//frc//glmS//puuB//
NarL	entE//hypB//aceF//phnP//citD//argI//frdC//napH//cysG//argC//luxS//hycF//alaC//slt//ygeA//hyaB//rutE//trpD//yfdE//hcaE//ydcS//tyrB//fau//hcaC//
NarP	rsmH//phnL//purM//aroL//puuB//murQ//gpmA//alkA//puuB//
NemR	gltD//gcvH//
NhaR	umuD//ccp//codA//murD//ulaD//
NikR	guaA//
NimR	glcF//
NorR	citE//
NrdR	paaB//galK//gadA//bioC//
NsrR	citC//udp//uvrB//caiD//ynfF//hcaC//
NtrC	galM//cueO//pck//argB//narI//pgaC//aroH//acnA//
OmpR	paaK//caiC//fadE//alkB//glpC//mtlD//ydcS//oxc//
OxyR	citC//entB//relA//argD//tnaA//trpC//phnL//napB//galK//cynT//citD//torC//argG//
PaaX	slt//phnO//uxuB//rimK//murE//paaY//argG//alkA//pgk//
PdeL	paaF//
PdhR	narG//deoA//puuC//icd//atoB//napH//tdcE//hcp//mazG//appA//mpaA//ldtD//rbsD//purF//mhpE//tnaA//uxuB//glcE//umuD//astE//araA//aceB//
PepA	fadH//entB//
PgrR	metA//wzb//
PhoB	nrfA//entD//rhaB//phnP//fadD//uxuB//moaD//mazG//napB//ynfE//hmp//fes//paaK//nanK//frdA//
PhoP	aroL//dapB//entH//
PspF	udp//
PurR	ahpF//entE//aroF//puuC//phnH//glmS//dgkA//frdA//ldtC//umuD//waaZ//sufS//
PutA	nanM//nrdD//
PuuR	ogt//dmsC//frdA//aroF//gdhA//atoA//
QseB	
RbsR	lsrG//glcB//frdB//astC//paaJ//fau//
RcdA	narH//
RclR	
RcnR	napG//
RcsAB	pdeL//caiB//
RcsB	hycG//cueO//
RcsB-BglJ	fadI//yqjH//
RelB	nagB//
RelB-RelE	waaY//
RhaR	
RhaS	lldD//entA//rutB//glpC//
Rob	malP//glpX//nrfD//purD//
RstA	glpC//
RutR	mhpC//gcvT//tdcB//fbaA//cysM//nrfD//ynfE//frdD//trpD//deoA//
SdiA	
SgrR	purA//hycG//guaA//
SlyA	rutE//aceA//citC//argE//metC//astE//murI//astC//garL//
SoxR	torC//
SoxS	fadH//gcl//gapA//gdhA//nrfD//fadJ//dgkA//narG//cynT//ppsA//napA//dapD//glpA//bioB//paaZ//caiB//
StpA	caiC//
SutR	melA//phoA//
TdcA	napA//nirB//hemL//paaA//paaK//
TdcR	gapA//dmsA//fabH//mhpA//iscS//
TorR	rbsD//cysM//appA//codA//
TreR	murC//atoB//
TrpR	ulaD//deoA//epd//nrdD//glpX//glpD//waaY//purD//paaZ//
TtdR	waaY//alkB//
TyrR	phnM//rbsK//pspE//nanM//nrfA//atoA//argE//narH//galM//
UhpA	yfdE//
UlaR	tnaA//accC//gdhA//wzc//cysM//
UvrY	moaE//rhaB//
UxuR	bglB//dmsC//adiA//
XylR	ynfF//murD//mhpA//
YdeO	fabH//murQ//narG//
YefM	entB//
YefM-YoeB	hypB//
YhaJ	
YjjQ	
YpdB	
YqhC	galT//lpd//
YqjI	lsrF//
ZntR	cynT//
ZraR	
Zur	hcaC//
