# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	udp//pykF//
Ada	cysE//polB//sbcC//tynA//
AdiY	treC//ldtD//ung//mtlD//
AgaR	astD//
AidB	rbsK//
AlaS	ndh//
AllR	grxA//guaA//chbG//umuC//gcvH//pdeR//
AraC	rbsD//ynfG//eda//nanM//waaY//nrdA//
ArgP	galK//dgkA//paaA//fadJ//glmS//ogt//deoC//fumC//codA//
ArgR	garL//eda//wrbA//icd//pgk//cynT//chbF//melA//glpK//adhE//rbsD//tyrA//frc//nirB//alkB//tynA//glpD//hyi//cadA//zwf//malP//putA//atoB//
ArsR	hycE//aroG//
AscG	malQ//ada//
AtoC	purM//araB//lysA//
BaeR	glmS//hcaB//
BasR	yfdE//ascB//paaK//
BirA	glpC//zwf//trpC//argC//ttdA//
BluR	
BtsR	lacA//
CadC	ogt//pdeR//caiC//
CaiF	fabI//pck//pgaC//nfsA//paaE//
Cbl	garR//torC//hycB//icd//puuD//
CecR	xylB//
ChbR	ulaG//uxuB//nrdB//
ComR	
CpxR	astB//glnA//wrbA//murD//paaG//astA//purM//feaB//argH//gcvH//glxK//pnp//carB//polA//glcD//
Cra	rnpB//acnA//ulaE//ldtC//phnI//sufS//phnH//aroG//mhpF//carB//metC//mhpE//ulaE//purM//fabD//rutE//citD//nfsB//fadH//nrdE//malP//glpD//entE//murE//alaC//nrdE//
CreB	
CsgD	treC//recF//pfkA//folE//
CspA	
CueR	feaB//glpB//
CusR	carA//entE//
CynR	dapD//nrdA//aroF//
CysB	puuC//nagA//purB//ttdA//argI//hmp//tdcD//nrdF//gapA//
CytR	mhpD//entD//xylA//paaH//frdA//alaS//glyA//fabD//fumC//
DcuR	citF//murG//alkA//glpB//
DeoR	ndh//ydcS//uxuA//gapA//
DicA	
DinJ-YafQ	puuE//
DnaA	uxuB//cysM//entB//hycD//pgaB//paaE//
DpiA	nrdD//fadI//puuB//uxuB//frdD//
EnvR	mhpF//tam//
EvgA	dgcZ//kbaY//adiA//cysE//hyaA//
ExuR	
FabR	entA//moaE//araA//
FadR	accC//hcaC//alkA//aldA//uxuB//hemH//nemA//fabI//wzb//mhpD//recF//appA//tdcG//nrfD//moaE//
FeaR	polA//phnM//
FhlA	fabG//entE//alaS//pnp//paaH//argC//ruvA//
FlhDC	ddlB//glxR//
FliZ	hycD//gntK//yqhD//glpB//rhaD//
Fur	cynS//hycC//patD//phnJ//hycG//astC//uxuB//bioB//rutD//aroG//pfkA//galM//paaB//astA//gdhA//bioF//malQ//dgcC//glxR//moaA//ldtD//adiA//torA//caiA//argB//guaA//pck//astC//tyrA//sbcC//ygeA//
GadE	araD//cysK//phnO//
GadE-RcsB	sbcD//mhpC//murI//pgk//citX//
GadW	puuA//glpX//trpB//
GadX	gdhA//ulaF//narG//yedX//aceA//
GalR	tdcG//puuA//paaZ//lsrF//aceA//
GalS	putA//deoB//nfsA//poxB//nrfD//
GcvA	malP//chbG//rutA//
GlcC	katG//napG//xylA//
GlpR	katG//hyaA//galK//mhpC//fadD//yqhD//glcF//
GlrR	
GntR	glpD//deoA//glmU//adhE//astD//
HU	phoA//polB//ynfE//ccp//
HcaR	mhpC//slt//
HdfR	
HigA	cueO//
HigB-HigA	aceE//
HipAB	wrbA//rhaA//
HipB	paaJ//paaY//pyrC//
HprR	fabD//tauD//
HypT	fabI//chbF//
IclR	nanK//entF//aroG//
IlvY	poxB//
IscR	frdD//ruvA//glnA//ascB//polA//pnp//atoD//
KdgR	argD//
KdpE	tyrA//
LacI	aceA//gcvP//gpmA//
LeuO	nrdD//ung//ynfE//
LexA	entH//alkA//rbsD//puuD//nrdB//napA//mtlD//kbaY//cysG//
LldR	purB//fes//
LrhA	
LsrR	recD//bioD//tdcG//sodA//ruvA//
MalI	pdeL//puuA//
MalT	argF//araD//add//lldD//
MarA	dapB//nirB//paaB//hcaB//nemA//mhpC//pfkA//gcl//pdeL//bioD//puuD//trpD//
MarR	
MatA	glcE//
MazE	hyi//
MazE-MazF	caiB//
McbR	
MelR	gadB//astC//
MetJ	phnM//arsC//glpQ//allA//puuA//
MetR	citG//zwf//carA//
MhpR	recB//nanE//cadA//ldtD//gntK//purD//
Mlc	astC//purN//gdhA//
MlrA	putA//
MngR	phnG//tdcE//
MntR	garR//
ModE	wrbA//glcF//glxR//hycB//pck//guaA//aroH//pgaD//nirD//ulaF//paaB//ulaF//phnL//adiA//mhpC//
MprA	galM//
MqsA	puuB//hypF//
MraZ	dapD//polA//gcvP//recB//caiA//deoC//argB//astE//nadB//torA//
MurR	malQ//dmsC//moaD//
Nac	waaY//bioA//nfsA//gcl//
NadR	hcaE//
NagC	murI//bioB//garL//argH//recB//aceE//allB//ynfH//entH//slt//trpD//galK//tdcE//napB//
NanR	garR//ppsA//yfdE//allB//icd//caiC//
