# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynT//paaI//
Ada	adhE//hcp//ttdB//folA//
AdiY	rutB//argD//dmsC//cynS//
AgaR	hycC//
AidB	ycjG//
AlaS	accC//
AllR	fumB//dgcC//astD//cadA//fabB//frdB//
AraC	phnO//allB//pflB//rhaB//ygeA//araB//
ArgP	rsmH//lysC//cueO//phnM//garL//nagA//fau//sbcD//ulaF//
ArgR	entD//frc//nanK//aroL//nanM//polB//cysK//astC//glpQ//tyrA//murF//fau//rhaA//argD//yedX//napB//waaZ//gntK//napB//fadD//garR//wzc//phoA//
ArsR	rbsD//ppiA//
AscG	ruvB//rutB//
AtoC	hycC//dgcC//gltB//
BaeR	hycD//fabI//
BasR	mpaA//adiA//murD//
BirA	epd//murI//zwf//frdB//mhpD//
BluR	
BtsR	atoA//
CadC	metC//nanE//appA//
CaiF	glmU//ynfG//araD//hypF//glcF//
Cbl	cysG//argB//rutE//accD//garK//
CecR	recD//
ChbR	feaB//rutA//yedX//
ComR	
CpxR	glcD//astC//frc//nanA//add//ftsI//napH//feaB//metA//glpD//wrbA//treC//mhpA//tyrB//ilvC//
Cra	gltD//murF//deoD//moaE//glyA//alaC//accD//argB//tynA//rutB//narI//ccp//rhaB//napG//glpA//mtlD//narI//kbaY//fdhF//ftnA//deoC//ulaG//gntK//astB//wrbA//fadI//
CreB	
CsgD	hcp//aroF//dapD//trpD//
CspA	
CueR	ada//ydcS//
CusR	cysM//alkA//
CynR	fadD//ycjG//hycE//
CysB	murI//slt//ung//aldA//purD//hcaE//ulaG//metF//hyi//
CytR	rutB//waaZ//araA//nrfD//caiD//nadB//dkgA//phnI//rutA//
DcuR	bioD//pgaD//dkgA//kbaZ//
DeoR	cynT//argG//citX//hcaD//
DicA	
DinJ-YafQ	hcaF//
DnaA	rbsD//carA//fes//phnO//patD//paaE//
DpiA	hycF//aceB//dgkA//slt//bglB//
EnvR	pnp//gadB//
EvgA	paaI//garL//eno//paaY//argA//
ExuR	
FabR	uxuA//nanA//nrdA//
FadR	add//cdd//ssuD//aroG//bioA//trpA//glpK//caiA//bioB//sodA//rutA//ynfF//yqhD//narH//hyaB//
FeaR	accA//phnG//
FhlA	ruvA//cynT//eda//argI//glcD//phnN//trpC//
FlhDC	garR//aceA//
FliZ	tyrA//nrdA//hcp//sufS//deoB//
Fur	galK//rutC//phnH//cdd//paaH//hypF//purN//entA//phnH//accD//ldtC//cysE//dgcC//dgcC//folA//nfsB//folE//rnpB//ascB//bioB//astB//glcF//trpE//umpH//iscS//glyA//gcl//pgaB//entA//add//ada//
GadE	sufS//chbF//mngB//
GadE-RcsB	allA//tam//ulaG//nagA//nrdB//
GadW	ssuE//hyaB//murC//
GadX	moaE//nanA//ulaF//caiC//tdcG//
GalR	ppsA//argB//glpK//glpB//ahpC//
GalS	rhaA//astC//puuD//ahpC//folA//
GcvA	deoC//moaC//lldD//
GlcC	nemA//dgkA//recD//
GlpR	mpaA//tam//gadB//glpB//ynfH//purF//alaS//
GlrR	
GntR	uxuB//sufS//dapB//paaZ//fau//
HU	uvrB//cysM//atoD//phnJ//
HcaR	allA//ygeA//
HdfR	
HigA	mpaA//
HigB-HigA	cysM//
HipAB	fbaA//kbaZ//
HipB	ftsI//gntK//cueO//
HprR	caiC//paaJ//
HypT	entD//mtlD//
IclR	rhaD//napB//argG//
IlvY	edd//
IscR	dkgA//lsrF//ilvC//appA//glcE//mtlD//murD//
KdgR	recB//
KdpE	glmU//
LacI	hemL//sodA//argA//
LeuO	argF//polA//glcD//
LexA	ribA//slt//pdeL//grxA//fadD//acnA//fabB//hcaE//sbcD//
LldR	glxR//nirD//
LrhA	
LsrR	nfsA//citC//tdcE//ldtD//paaG//
MalI	metA//argF//
