# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	gntK//ruvB//
Ada	glpQ//phnN//mazG//fdhF//
AdiY	paaB//rbsK//metF//moaC//
AgaR	aroG//
AidB	yfdE//
AlaS	rutC//
AllR	alaC//glcE//hcp//cueO//entC//mhpB//
AraC	oxc//hmp//sbcD//ahpF//fabA//dgcC//
ArgP	umpH//ldtD//rhaD//murF//mhpD//nrfD//ygeA//aroL//carA//
ArgR	ugpQ//metA//aroL//sbcD//tyrA//citG//argG//gltB//paaA//ppsA//gcvH//argB//narI//nagB//fadI//glpA//argA//paaZ//adhE//murG//bglB//hycD//ftnA//
ArsR	fabA//guaB//
AscG	moaC//mazG//
AtoC	hycE//hycG//napH//
BaeR	malP//trpE//
BasR	nrfD//entE//kbaY//
BirA	tyrB//frdD//tam//purM//ahpC//
BluR	
BtsR	umuD//
CadC	truB//frc//waaZ//
CaiF	treC//rbsD//fabA//lysC//fabG//
Cbl	atoD//lacZ//paaE//bioC//relA//
CecR	narG//
ChbR	ttdB//trpB//accA//
ComR	
CpxR	napB//fabD//tdcG//gcvT//putA//tdcB//phnG//tdcB//moaD//garK//pdeL//nrfD//mazG//cysK//fbaA//
Cra	rutB//glpC//relA//citE//putA//umuD//glpQ//pgaB//mdh//alkA//rhaD//astD//deoA//fabD//umpH//lysC//ascB//ogt//dapB//garL//argB//caiB//nrfA//cynT//melA//gcvP//
CreB	
CsgD	hycD//frdA//purM//phnH//
CspA	
CueR	yqjH//hyaA//
CusR	nrfC//garK//
CynR	argB//citG//frdC//
CysB	astA//alkA//mhpB//purH//tyrB//astC//mngB//nrdD//aceF//
CytR	pgaB//pgaB//nanK//dgcZ//ruvB//polB//murI//ddlB//kbaY//
DcuR	narH//aroG//grxA//caiC//
DeoR	phoA//bioA//purA//sufS//
DicA	
DinJ-YafQ	yedX//
DnaA	fabI//ppiA//glpC//murF//nadB//ftnA//
DpiA	sbcC//frdD//hycD//moaD//nrfD//
EnvR	ssuD//caiB//
EvgA	napB//fabA//tdcB//fes//hycG//
ExuR	
FabR	paaI//phnN//adhE//
FadR	nanM//pfkA//nrfC//ssuE//citF//tauD//glnA//purD//murI//rimK//fbaA//glpX//aceA//glnA//garR//
FeaR	murE//narH//
FhlA	phnP//argD//phnP//xylB//dkgA//paaA//polA//
FlhDC	hycE//tnaA//
FliZ	argA//mhpA//fabB//garR//trpA//
Fur	hcp//hemL//frdB//cdd//trpB//malP//cueO//mpaA//aroF//epd//ulaG//phnG//sbcD//entC//ygeA//ycjG//dapB//galM//guaB//glpK//pspE//tdcE//bioA//nanA//rutE//hcaB//pyrC//cueO//glpD//nrdD//malQ//
GadE	argA//ulaD//tyrB//
GadE-RcsB	gloA//purA//napA//folA//slt//
GadW	citF//yqjH//puuD//
GadX	rhaA//cynS//phnO//epd//ydcS//
GalR	recF//nrfC//sodA//chbG//frdC//
GalS	napH//aroH//pck//hycC//wrbA//
GcvA	wzb//oxc//hyaC//
GlcC	xylB//nirD//fabH//
GlpR	galM//adiA//umuC//araA//allB//nrfC//alaC//
GlrR	
GntR	ulaD//dkgA//tyrB//puuD//atoD//
HU	polB//nanA//araD//dgcC//
HcaR	cysG//paaK//
HdfR	
HigA	aroH//
HigB-HigA	nrdD//
HipAB	aceE//cynS//
HipB	murD//moaC//ung//
HprR	nanK//deoD//
HypT	galE//pgaC//
IclR	alkB//nrdE//astA//
IlvY	nrfA//
IscR	entA//hmp//frdD//glpC//paaB//hemH//pykF//
KdgR	adhE//
KdpE	nrdD//
LacI	garL//xylB//gcvP//
LeuO	ldtD//trpC//arsC//
LexA	hyaB//recD//ndh//lpxC//galK//narH//srkA//lpxC//allA//
LldR	yedX//treC//
LrhA	
LsrR	adhE//entA//glcD//glcB//mhpC//
MalI	murQ//cadA//
MalT	oxc//malP//hcaE//kbaZ//
MarA	gpmA//mazG//purN//trpB//paaH//relA//purF//hcaF//ychF//entB//umuC//rsmH//
MarR	
MatA	waaZ//
MazE	gdhA//
MazE-MazF	fbaA//
McbR	
MelR	rutA//nanE//
MetJ	frdD//xylA//pykF//zwf//ulaF//
MetR	fabB//hycC//ppsA//
MhpR	dgcC//hcaE//luxS//moaD//epd//aldA//
Mlc	hcaE//gltD//fadE//
MlrA	purH//
MngR	tdcG//tdcG//
MntR	frdA//
ModE	sodA//yfdE//puuC//yqjH//nrdE//gloA//paaF//truB//aceE//rutA//ldtD//luxS//trpB//ubiX//accA//
MprA	aceF//
