# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	melA//fabB//
Ada	cueO//frdC//gltB//hyi//
AdiY	yqhD//glcE//entA//carA//
AgaR	fadI//
AidB	fabB//
AlaS	pgaB//
AllR	phnJ//argG//rutC//astA//allA//metA//
AraC	moaC//tnaA//torC//fabD//puuE//murD//
ArgP	entE//nrdB//gntK//paaF//glmU//nrfC//purF//pdeL//lysA//
ArgR	hypB//metA//ycjG//murI//bioA//ruvB//glpQ//fadD//trpB//fadI//glpQ//phoA//waaZ//paaI//moaD//phnJ//metF//argH//aceF//rhaD//katG//hycE//glcE//
ArsR	yqjH//nrdD//
AscG	lpd//murF//
AtoC	hyi//argF//hycG//
BaeR	sufS//folE//
BasR	garK//codA//ppsA//
BirA	eda//folE//ulaD//astD//codA//
BluR	
BtsR	lacZ//
CadC	chbF//ssuE//rnpB//
CaiF	ynfF//ppiA//paaH//nemA//phnJ//
Cbl	dapB//pgaC//glmU//argA//puuD//
CecR	nrfC//
ChbR	citC//treC//ftsI//
ComR	
CpxR	cadA//glyA//umuD//carB//aldA//ssuD//nrfA//argD//hypB//araB//hypF//ynfG//mhpE//entH//hycF//
Cra	chbF//eda//hcaB//phnH//rimK//nrdD//nrdA//cyoE//citE//puuA//mhpE//pgaD//hycE//gpmA//pyrC//citD//appA//edd//glcD//gadA//glyA//gdhA//accC//rhaB//nemA//lysA//
CreB	
CsgD	ygeA//fabI//malP//pnp//
CspA	
CueR	rhaB//phnJ//
CusR	moaD//moaE//
CynR	hycD//phnI//hemH//
CysB	gcvP//malQ//dmsA//alaS//fadI//ldtD//moaD//ynfE//hyaC//
CytR	fau//gpmA//waaY//tynA//ada//hcaD//rutD//citG//frdC//
DcuR	bioB//ddlB//hcaB//galK//
DeoR	hyaC//purM//udp//folA//
DicA	
