# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	murI//dgcC//
Ada	narH//araB//ftsI//allA//
AdiY	malP//hcaC//dgcC//ftnA//
AgaR	bioB//
AidB	entE//
AlaS	argB//
AllR	lysC//uvrB//rutA//pnp//hcaE//glpK//
AraC	cdd//murC//nanM//recF//rsmH//ribA//
ArgP	cynT//hemH//glcD//mhpD//bioD//xylB//argG//phnI//hyaC//
ArgR	fabG//entD//fabG//glcB//putA//glxK//sbcD//nrdB//rbsD//sbcD//mpaA//glcE//glcE//hypF//citG//ahpC//chbF//paaE//sbcC//murC//codA//murF//glpB//
ArsR	cynS//accC//
AscG	mhpC//nrdD//
AtoC	metC//dmsB//puuE//
BaeR	paaE//rnpB//
BasR	trpE//napG//fabA//
BirA	ycjG//paaY//narG//pgaB//eno//
BluR	
BtsR	bioC//
CadC	gntK//ulaF//paaH//
CaiF	chbF//astC//nemA//hycG//allA//
Cbl	paaA//galE//hycF//alaS//umuD//
CecR	tauD//
ChbR	gltB//appA//rbsD//
ComR	
CpxR	galE//glcE//paaI//paaZ//pnp//dmsA//gdhA//metF//waaZ//ssuD//guaB//phnL//moaC//argD//tauD//
Cra	atoD//allB//epd//nemA//phnI//ygeA//paaH//ribA//entD//xylA//dmsB//ldtD//mhpA//frc//deoC//narI//ssuE//moaD//trpD//ugpQ//fabB//gcvP//argB//carA//truB//hyaC//
CreB	
CsgD	kbaZ//chbG//pdeL//pykF//
CspA	
CueR	codA//gntK//
CusR	epd//fes//
CynR	phnN//udp//nrfA//
CysB	truB//luxS//pykF//ttdB//hycC//puuD//paaH//napA//bioD//
CytR	dmsC//sbcC//citX//gdhA//tdcG//garR//lysA//rbsK//galT//
DcuR	adhE//mhpA//dmsC//tdcD//
DeoR	rhaA//polA//moaA//argD//
DicA	
DinJ-YafQ	fumB//
DnaA	phoA//napG//phnL//metA//ygeA//glpD//
DpiA	gltD//dmsC//gcvP//fabB//umuD//
EnvR	slt//narH//
EvgA	malP//yqhD//fadD//glmU//fabH//
ExuR	
FabR	glcD//rutB//rutA//
FadR	tauD//cynT//glpA//codA//eno//trpD//rbsK//fes//rutC//ulaG//bioF//glpA//fumC//trpC//mdh//
FeaR	ldtD//nfsA//
FhlA	accC//waaY//metC//gcvP//astB//nfsB//caiC//
FlhDC	dapD//fumC//
FliZ	paaY//aroG//zwf//astA//napH//
Fur	hyaC//argG//ahpF//citE//paaB//accA//paaH//cysE//hmp//argE//uxuA//tam//murC//purN//nrfA//fadE//purH//acnA//hycB//gltB//caiB//malY//waaY//alkB//nirD//ydcS//napH//alkB//tnaA//hycF//mhpB//
GadE	hcaD//pspE//add//
GadE-RcsB	frdA//nanM//ftsI//phnH//ulaF//
GadW	frdC//dapD//nrfA//
GadX	araB//fdhF//glxR//aceB//aroG//
GalR	hycD//hycE//folE//edd//fes//
GalS	hyi//rhaA//aroH//ugpQ//dapD//
GcvA	zwf//glcE//mdh//
GlcC	gntK//tdcD//umuD//
GlpR	nirD//gltD//bglB//bioB//polA//citF//rutE//
GlrR	
GntR	murE//cynS//fadD//cysG//frdD//
HU	fabA//citG//frdC//galM//
HcaR	entF//fdhF//
HdfR	
HigA	araB//
HigB-HigA	ugpQ//
HipAB	moaA//fabB//
HipB	sodA//pfkA//paaG//
HprR	xylA//arsC//
HypT	caiC//alkB//
IclR	napA//tauD//moaD//
IlvY	kbaZ//
IscR	udp//ascB//purH//edd//mhpE//tdcB//astB//
KdgR	glpK//
KdpE	gadA//
LacI	cueO//galE//yedX//
LeuO	puuC//melA//xylA//
LexA	caiA//paaA//trpB//puuC//umuC//dgcC//torC//aroG//argD//
LldR	polB//nadB//
LrhA	
