# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	mpaA//argF//
Ada	aceA//hycF//lacZ//lpd//
AdiY	phnO//patD//relA//purN//
AgaR	nrdA//
AidB	puuD//
AlaS	argH//
AllR	tnaA//napA//nirD//ruvB//ssuE//rbsD//
AraC	putA//lpxC//sbcC//phnG//citF//galM//
ArgP	purM//murG//murQ//hcaB//purH//paaJ//appA//cynS//fabD//
ArgR	tynA//adhE//galT//malY//aceF//deoD//gcl//glpK//ynfH//paaJ//aroL//bioF//puuB//metA//hemL//napA//trpE//cynT//pfkA//ahpC//pgaD//trpE//glxR//
ArsR	argA//rhaD//
AscG	purH//murE//
AtoC	gadA//gcvT//ulaF//
BaeR	lysA//hcaF//
BasR	rhaA//paaG//chbG//
BirA	pgaB//ulaD//glmS//glcB//gpmA//
BluR	
BtsR	oxc//
CadC	glpX//mhpC//hemL//
CaiF	nrdB//napH//moaE//rimK//luxS//
Cbl	aroF//gdhA//ndh//patD//purD//
CecR	ung//
ChbR	frc//glcE//lacZ//
ComR	
CpxR	nrdE//aroF//zwf//nanK//fabH//glpQ//citD//paaY//oxc//recD//cysG//folE//ulaE//atoB//mngB//
Cra	phnH//rutC//phnI//ldtD//trpE//nrdA//wzb//tdcE//gadB//ssuD//gadB//ahpF//lacA//pspE//pykF//murQ//ascB//waaZ//moaE//purM//hycC//paaF//epd//murG//umuC//mhpF//
CreB	
CsgD	tdcG//araB//uvrB//tyrB//
CspA	
CueR	ycjG//fabA//
CusR	frdA//zwf//
CynR	mhpF//tynA//hycE//
CysB	frdD//rimK//purB//aldA//hycG//ynfF//bioF//tdcB//glmU//
CytR	dgcC//nanK//argB//gadB//adhE//araB//alaC//caiC//fadE//
DcuR	tdcB//guaA//narI//cdd//
DeoR	hemH//fadI//umpH//icd//
DicA	
DinJ-YafQ	codA//
DnaA	ada//dmsC//glnA//paaC//dgcZ//garR//
DpiA	hcaC//dkgA//lsrF//grxA//ruvA//
EnvR	frc//nrdE//
EvgA	chbF//glpC//nirD//ilvC//rimK//
ExuR	
FabR	srkA//accD//yqjH//
FadR	sbcC//hcaB//ulaG//frdA//metE//entE//garR//trpA//malQ//glmU//mhpD//purD//gloA//argE//pdeL//
FeaR	ynfG//fumB//
FhlA	glpC//recB//murI//fabD//malQ//galT//fumC//
FlhDC	wzc//purN//
FliZ	frdC//fabB//katG//tdcB//purH//
Fur	torA//rhaD//ssuD//paaJ//phnG//lacZ//pgaC//luxS//iscS//argD//iscS//allB//napA//cysE//guaA//ftsI//purM//frc//glmU//phnM//pnp//paaZ//purA//bglB//bioF//tdcD//astD//murE//murG//adhE//araA//
GadE	cysE//purH//tyrB//
GadE-RcsB	fbaA//phnJ//pykF//frc//gadB//
GadW	glpK//truB//rhaD//
GadX	moaD//ulaG//mhpA//nanK//treC//
GalR	araB//putA//rbsD//paaE//umpH//
GalS	ynfG//ogt//cysE//grxA//oxc//
GcvA	waaY//purA//rutB//
GlcC	fabD//bioB//aroL//
GlpR	garL//glpK//poxB//entB//paaG//allB//tnaA//
GlrR	
GntR	narI//adhE//tnaA//gloA//bioC//
HU	fabA//deoD//lldD//rutC//
HcaR	eda//edd//
HdfR	
HigA	treC//
HigB-HigA	fumC//
HipAB	citF//ulaE//
HipB	ulaF//gloA//nrfC//
HprR	arsC//frdD//
HypT	gntK//fbaA//
IclR	uxuB//hyaA//citG//
IlvY	hcaD//
IscR	ribA//ruvB//hyi//phnM//mpaA//nrdF//purD//
KdgR	galM//
KdpE	wzc//
LacI	paaB//glxK//frc//
LeuO	ung//cynS//gcvH//
LexA	glmS//lsrG//fumC//accC//tynA//nanA//putA//paaY//entA//
LldR	trpB//ftnA//
LrhA	
LsrR	citF//lsrG//entC//astA//paaY//
MalI	hycF//lysA//
MalT	nanM//ilvC//astE//recB//
MarA	ulaG//ftsI//fabI//murG//zwf//glpA//narG//lpxC//murD//fbaA//tdcB//ugpQ//
MarR	
MatA	glxR//
MazE	paaJ//
MazE-MazF	malQ//
McbR	
MelR	dgcZ//ldtD//
MetJ	aceB//napA//narI//carB//mpaA//
MetR	metC//rutE//ulaE//
MhpR	tyrA//grxA//hycC//citX//xylA//entA//
Mlc	aroL//pspE//aldA//
MlrA	pyrC//
MngR	wzb//fabI//
MntR	rutB//
ModE	hcaE//moaE//galT//yfdE//citX//araA//caiC//nanA//aroF//phoA//gcvP//gadA//paaB//lldD//tdcB//
MprA	alkA//
MqsA	nrfA//dkgA//
MraZ	murF//mhpD//bioA//aroF//ynfG//murC//oxc//tnaA//hyi//mhpB//
MurR	feaB//bioA//fes//
Nac	nrdE//entF//torA//bioD//
NadR	sufS//
NagC	argG//kbaY//tyrA//citE//murC//gltB//treC//citF//nrfC//glpA//yqhD//gcvH//rutE//hcaD//
NanR	paaE//gpmA//tdcE//fadJ//ulaF//glpD//
NarL	ubiX//ppiA//astA//cdd//dmsC//slt//caiC//ftnA//purN//gcvP//alkA//entA//glxR//citX//putA//nrfA//glpX//fadJ//glmU//ung//dapB//ada//ychF//pdeR//
NarP	accA//ppiA//rnpB//yqjH//fau//paaI//ribA//argA//fabD//
NemR	mazG//cueO//
NhaR	gadB//nrdA//dgcC//entB//nanK//
NikR	paaF//
NimR	pflB//
NorR	mdh//
NrdR	recB//kbaZ//cadA//chbG//
NsrR	mazG//pgaB//aceF//glcF//fabA//garK//
NtrC	hycG//murC//putA//recB//gntK//gloA//frc//moaD//
OmpR	deoB//aceE//mhpA//phnM//garR//slt//tyrA//gadA//
OxyR	garL//accD//lacA//aceF//alaC//add//murF//tdcD//folE//bioF//purN//gdhA//udp//
PaaX	cdd//rsmH//paaF//recF//hyaA//fumC//ahpC//nrdD//rimK//
PdeL	phnL//
PdhR	ppiA//gcvT//malQ//gadA//truB//lysA//lsrK//slt//moaE//moaA//entF//glpB//pnp//citD//yqhD//ychF//purN//mraY//galE//nirD//ruvB//bglB//
PepA	citE//paaB//
PgrR	glcF//mngB//
