# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	accA//nrfD//
Ada	bglB//relA//luxS//bioD//
AdiY	ribA//phnM//rutE//purC//
AgaR	glcB//
AidB	metE//
AlaS	glcF//
AllR	purB//gadB//pflB//paaG//pspE//rnpB//
AraC	pdeL//murQ//dgkA//ygeA//entB//gcl//
ArgP	argF//argH//ldtD//lacA//sbcC//gltD//ruvB//trpA//glxK//
ArgR	mngB//paaK//purD//lacA//rimK//gadB//dmsB//srkA//astC//hcaC//purH//ulaG//yqjH//gpmA//pgaB//appA//argA//tnaA//fumB//caiB//deoC//galM//nanA//
ArsR	nanM//pflB//
AscG	citD//treC//
AtoC	lpd//astA//paaA//
BaeR	cysK//argE//
BasR	gadB//adiA//galM//
BirA	murF//ttdB//srkA//aceA//ascB//
BluR	
BtsR	garR//
CadC	fumB//phnP//lsrF//
CaiF	purF//dmsB//mhpE//melA//puuB//
Cbl	gltB//deoC//narG//phnM//ldtC//
CecR	aroH//
ChbR	pgaB//gntK//glcD//
ComR	
CpxR	cyoE//nrdB//polA//phoA//uxuB//paaG//nfsB//glpB//rhaB//moaD//fabD//ndh//hcaD//malQ//alkB//
Cra	gcvT//ssuD//citD//gltB//dmsC//glcF//pgk//paaY//ygeA//udp//ftsI//fumB//trpA//ygeA//entH//truB//argA//hemH//adiA//hycB//relA//nrdA//entE//aceA//astC//wzb//
CreB	
CsgD	tnaA//dgkA//mhpB//ribA//
CspA	
CueR	gadA//paaH//
CusR	codA//yqhD//
CynR	dmsA//glxK//entH//
CysB	purM//ada//rhaD//gapA//rhaD//argG//puuA//mhpE//hycB//
CytR	epd//narH//dkgA//adhE//fabI//gntK//cdd//xylB//fabH//
DcuR	purN//bioB//ulaE//glpA//
DeoR	gpmA//rutD//bioD//glpX//
DicA	
DinJ-YafQ	chbG//
DnaA	metE//alaS//araA//udp//hyaA//citE//
DpiA	bglB//phnJ//hycB//napB//frc//
EnvR	acnA//purN//
EvgA	pfkA//citF//ldtD//yedX//yedX//
ExuR	
FabR	galT//hycF//hyaB//
FadR	sbcC//cdd//citE//mtlD//hcaD//moaD//hycE//pdeR//waaY//citC//aroH//hcaB//paaA//paaH//hemL//
FeaR	glyA//nrfD//
FhlA	fadH//glcD//puuA//cdd//glpX//cueO//dgcC//
FlhDC	guaA//argH//
FliZ	mhpE//cadA//relA//glpQ//ttdA//
Fur	feaB//aspA//purA//cysG//epd//galM//glmS//dgkA//guaB//rutB//gdhA//entD//hycD//slt//glnA//chbG//frdC//entD//arsC//aceA//waaZ//nfsA//hyaB//pfkA//deoC//bioD//zwf//ulaG//purM//wrbA//ung//
GadE	citE//xylB//patD//
GadE-RcsB	mhpC//ahpC//phnO//hycB//napA//
GadW	paaF//carA//hypB//
GadX	narH//argA//citX//gpmA//argC//
GalR	sbcD//mhpA//dmsA//ftnA//puuA//
GalS	rsmH//aroL//ynfH//lysC//murE//
GcvA	nrdD//hypF//citC//
GlcC	argC//allA//cysM//
GlpR	folE//phoA//aceF//fabA//wzc//aroH//araB//
GlrR	
GntR	moaD//argG//argH//entF//rutB//
HU	ascB//mhpB//napH//arsC//
HcaR	wrbA//pgaB//
HdfR	
HigA	argD//
HigB-HigA	gcvT//
HipAB	dapB//glxR//
HipB	narH//uxuA//frdC//
HprR	guaA//dmsA//
HypT	moaA//cueO//
IclR	eno//chbF//hypB//
IlvY	lacA//
