# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaC//purD//
Ada	purB//paaI//lysC//frdA//
AdiY	nrdA//appA//tyrA//udp//
AgaR	bioD//
AidB	entF//
AlaS	purM//
AllR	deoB//dmsC//srkA//trpC//phnO//phnP//
AraC	alaS//yqhD//ogt//purA//paaF//dapB//
ArgP	nanK//dgcZ//garK//pgaB//alkB//ccp//rhaB//entA//waaZ//
ArgR	narH//glpX//nemA//caiB//ruvB//aspA//pflB//cynT//atoD//metC//edd//ubiX//lacZ//gcvH//malQ//nrdB//fadH//argI//puuB//ugpQ//gpmA//yedX//ubiX//
ArsR	accD//ynfE//
AscG	xylB//uxuB//
AtoC	alkA//sodA//oxc//
BaeR	aroG//rhaD//
BasR	lsrG//pdeL//ahpF//
BirA	rutE//citE//xylA//dgcC//tyrB//
BluR	
BtsR	fes//
CadC	hyaB//citD//phnN//
CaiF	rsmH//nrdA//ychF//glcB//grxA//
Cbl	srkA//nrfC//pnp//hycD//pykF//
CecR	puuA//
ChbR	frdA//icd//malQ//
ComR	
CpxR	araD//srkA//gadB//edd//tam//ygeA//caiB//hycB//ygeA//ppsA//nrdF//galM//argD//metE//hyaA//
Cra	metE//tnaA//galT//metA//fabH//frdB//hemL//glcD//chbG//ppsA//paaH//cysM//phnL//fau//yedX//yfdE//ftsI//ahpF//glcD//hcaC//astD//ddlB//codA//nanM//carA//tauD//
CreB	
CsgD	ada//gcl//hemL//feaB//
CspA	
CueR	hypF//bioC//
CusR	astE//kbaY//
CynR	citF//gloA//entD//
CysB	pdeL//rutA//putA//fadD//kbaY//narG//gapA//ycjG//bioD//
CytR	pflB//astA//napH//lysA//fdhF//glpD//guaA//phnM//recB//
DcuR	dapB//ndh//napH//mhpE//
DeoR	phoA//carB//galE//pfkA//
DicA	
DinJ-YafQ	hypF//
DnaA	pgk//murQ//ftsI//mraY//phnO//entF//
DpiA	araB//narG//fabB//ynfG//sufS//
EnvR	gadB//narH//
EvgA	umuC//deoD//sbcC//srkA//ppsA//
ExuR	
FabR	murI//uxuA//gntK//
FadR	recB//pyrC//hcaF//citG//phnJ//paaC//mhpD//hcaE//treC//pykF//nanM//eno//uxuB//dmsB//murQ//
FeaR	eno//narI//
FhlA	glcE//cynT//ribA//fadJ//torA//hycF//tdcG//
FlhDC	trpD//wrbA//
FliZ	atoA//argE//citD//dgcC//pgaB//
Fur	hypB//rutA//nrfD//appA//pgaC//aceA//caiA//xylA//nrfC//rutE//zwf//eno//paaG//ogt//araB//purN//nanK//citD//truB//ydcS//entB//nrfD//aroL//nanK//puuE//galK//hyi//aroF//glyA//atoB//ada//
GadE	entB//entF//entH//
GadE-RcsB	tdcB//rbsK//yedX//tdcB//argC//
GadW	ycjG//phoA//rutD//
GadX	rutC//murC//cynS//katG//nanM//
GalR	lsrK//ugpQ//folE//gpmA//hycB//
GalS	ulaE//glpX//citD//nanE//puuE//
GcvA	tdcG//hypB//garL//
GlcC	glnA//polB//relA//
GlpR	dgcZ//glpA//galK//phnO//rutC//atoD//paaF//
GlrR	
GntR	guaB//nemA//gadB//narH//cadA//
HU	lacA//sbcD//ydcS//fau//
HcaR	hyi//oxc//
HdfR	
HigA	narI//
HigB-HigA	alkB//
HipAB	glxK//hycF//
HipB	folA//argE//argC//
HprR	hyaA//pgaC//
HypT	paaG//mpaA//
IclR	atoB//hcaF//cysM//
