# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	glpK//ydcS//
Ada	gltD//guaA//ygeA//garL//
AdiY	hyaA//nrdA//glpA//ftnA//
AgaR	hcaF//
AidB	argD//
AlaS	gcvT//
AllR	sodA//chbF//caiB//ynfH//pgk//glcB//
AraC	waaZ//eda//aceA//glcB//glxK//torA//
ArgP	phnL//malQ//pykF//dmsB//nadB//rbsK//hycE//ulaE//umpH//
ArgR	pgaC//narH//phnO//sodA//nanK//ynfH//mhpD//garR//hycE//tdcB//waaY//srkA//lacZ//lldD//nrdB//nanM//lpd//nrfD//napH//moaC//dgcC//malQ//ndh//
ArsR	hycD//caiD//
AscG	lacZ//caiD//
AtoC	yfdE//adhE//accD//
BaeR	yqhD//srkA//
BasR	xylA//fumC//fadJ//
BirA	pyrC//lpxC//ygeA//caiA//citX//
BluR	
BtsR	ldtC//
CadC	fbaA//rnpB//narH//
CaiF	pfkA//umpH//wzb//tyrB//alkB//
Cbl	fadE//rnpB//argF//gadA//ascB//
CecR	fbaA//
ChbR	mpaA//rnpB//aceE//
ComR	
CpxR	tnaA//glmU//citC//ulaF//purM//entF//bioB//frc//paaC//katG//aroF//hyaA//nrdF//dapD//srkA//
Cra	yqhD//citD//entA//aroH//alaS//nanK//waaZ//tnaA//fadE//mazG//rbsD//hycG//mraY//trpE//ynfE//ugpQ//grxA//mhpA//ndh//umuD//ftnA//aceE//deoC//glpQ//bioC//slt//
CreB	
CsgD	aroH//glyA//bioD//fadJ//
CspA	
CueR	tynA//tam//
CusR	paaI//udp//
CynR	alaC//frdB//ssuE//
CysB	entF//moaA//araD//mdh//yqhD//sufS//gadA//ribA//phnL//
CytR	hcaD//pgk//mazG//narI//napH//feaB//cyoE//phnH//ppiA//
DcuR	alkA//relA//sodA//entB//
DeoR	frdD//gcl//puuD//polA//
DicA	
DinJ-YafQ	nanK//
DnaA	dgcC//astD//argI//rhaB//metE//yqhD//
DpiA	wzc//malQ//tnaA//mhpE//slt//
EnvR	lpd//hcaF//
EvgA	adiA//torA//folA//purD//katG//
ExuR	
FabR	citX//gntK//deoA//
FadR	hemH//rutC//ahpF//aroG//purN//sbcD//cysM//galM//fes//paaJ//tyrA//lpxC//ung//astA//bglB//
FeaR	rbsD//nrfA//
FhlA	ascB//gdhA//glxR//atoD//tdcE//fadD//ttdB//
FlhDC	bioA//astC//
FliZ	murE//bioF//adiA//caiB//xylA//
Fur	dapB//patD//nanM//phnI//glcF//moaC//rhaB//ahpF//hypB//napA//tyrB//guaB//dapB//adiA//fabG//caiC//paaF//adhE//icd//entB//tam//cadA//zwf//moaE//gcvP//malP//rutB//ruvA//paaB//nirD//gltD//
GadE	metF//guaB//paaA//
GadE-RcsB	ldtC//rutA//puuE//relA//mhpA//
GadW	argI//caiA//narH//
GadX	murD//gcl//atoB//citG//fes//
GalR	metC//cyoE//phoA//aroH//napH//
GalS	cynS//gloA//purC//bioB//ahpF//
GcvA	garR//glmU//edd//
GlcC	mngB//srkA//narI//
GlpR	lsrF//murG//mraY//deoD//ugpQ//paaK//caiB//
GlrR	
GntR	ubiX//malY//treC//frc//ygeA//
HU	nrdB//paaZ//astA//glxK//
HcaR	fabD//cysE//
HdfR	
HigA	mhpC//
HigB-HigA	atoB//
HipAB	hycC//pck//
HipB	deoD//mtlD//trpB//
HprR	cynS//polA//
HypT	ssuD//folA//
IclR	phnM//ubiX//gloA//
IlvY	dkgA//
IscR	pdeR//frdB//deoD//phnJ//astA//tyrA//pgaB//
KdgR	frdC//
KdpE	lpxC//
LacI	entE//nanE//lpxC//
LeuO	phnP//cyoE//yqhD//
LexA	lldD//mpaA//hyaB//nanM//folE//garR//citE//deoC//accC//
LldR	puuE//aroL//
LrhA	
LsrR	paaB//gcvH//glcB//glpA//umpH//
MalI	nemA//puuB//
MalT	galE//fadJ//fumB//alkB//
MarA	tdcE//citC//hycD//atoA//nagB//codA//narH//gadB//hycD//gltD//argG//rhaB//
MarR	
MatA	hyaC//
MazE	hcaB//
MazE-MazF	moaD//
McbR	
MelR	hcp//umpH//
MetJ	nanA//gcvT//mtlD//polB//recD//
MetR	entE//gltD//bioC//
MhpR	entH//lsrK//allA//nanA//truB//napB//
Mlc	ogt//lsrK//fabA//
MlrA	nfsB//
MngR	citC//glmS//
MntR	purD//
ModE	fabD//argD//waaY//glcF//ftnA//rsmH//umuC//wrbA//hmp//fau//waaZ//iscS//entE//rbsK//dapB//
MprA	eda//
MqsA	folA//acnA//
MraZ	pdeR//glpB//umuC//astC//phnM//rbsD//nrfC//fabG//dgkA//murG//
MurR	napH//hypB//gltD//
Nac	gcvH//pgk//murQ//rsmH//
NadR	hycC//
NagC	purD//purF//cynT//gloA//murC//moaC//phnP//metE//alkB//edd//nanK//citG//fadD//glyA//
NanR	rsmH//ogt//aroH//fumC//fabH//fbaA//
NarL	entE//garL//polA//lldD//moaC//slt//trpC//hmp//purA//ilvC//argE//murG//ynfH//accA//ssuD//ychF//phnM//gadB//gltB//edd//aceA//tdcD//lpd//feaB//
NarP	nfsA//napG//ugpQ//fadH//mraY//caiC//hcaE//glpK//sufS//
NemR	citG//fumB//
NhaR	bioB//pdeR//putA//nirD//alkB//
NikR	tdcD//
NimR	codA//
NorR	rbsD//
NrdR	waaZ//nirD//tam//dmsC//
NsrR	recF//icd//ynfF//paaY//kbaY//lacA//
NtrC	nrfC//narG//gcvT//napA//ynfH//yqhD//ydcS//mhpE//
OmpR	patD//caiB//mhpC//phnP//argA//fau//narH//pfkA//
