# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nfsA//rutE//
Ada	uvrB//nanK//entA//gntK//
AdiY	aroF//argI//purM//codA//
AgaR	melA//
AidB	kbaY//
AlaS	yedX//
AllR	paaH//argH//hyi//bioA//sodA//pgaB//
AraC	mhpD//eda//accC//moaE//dapD//gapA//
ArgP	glyA//aroH//ascB//hyaB//aceA//puuB//narH//bioA//ilvC//
ArgR	nanM//hycC//bioD//gntK//argG//metE//purA//nrfA//entH//astA//narH//nrdA//alkA//pyrC//argE//arsC//nanK//glpD//torC//paaB//pykF//epd//caiD//
ArsR	glmS//citE//
AscG	sbcD//fau//
AtoC	rbsK//argC//paaE//
BaeR	ldtD//paaH//
BasR	argD//deoC//adhE//
BirA	ogt//alaS//bioF//aceE//aroF//
BluR	
BtsR	citE//
CadC	deoD//aceE//bioC//
CaiF	puuC//fadH//dmsC//nirB//ahpF//
Cbl	dmsC//chbF//argI//astB//nrfD//
CecR	fadD//
ChbR	ftsI//phnJ//gapA//
ComR	
CpxR	caiD//rimK//purD//glpX//sodA//galK//purF//puuD//gcl//glcB//purC//yfdE//oxc//rbsK//purN//
Cra	sbcC//fabD//aceF//glmU//dgkA//nrfC//truB//pflB//mraY//allB//rutD//katG//alkB//argH//sodA//citC//napB//araD//carB//glpQ//hcaF//fabI//ychF//nrdB//cysM//astC//
CreB	
CsgD	ulaE//citX//cysK//treC//
CspA	
CueR	galM//yqjH//
CusR	sbcD//ldtD//
CynR	fadD//alkA//alaC//
CysB	glxR//mdh//rhaB//lsrG//ascB//bioD//glcE//bglB//napG//
CytR	ftnA//ruvA//bioB//araA//caiA//tnaA//appA//metA//caiD//
DcuR	feaB//paaJ//trpC//ruvA//
DeoR	argE//ulaE//phnL//polB//
DicA	
DinJ-YafQ	lacA//
DnaA	wzc//slt//metE//tam//malP//gntK//
DpiA	astD//phnM//hcp//purA//poxB//
EnvR	bioC//chbG//
EvgA	accC//lsrG//lpxC//araD//oxc//
ExuR	
FabR	pdeR//adhE//fbaA//
FadR	murI//trpA//recD//murI//entF//mdh//poxB//argF//gpmA//aceF//ynfE//feaB//murD//galE//rimK//
FeaR	mtlD//frdD//
FhlA	nemA//accD//lpd//paaY//feaB//codA//argC//
FlhDC	paaK//rbsK//
FliZ	yqjH//ycjG//aceB//nfsA//chbF//
Fur	nanA//ttdA//uxuA//phnO//iscS//phnI//bioF//lacZ//fadH//luxS//pgaB//rutD//gpmA//hycB//nanM//rutE//hycF//fabA//argG//glpK//citD//hcaB//sufS//garK//tdcD//trpE//srkA//argD//ynfH//gloA//gadA//
GadE	ugpQ//umuD//atoB//
GadE-RcsB	narG//citX//glpC//cysK//recD//
GadW	tam//glpB//gcvT//
GadX	carB//tdcB//narI//fadI//recD//
GalR	phnG//yqhD//mhpB//metF//ttdA//
GalS	fabH//hycC//argA//deoD//ubiX//
GcvA	puuD//nrfD//narH//
GlcC	bioC//cysE//glcF//
GlpR	ribA//waaY//mpaA//hycB//adiA//glpX//hmp//
GlrR	
GntR	glpX//lpd//cyoE//carB//umpH//
HU	paaK//paaK//ribA//lsrG//
HcaR	caiB//poxB//
HdfR	
HigA	rutB//
HigB-HigA	hcp//
HipAB	ttdB//treC//
HipB	tynA//deoD//ttdB//
HprR	chbG//tynA//
HypT	pykF//pykF//
IclR	polB//gcvT//ldtD//
IlvY	citE//
IscR	dmsA//araA//oxc//paaF//mdh//puuE//allB//
KdgR	pgaC//
KdpE	adiA//
LacI	ruvB//astD//nanM//
LeuO	allA//rbsK//yfdE//
LexA	nrdB//tyrB//phnM//lacZ//feaB//atoA//lacZ//fadE//paaH//
LldR	paaG//pykF//
LrhA	
LsrR	ynfF//argH//aceB//gltD//phnP//
MalI	caiD//gadB//
MalT	treC//lpd//aroH//patD//
MarA	ilvC//tdcD//moaA//murC//astB//glmS//astE//nrfD//icd//yedX//paaZ//trpA//
MarR	
MatA	gpmA//
MazE	dgcZ//
MazE-MazF	narG//
McbR	
MelR	hycF//edd//
MetJ	slt//pyrC//tauD//hycG//nrdB//
MetR	bioA//ttdA//carA//
MhpR	rbsD//cysE//hcaE//icd//waaY//citX//
Mlc	fabI//citF//ruvA//
MlrA	wzb//
MngR	rutD//dapD//
MntR	nanM//
ModE	kbaY//nirB//pykF//chbF//paaK//aceE//malY//uvrB//glpX//fes//sodA//frc//galK//tauD//luxS//
MprA	metC//
MqsA	ahpC//nanK//
MraZ	hypB//nirD//glpK//paaZ//nirB//putA//araB//fadH//ascB//gpmA//
MurR	aceA//hycB//caiD//
Nac	paaE//entB//argF//alaC//
NadR	putA//
NagC	ldtD//ruvB//moaD//napA//mdh//nirD//glpB//nrfD//murI//yqjH//caiC//pgaD//rutA//purA//
NanR	tynA//aroH//hycC//phnN//phnG//gltD//
NarL	eno//slt//fadD//garK//nirD//frdC//hypB//ychF//mhpC//feaB//garR//rutA//nagB//aldA//trpD//mpaA//phnJ//ppsA//galE//metC//narG//glpC//hmp//gpmA//
NarP	nemA//nirD//fabA//galE//xylB//ynfH//moaA//ppsA//glcE//
