# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	nrfD//mngB//
Ada	ttdB//ilvC//aceF//hcaB//
AdiY	ychF//ynfG//glcD//narH//
AgaR	paaF//
AidB	paaJ//
AlaS	fabA//
AllR	nfsB//hyaC//luxS//puuA//grxA//ulaG//
AraC	waaY//relA//nirD//cysM//citC//pdeR//
ArgP	nrfC//atoB//rbsK//bioA//ssuD//metA//paaG//citE//ttdB//
ArgR	aroH//appA//guaB//hyaA//eno//ubiX//waaY//glxK//bglB//frdC//kbaY//galM//recB//chbF//bglB//fumC//recB//astC//dmsC//epd//puuA//paaH//add//
ArsR	astB//bglB//
AscG	tnaA//citC//
AtoC	gpmA//tdcE//glpQ//
BaeR	nfsB//trpD//
BasR	ulaG//mtlD//fabD//
BirA	paaE//tam//deoC//deoA//cysK//
BluR	
BtsR	glpA//
CadC	argB//mraY//tyrA//
CaiF	astE//kbaZ//phnG//acnA//aspA//
Cbl	accA//ynfE//phnN//kbaZ//purN//
CecR	deoB//
ChbR	pykF//mtlD//xylA//
ComR	
CpxR	araA//icd//cynS//napH//hyaA//trpB//deoC//bioD//tdcD//puuB//adiA//purN//moaD//frdB//nrdB//
Cra	garL//phnH//rutE//nfsB//glcD//mdh//nrfC//murE//aceF//umuD//aceB//puuB//sufS//nrdA//rnpB//mpaA//malP//purC//gcvH//mhpC//paaZ//nirD//caiA//hcaE//mraY//frdA//
CreB	
CsgD	gadB//gadA//dapB//sbcD//
CspA	
CueR	frdC//gcl//
CusR	cdd//purD//
CynR	accC//trpE//bioA//
CysB	dkgA//cysG//aceE//paaJ//ycjG//bioC//glpB//alaS//glxR//
CytR	aspA//nrdB//wzc//melA//murE//gadB//malQ//ribA//glcE//
DcuR	rhaD//acnA//ynfH//caiA//
DeoR	nfsA//guaA//torA//nfsB//
DicA	
DinJ-YafQ	frdA//
DnaA	ulaE//gpmA//glxK//hyi//dmsC//lysC//
DpiA	ahpC//argD//aceF//bioF//lpd//
EnvR	gcvP//glpX//
EvgA	ynfH//nirB//ynfE//gapA//malQ//
ExuR	
FabR	ygeA//citX//oxc//
FadR	chbF//sodA//dapD//puuD//acnA//dapD//recF//purB//nagA//carB//rbsK//malQ//murC//pnp//nadB//
FeaR	rutE//entB//
FhlA	lsrG//moaC//add//tdcD//glpB//rutD//torC//
FlhDC	phnO//garL//
FliZ	ugpQ//rimK//ygeA//gadB//pgaC//
Fur	ubiX//phnN//mhpA//hcp//tauD//arsC//ftsI//paaB//entE//alkA//alkA//hcaE//aroL//fabG//tauD//pgaB//nanM//hycC//poxB//araD//mtlD//alkA//trpC//argI//alaS//aroH//atoD//accA//xylB//uxuA//hyaC//
GadE	rhaB//waaZ//accA//
GadE-RcsB	gloA//putA//glpC//dgcC//purC//
GadW	phoA//chbG//epd//
GadX	cysE//pgaB//uxuB//ubiX//ruvA//
GalR	ascB//hmp//frdD//glmU//mhpE//
GalS	glcB//tdcG//phnG//srkA//phnJ//
GcvA	sbcC//dmsC//ada//
GlcC	entB//carA//slt//
GlpR	sufS//bioC//ubiX//fumC//zwf//astC//dgkA//
GlrR	
GntR	paaK//adiA//mhpB//paaI//paaE//
HU	glmS//metC//paaG//argF//
HcaR	carA//acnA//
HdfR	
HigA	nrdD//
HigB-HigA	araB//
HipAB	ulaG//narI//
HipB	murI//entD//ynfH//
HprR	rutE//dapD//
HypT	bioC//ynfH//
IclR	allA//atoD//yqhD//
IlvY	ulaG//
IscR	argG//glcB//argB//hyi//treC//glnA//argC//
KdgR	wrbA//
KdpE	recB//
LacI	cysG//nemA//narH//
LeuO	lpd//argA//deoC//
LexA	atoB//puuC//moaC//fumC//deoD//ilvC//metA//waaZ//glxK//
LldR	ahpF//yqhD//
LrhA	
LsrR	kbaY//lysC//lacA//fau//lsrG//
MalI	citG//lsrG//
MalT	gltD//hyaA//hyaA//entE//
MarA	mhpC//argC//cynS//nfsB//arsC//hcaB//ulaG//ppsA//zwf//ada//glmS//purA//
MarR	
MatA	add//
MazE	moaE//
MazE-MazF	truB//
McbR	
MelR	relA//malY//
MetJ	adhE//narH//iscS//hycB//astE//
MetR	bioD//frdA//glxK//
MhpR	aroG//dapB//mhpC//fabD//nfsB//entA//
Mlc	purN//sufS//rhaD//
MlrA	hyaB//
MngR	waaY//ribA//
MntR	putA//
ModE	relA//chbG//ycjG//dgcZ//icd//alaC//cyoE//lldD//luxS//astA//hmp//argB//lsrF//rutC//nadB//
MprA	pgaD//
MqsA	pnp//cdd//
MraZ	rutD//mngB//napH//waaZ//pyrC//paaA//ttdB//umpH//lsrG//paaI//
MurR	recB//glpA//caiC//
Nac	hcaD//fabD//add//lsrG//
NadR	argD//
NagC	purB//melA//allB//ynfE//fadI//rsmH//entF//pdeR//slt//dmsB//udp//purA//torA//mhpE//
NanR	eno//polB//paaB//wzb//wzb//fau//
NarL	ppiA//gltB//uvrB//dapB//rutD//tyrA//dmsA//nagA//entD//sodA//atoB//ppsA//murQ//ulaG//moaD//phnH//purH//eno//metC//purN//lpxC//arsC//gadA//napA//
NarP	ssuE//kbaY//uxuB//rutC//ribA//frc//napB//caiC//ycjG//
NemR	adhE//nrdA//
NhaR	pdeL//garK//fadE//gpmA//nadB//
NikR	udp//
NimR	murD//
NorR	glpQ//
NrdR	fadH//ulaD//dgkA//dmsC//
NsrR	iscS//hyaC//nrdB//guaB//metA//ppsA//
NtrC	adhE//torC//umuC//chbG//mhpA//gltD//adiA//galK//
OmpR	purN//srkA//atoA//aldA//deoC//paaE//caiB//ttdA//
OxyR	purN//nirB//nirD//ftnA//ftnA//paaE//araA//garR//phoA//mhpE//uvrB//ung//murD//
PaaX	nagA//puuE//nfsA//alaS//lacA//nanM//deoD//ulaD//metA//
PdeL	fumC//
PdhR	nanA//recF//paaZ//hypF//fes//glcF//acnA//wrbA//ttdA//ahpF//cysM//pdeL//glpB//tdcE//gcvT//mdh//fdhF//glpQ//purD//glnA//rnpB//glcE//
PepA	ulaG//nadB//
PgrR	entH//cynS//
PhoB	alaS//paaB//fbaA//nemA//ddlB//astA//wzc//pgaB//ilvC//entH//ulaD//lpxC//nfsB//phnI//glpD//
PhoP	umuD//nrfA//umpH//
PspF	wrbA//
PurR	nanK//fdhF//metE//astE//deoC//recD//garL//purM//lacA//rutC//ldtD//dmsC//
PutA	fabD//deoD//
PuuR	tdcE//citG//melA//hcaC//fes//luxS//
QseB	
RbsR	gloA//moaC//tynA//metA//frdA//ftnA//
RcdA	ftsI//
RclR	
RcnR	pflB//
RcsAB	napH//fadH//
RcsB	garR//hyaB//
RcsB-BglJ	nagB//ttdA//
