# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	caiB//yqjH//
Ada	gpmA//cdd//ttdB//fumB//
AdiY	phnM//napA//murE//hcaB//
AgaR	aceF//
AidB	treC//
AlaS	cynS//
AllR	allB//fabB//tnaA//phnO//fabD//paaE//
AraC	malY//zwf//aspA//glpD//ugpQ//tyrB//
ArgP	atoA//nfsB//trpD//ulaG//melA//entC//hypF//fabI//ung//
ArgR	fes//fbaA//icd//rhaD//accC//pfkA//ftnA//fumC//pfkA//tyrB//appA//napA//rutE//rutC//bglB//putA//glpB//aroH//dkgA//metF//ssuE//glnA//napH//
ArsR	argG//phnO//
AscG	nrdF//phnI//
AtoC	yqhD//purD//ogt//
BaeR	sufS//hycB//
BasR	hcaC//pck//mhpB//
BirA	cysE//rbsK//ydcS//deoC//nanM//
BluR	
BtsR	napH//
CadC	astC//nirB//ruvA//
CaiF	lacZ//phnH//gltB//ttdA//entD//
Cbl	ttdA//fumB//hypF//moaA//iscS//
CecR	ulaF//
ChbR	citC//lsrF//cysM//
ComR	
CpxR	phnJ//metC//rbsK//phoA//lpxC//xylA//galK//cadA//tauD//codA//wzc//alkA//gloA//fadE//icd//
Cra	accA//cueO//ttdA//epd//hemH//guaB//ldtD//folE//puuB//murG//nfsA//relA//nemA//tdcD//kbaY//paaY//xylB//ssuD//tdcE//alaC//purA//recD//araD//ssuD//carA//adiA//
CreB	
CsgD	cadA//ugpQ//paaZ//citD//
CspA	
CueR	appA//citG//
CusR	lpxC//glpK//
CynR	ygeA//pgaC//glcF//
CysB	purF//citF//hycB//frdC//fabG//eda//umpH//entD//carA//
CytR	ung//nrfC//rutC//nagB//tyrA//malP//yqhD//glcF//hycG//
DcuR	adiA//araD//hyaC//lldD//
DeoR	wzc//ahpF//phnM//adhE//
DicA	
DinJ-YafQ	cyoE//
DnaA	guaB//citE//argH//nirB//frdB//melA//
DpiA	waaZ//zwf//ascB//aceA//phnN//
EnvR	glnA//ilvC//
EvgA	accA//mhpA//purA//hcaE//ldtD//
ExuR	
FabR	dapB//astA//glpK//
FadR	tdcD//argF//yqjH//aroH//mhpF//fdhF//caiD//ulaE//paaC//ulaE//deoC//tyrB//patD//rbsK//hyi//
FeaR	hcaE//glmS//
FhlA	aceE//ddlB//garL//gpmA//ahpC//codA//mhpB//
FlhDC	ddlB//purB//
FliZ	nadB//frdB//puuB//argB//dapB//
Fur	purM//ogt//ttdB//glyA//tdcD//tdcG//cdd//metF//nrdE//mdh//aroF//mhpA//mhpF//glcF//ada//ndh//ddlB//sbcC//phnL//rnpB//cysE//narH//murE//deoD//guaA//uxuA//glpX//hcaB//narI//garL//umpH//
GadE	cysM//fadE//atoB//
GadE-RcsB	torA//epd//citX//rsmH//mhpA//
GadW	glpA//fadE//uxuB//
GadX	glpQ//phnG//fumC//bioA//fumB//
GalR	dapD//puuD//udp//astA//purA//
GalS	glcD//deoC//dgkA//trpE//udp//
GcvA	lpxC//guaB//purF//
GlcC	acnA//gcvH//bioD//
GlpR	mazG//moaD//trpC//dgcZ//poxB//hemH//puuA//
GlrR	
GntR	sodA//nadB//dgcZ//fau//glxK//
HU	cysK//alkA//iscS//pdeL//
HcaR	glpC//purF//
HdfR	
HigA	umpH//
HigB-HigA	atoD//
HipAB	phnH//xylB//
HipB	dgcC//ftsI//ung//
HprR	dapD//mraY//
HypT	relA//glcD//
IclR	nrdF//narG//ydcS//
IlvY	rutA//
IscR	glcE//pgaD//purF//bioA//pgk//ung//lysA//
KdgR	napB//
KdpE	ssuE//
LacI	entD//ahpF//rnpB//
LeuO	pgk//oxc//zwf//
LexA	ruvA//dgkA//ulaE//nanE//fabD//pdeR//hypB//nanK//recB//
LldR	umpH//rutE//
LrhA	
LsrR	tdcD//hycF//dgcC//edd//oxc//
