# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rsmH//cyoE//
Ada	nagA//glyA//ynfG//hyaB//
AdiY	caiA//icd//fabA//ulaG//
AgaR	citG//
AidB	cysG//
AlaS	accD//
AllR	sbcD//treC//ahpF//recB//eda//mhpD//
AraC	icd//argC//purC//ppiA//oxc//cysG//
ArgP	puuD//pfkA//ldtD//allA//napA//citX//fabH//lpxC//argE//
ArgR	narG//fabH//pfkA//argH//bglB//chbG//ppiA//purD//pdeL//tdcE//atoA//glcE//putA//araA//entA//ilvC//fdhF//astC//aceA//hyaA//glyA//pgaD//galK//
ArsR	pck//hycC//
AscG	glcF//phnM//
AtoC	glpC//aroF//mhpC//
BaeR	glpA//dgcZ//
BasR	aceA//rsmH//oxc//
BirA	tdcG//ribA//aroL//dmsA//ruvB//
BluR	
BtsR	moaC//
CadC	aroL//caiB//rsmH//
CaiF	lysC//adiA//recF//rnpB//bioB//
Cbl	ftnA//glpD//add//gadA//phnG//
CecR	recD//
ChbR	ruvB//chbF//garR//
ComR	
CpxR	gntK//pgaD//rhaD//purA//gapA//glpC//nirD//accC//deoB//lysA//citC//gltD//chbF//deoD//nfsB//
Cra	murC//hyaB//moaD//sufS//dmsA//entA//carB//argE//chbG//garL//purA//napG//trpE//astC//citD//purH//ssuD//paaK//glxK//glcD//pgaC//rhaB//gcvT//cdd//napH//lpxC//
CreB	
CsgD	add//deoD//ldtC//cyoE//
CspA	
CueR	purH//dapD//
CusR	argB//nanE//
CynR	ndh//ppiA//aroF//
CysB	aroG//purN//umuD//melA//gapA//katG//narI//ppiA//frc//
CytR	edd//carA//hcaE//hcaD//glcF//malY//dmsC//allA//entC//
DcuR	fadD//umpH//torA//frdA//
DeoR	torA//murI//mhpF//grxA//
DicA	
DinJ-YafQ	paaA//
DnaA	wrbA//ulaE//mhpA//phnG//nrfA//fabI//
DpiA	citX//phnH//ugpQ//ycjG//fabD//
EnvR	nrdD//nrdE//
EvgA	caiD//murD//caiD//hemL//aceF//
ExuR	
FabR	citF//ssuE//deoA//
FadR	glpB//ulaG//nrdE//accA//mhpC//purC//phnG//malQ//argA//cynS//ugpQ//gcvH//alaS//hcaF//pck//
FeaR	kbaY//pgaB//
FhlA	glcF//puuE//mpaA//mhpE//murI//aceE//pdeR//
FlhDC	rbsK//aroL//
FliZ	accD//lpd//metF//adiA//ppiA//
Fur	hyaC//gcvH//eno//yqjH//argA//nrfA//malQ//tdcD//fadJ//glcB//paaH//argI//nanM//yqjH//argF//purB//hyaA//ung//glpQ//dgcZ//purD//ruvA//trpD//narG//nfsA//gltD//truB//phnL//ychF//lpd//udp//
GadE	glmS//rhaB//xylB//
GadE-RcsB	ruvA//hycG//umuD//pykF//paaI//
GadW	frdC//paaK//aceA//
GadX	cynS//citF//glpD//napB//pdeL//
GalR	argH//allB//ftsI//gpmA//deoA//
GalS	lsrF//ulaF//purN//gntK//aldA//
GcvA	epd//truB//xylB//
GlcC	hcaE//phnO//waaY//
GlpR	caiB//aroG//ycjG//yfdE//glyA//mhpE//ynfE//
GlrR	
GntR	argI//nrdF//phnO//argH//garR//
HU	gpmA//phnG//ogt//phnG//
HcaR	ssuE//lysA//
HdfR	
HigA	accA//
HigB-HigA	purF//
HipAB	ubiX//tdcD//
HipB	puuC//eda//frdC//
HprR	sufS//frdB//
HypT	tyrB//ulaG//
IclR	truB//puuD//rhaD//
IlvY	citE//
IscR	phnI//melA//polA//phnP//purD//eno//icd//
KdgR	astD//
KdpE	gltD//
LacI	nrfD//murE//mdh//
LeuO	aroG//citG//ogt//
LexA	glmU//glpQ//purF//fadD//mpaA//ssuD//fau//glpD//xylA//
LldR	xylB//guaA//
LrhA	
LsrR	pgaB//bioC//waaY//chbG//deoA//
MalI	garK//phnI//
MalT	melA//melA//caiB//ldtC//
MarA	ynfF//gdhA//astB//cysM//phoA//ddlB//polA//truB//sodA//cdd//nanA//ulaF//
MarR	
MatA	nrdF//
MazE	ruvA//
MazE-MazF	ynfH//
McbR	
MelR	deoB//fadE//
MetJ	pck//purB//araA//zwf//pgaD//
MetR	glnA//caiC//hcaF//
MhpR	aroF//lacA//narH//araA//glpQ//paaF//
Mlc	mhpC//gadB//ulaF//
MlrA	paaY//
MngR	ubiX//ttdB//
MntR	astA//
ModE	ychF//ung//gapA//nrdF//moaE//frdA//tnaA//narI//ulaE//caiA//glxR//malY//phoA//ynfH//ubiX//
MprA	patD//
MqsA	ccp//recF//
MraZ	kbaZ//uvrB//kbaY//waaY//ogt//glpC//garK//argD//narH//dmsC//
MurR	chbF//gcvT//murE//
Nac	glcD//recF//glcD//citE//
NadR	fadI//
NagC	argE//ahpC//purD//bioD//rutB//fabI//gloA//aldA//recB//araB//nemA//ychF//ubiX//citE//
NanR	folA//udp//hycB//poxB//phnN//metE//
NarL	katG//epd//hyi//glcE//narI//metA//citF//nanK//argE//caiD//nemA//lsrK//mngB//argG//mhpF//torC//trpA//frc//rnpB//hcaC//ynfH//sbcD//rhaD//tam//
NarP	trpB//paaI//gadA//glmU//purF//ssuD//garR//narG//hycF//
NemR	fadH//aceF//
NhaR	lacA//eno//lacZ//gcvP//puuC//
NikR	glnA//
NimR	phnG//
NorR	kbaY//
NrdR	ubiX//nrfD//yqjH//citG//
NsrR	metF//uxuB//slt//nanA//lpxC//glmS//
NtrC	citD//ssuE//hycF//entC//ftsI//deoD//aroL//dgcC//
OmpR	pck//glpD//gapA//bioA//ugpQ//narI//accA//nfsB//
OxyR	pdeL//lysA//fabH//ascB//murQ//ahpC//ribA//metC//caiD//ubiX//pdeR//napG//tam//
PaaX	iscS//hemH//hcp//nadB//pgaB//galE//mhpA//phnJ//pgaD//
PdeL	fbaA//
PdhR	citG//waaY//fabB//codA//mhpA//dgcZ//glmU//frc//lpxC//treC//bioF//ftsI//hypF//chbF//dgkA//trpA//kbaY//bglB//moaC//trpD//nfsB//paaY//
PepA	feaB//phnP//
PgrR	fau//ycjG//
PhoB	appA//tdcE//nfsA//hemH//fes//mhpC//moaA//bioD//phoA//torA//ynfH//arsC//pspE//hcaF//paaA//
PhoP	tyrB//ndh//frdA//
PspF	lpd//
PurR	tyrA//metF//bioB//ycjG//umuC//recD//cysM//rutA//malY//rhaD//astD//galT//
PutA	gntK//argH//
PuuR	umuC//fbaA//fabG//caiB//gloA//ruvA//
QseB	
RbsR	hyaB//gcl//guaB//nrfA//paaI//argC//
RcdA	ulaF//
RclR	
RcnR	ynfH//
RcsAB	galK//narH//
RcsB	add//napG//
RcsB-BglJ	relA//ugpQ//
RelB	paaY//
RelB-RelE	rutD//
RhaR	
RhaS	katG//araA//pgaD//alaS//
Rob	tdcD//dkgA//trpD//aceE//
RstA	chbG//
RutR	astB//nagB//trpB//argD//fadD//frc//alkA//fumB//hcaD//lysC//
SdiA	
SgrR	mtlD//rbsK//dapD//
SlyA	gcvT//tdcD//gdhA//kbaY//ccp//glcB//citG//nrdA//ulaD//
SoxR	entA//
SoxS	bioC//entF//paaY//srkA//cyoE//ppiA//argB//hypB//malQ//cueO//hyaC//argF//metC//pfkA//cysK//cueO//
StpA	glcF//
SutR	metC//hyi//
TdcA	fabG//carB//ynfF//atoA//dgkA//
TdcR	ccp//garK//ahpC//glpC//gdhA//
TorR	tdcB//tdcD//nirD//puuA//
TreR	purM//dkgA//
TrpR	phnH//recF//galM//nirB//nrdA//gapA//hycB//hyaA//puuC//
TtdR	uvrB//hypF//
TyrR	mhpA//glmS//waaY//putA//pspE//phnH//glpA//pgaC//fes//
UhpA	nfsA//
UlaR	sbcD//gltB//paaE//nirB//hcaB//
UvrY	nrdE//glcD//
UxuR	hmp//mazG//aroG//
XylR	yfdE//sbcD//carA//
YdeO	astC//napB//ulaG//
YefM	citG//
YefM-YoeB	paaZ//
YhaJ	
YjjQ	
YpdB	
YqhC	narG//phnI//
YqjI	gdhA//
ZntR	pfkA//
ZraR	
Zur	arsC//
