# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	feaB//ldtD//
Ada	epd//dapD//nrfA//trpD//
AdiY	aceE//dkgA//aroF//waaY//
AgaR	fadH//
AidB	gcvP//
AlaS	allA//
AllR	uvrB//frdD//epd//umpH//cysK//phnN//
AraC	slt//atoB//xylA//astC//puuB//fabG//
ArgP	argF//moaE//torA//hcaC//slt//allB//yqhD//cynS//uxuA//
ArgR	folE//ppiA//murQ//ulaE//ndh//fabD//truB//ung//alkB//accA//mhpC//folA//tyrA//tdcD//glmS//tyrA//metC//dgkA//rbsD//ppsA//entC//pspE//malQ//
ArsR	carB//glpA//
AscG	moaA//murD//
AtoC	accC//pyrC//moaD//
BaeR	hycD//alaC//
BasR	umuD//narI//cdd//
BirA	hcp//murG//phoA//malP//aceA//
BluR	
BtsR	rbsD//
CadC	alkA//ssuE//pnp//
CaiF	mraY//entA//ssuD//tnaA//hypF//
Cbl	mhpF//entA//ycjG//guaB//rsmH//
CecR	ynfH//
ChbR	metF//ldtC//purN//
ComR	
CpxR	lldD//acnA//feaB//gdhA//nemA//hyaC//nrdB//paaA//sufS//add//hemL//pyrC//ccp//argD//wzb//
Cra	allA//trpA//pyrC//luxS//guaA//moaD//trpB//recD//argB//atoD//fumB//lysA//gapA//ugpQ//tnaA//araA//aceB//narI//ldtC//chbF//phnP//dgcC//tdcE//astA//ynfH//purM//
CreB	
CsgD	mngB//deoA//murG//cynT//
CspA	
CueR	carB//glpX//
CusR	xylB//ulaG//
CynR	gadB//nrdE//wzb//
CysB	ascB//galT//fadI//fau//rbsK//fabG//wrbA//napG//garK//
CytR	hycD//fabA//narG//fadJ//cysK//cynT//ldtC//gcl//frdD//
DcuR	xylB//fabG//bioB//dapD//
DeoR	xylB//hycF//pykF//caiB//
DicA	
DinJ-YafQ	phnI//
DnaA	ddlB//fabD//fadD//nfsB//lsrF//glpQ//
DpiA	guaA//purA//xylA//phnP//carA//
EnvR	puuD//yedX//
EvgA	dgcC//wzb//hypB//glcB//fabA//
ExuR	
FabR	ftnA//moaA//aceF//
FadR	pfkA//melA//entH//pgk//entA//paaG//nanE//hcaF//mazG//argG//kbaY//ung//napA//aldA//adiA//
FeaR	bglB//paaB//
FhlA	entE//fadD//frdD//allB//lysA//entE//fabH//
FlhDC	adiA//caiB//
FliZ	puuB//paaB//purM//alkB//mngB//
Fur	purA//glmU//gpmA//hmp//hycD//entC//entF//slt//hycF//ribA//adhE//pspE//deoD//hemH//nirD//hcaC//moaC//fumC//lsrG//glpD//puuC//bioB//rbsK//rutC//glpX//astA//alkA//lsrF//galM//napH//ddlB//
GadE	ttdB//glpD//hcaC//
GadE-RcsB	atoB//feaB//galK//argA//glpD//
GadW	napB//ssuD//cysG//
GadX	purD//fabI//putA//tdcG//caiD//
GalR	gltD//fabH//ccp//alkB//murI//
GalS	murF//metA//aceA//aroL//ulaD//
GcvA	hycB//nrdA//purC//
GlcC	glpB//nfsB//ssuD//
GlpR	ribA//paaJ//alaC//phoA//fadJ//frdC//yedX//
GlrR	
GntR	lysC//dmsA//aspA//dkgA//mdh//
HU	ynfF//nrdF//phnL//hcaC//
HcaR	fabG//ydcS//
HdfR	
HigA	arsC//
HigB-HigA	araD//
HipAB	entF//tdcD//
HipB	rutB//hycC//gcvP//
HprR	mpaA//fabI//
HypT	phnL//grxA//
IclR	nanK//cueO//yqhD//
IlvY	glpQ//
IscR	napG//phoA//galM//alkB//paaG//mhpA//patD//
KdgR	tdcB//
KdpE	rutA//
LacI	nfsA//ynfE//tam//
LeuO	treC//puuE//alkB//
LexA	gloA//paaK//paaI//aceB//rbsD//ynfE//ppiA//paaH//yedX//
LldR	fumB//fbaA//
LrhA	
LsrR	glpB//rhaA//ycjG//paaK//dgcC//
MalI	hycG//fau//
MalT	aroL//hycE//xylB//folE//
MarA	tyrA//glmU//gapA//hycB//umpH//accC//rsmH//fdhF//aspA//tdcD//gadA//umpH//
MarR	
MatA	xylB//
MazE	napA//
MazE-MazF	gadA//
McbR	
MelR	trpE//lsrF//
MetJ	mhpA//narG//mhpE//lsrK//allB//
MetR	lysA//mhpE//trpA//
MhpR	tyrB//aldA//araD//yqhD//metE//trpE//
Mlc	lsrG//eno//aceF//
MlrA	ychF//
MngR	paaA//mhpF//
MntR	ldtD//
ModE	hemL//umuD//hycF//aceA//nrdF//gadB//luxS//grxA//aspA//puuE//argA//cdd//citF//purF//moaD//
MprA	nanK//
MqsA	tyrA//nagB//
MraZ	deoB//phnL//uxuB//paaA//pck//nrfC//ndh//hemL//xylB//edd//
MurR	murI//argI//uxuA//
Nac	nrdE//mazG//mhpC//napG//
