# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argH//nrfA//
Ada	ung//nirD//glnA//uxuA//
AdiY	argE//bioC//hycD//fabD//
AgaR	trpC//
AidB	paaJ//
AlaS	rutC//
AllR	citX//purN//hcaB//pdeL//nirD//astB//
AraC	phnP//cueO//glxR//hcaF//purD//gcvT//
ArgP	argE//aroH//argE//umuC//hyaB//ulaF//citD//ascB//glcF//
ArgR	patD//bioA//frdB//gcvP//paaZ//lysC//pdeL//phnH//polB//murE//puuA//lpd//napB//pck//puuD//tdcG//codA//caiC//atoB//tynA//ynfF//truB//pck//
ArsR	ogt//garK//
AscG	entA//gcvH//
AtoC	aldA//nrdA//metE//
BaeR	frdC//dgcC//
BasR	recB//trpB//purM//
BirA	umuD//gdhA//nirD//paaC//argI//
BluR	
BtsR	aceE//
CadC	hyaC//moaA//garR//
CaiF	feaB//galK//hemH//uxuA//fabB//
Cbl	paaI//adhE//lacZ//malP//nirB//
CecR	metC//
ChbR	argD//phnM//ychF//
ComR	
CpxR	hmp//astD//pspE//cysM//glpC//nrfA//puuE//hcp//kbaY//dmsA//galM//ychF//dkgA//bioD//glcD//
Cra	ulaG//allB//paaI//tynA//allA//ygeA//nrdD//dmsB//fabI//rbsD//garL//aroG//ftsI//entC//paaG//bioB//purN//metE//rutD//icd//dgkA//paaA//yqjH//galT//paaA//araD//
CreB	
CsgD	lpxC//cysK//truB//feaB//
CspA	
CueR	murI//pyrC//
CusR	rutE//ycjG//
CynR	narI//entD//codA//
CysB	sodA//purH//lacZ//gltD//entB//acnA//glpC//fau//hyaC//
CytR	pck//entE//nanM//ruvA//nemA//phnJ//hycG//phnJ//ttdA//
DcuR	napG//add//aroL//citF//
DeoR	metC//kbaZ//polB//aspA//
DicA	
DinJ-YafQ	yfdE//
DnaA	guaB//ftnA//rutC//puuB//phnJ//ubiX//
DpiA	fadI//lysA//fadD//uxuB//hycF//
EnvR	purN//glpQ//
EvgA	paaK//poxB//fadH//pgaC//deoB//
ExuR	
FabR	gloA//araA//xylA//
FadR	puuE//murG//hyaB//narG//puuE//hmp//nrfA//atoA//rutE//trpE//caiB//ulaF//relA//ribA//accC//
FeaR	tyrA//entC//
FhlA	argG//entC//aroF//galM//caiD//narH//cysK//
FlhDC	tdcB//fabD//
FliZ	ulaF//dapB//hmp//napG//ogt//
Fur	pykF//gltB//dgkA//fabH//argF//phnJ//paaB//nrdA//ruvB//glpQ//rutB//ynfE//chbF//pdeR//allB//rhaD//aceF//atoD//ruvA//fbaA//paaE//astB//wrbA//ogt//purC//rimK//eda//hypB//ribA//nanA//argE//
GadE	appA//entA//hycG//
GadE-RcsB	mhpA//rsmH//uxuB//grxA//recD//
GadW	recF//purD//lacA//
