# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	recF//acnA//
Ada	hycB//fbaA//pspE//hcaC//
AdiY	araD//carB//napA//metA//
AgaR	mhpF//
AidB	pdeL//
AlaS	ulaG//
AllR	pykF//gdhA//hmp//sufS//fadD//hycF//
AraC	purA//gadA//rutC//pyrC//phnL//gltD//
ArgP	moaD//rutB//caiC//ddlB//oxc//pflB//paaK//gpmA//rutB//
ArgR	trpA//hypB//napA//gadB//phoA//umuD//fabD//argG//ogt//lsrK//cysE//purF//aroH//tdcB//purH//cynT//waaY//phnO//ppsA//poxB//ldtC//aceE//murD//
ArsR	carA//eno//
AscG	puuC//moaE//
AtoC	murC//truB//wrbA//
BaeR	sodA//kbaZ//
BasR	murG//mpaA//hycG//
BirA	aroH//napH//gapA//metA//pfkA//
BluR	
BtsR	phnH//
CadC	pdeL//puuB//phnM//
CaiF	argE//lysC//glpA//mngB//rutE//
Cbl	purB//epd//mpaA//acnA//polB//
CecR	wzc//
ChbR	fdhF//bglB//guaB//
ComR	
CpxR	add//ftnA//fabD//entA//argI//slt//frdC//nirD//hyaA//fabA//galE//uxuA//rutE//glpQ//lysC//
Cra	ppsA//pfkA//gloA//xylB//argF//alkA//argB//fabB//puuC//hyaB//rnpB//phnN//gadA//phnO//pdeL//lacZ//murF//dgcC//gadB//fadD//fabH//tauD//phnM//mhpE//lsrG//hyi//
CreB	
CsgD	pdeL//trpD//citX//ynfF//
CspA	
CueR	pgaC//slt//
CusR	tdcE//recF//
CynR	ugpQ//narH//gltB//
CysB	metE//fumC//cynT//purB//carB//fabD//dmsA//tynA//pck//
CytR	hyaA//gadB//puuA//aroG//rsmH//dapD//polB//cadA//ada//
DcuR	rnpB//mhpC//uxuA//paaY//
DeoR	xylA//entE//purM//lysC//
DicA	
DinJ-YafQ	guaA//
DnaA	cueO//dgcZ//nrfC//hcaF//tyrA//cysK//
DpiA	cyoE//alkB//argI//entB//frdA//
EnvR	phnG//aldA//
EvgA	sbcC//lsrG//melA//glcD//araA//
ExuR	
FabR	rutE//bioA//nrdD//
FadR	gdhA//dgkA//nrfC//phnN//astD//ahpF//eda//srkA//caiB//garK//hcaD//glxK//rsmH//malP//argA//
FeaR	ribA//slt//
FhlA	napH//puuD//ascB//cadA//torC//pspE//fabG//
FlhDC	entA//eno//
FliZ	pspE//caiA//tyrB//murE//rhaB//
Fur	trpC//polA//purH//recB//sbcC//xylA//pflB//gadA//alkB//entA//frdA//araD//fes//paaE//lpxC//astA//glcF//nanE//ttdB//ugpQ//gloA//tam//ygeA//dgcC//yqhD//araD//lacZ//puuA//melA//napA//ydcS//
GadE	aceF//yqhD//nadB//
GadE-RcsB	aceB//mpaA//phnN//purN//ubiX//
GadW	pgaB//nrdE//trpD//
GadX	hycG//galM//argH//tdcB//mhpE//
GalR	fabA//katG//hypB//narI//trpD//
GalS	entF//aldA//ttdA//pnp//gcl//
GcvA	folE//ulaE//nrdF//
GlcC	carA//polA//codA//
GlpR	aspA//glpC//tauD//allA//ttdA//glpD//gloA//
GlrR	
GntR	fadD//puuB//deoC//glpB//nanM//
HU	phnO//pgk//ynfE//hcaB//
HcaR	citX//polA//
HdfR	
HigA	rutA//
HigB-HigA	phnG//
HipAB	napB//pykF//
HipB	ychF//mhpC//moaC//
HprR	tyrA//argC//
HypT	umpH//pfkA//
IclR	bioD//iscS//glmU//
IlvY	recB//
IscR	bioF//alaS//dmsB//rhaA//nrdF//citC//yqhD//
KdgR	pdeL//
KdpE	entB//
LacI	lacA//dmsB//dmsA//
LeuO	ppiA//frdD//alkB//
LexA	tdcB//allA//narG//phnM//glcB//ada//ttdA//phnJ//yqjH//
LldR	ndh//hycG//
LrhA	
LsrR	wzc//gcvH//tdcB//ada//deoA//
MalI	paaF//frdC//
MalT	murF//ilvC//entA//ldtC//
MarA	lacZ//ndh//glcE//iscS//fabH//accD//entA//cadA//trpC//pgaB//cysE//add//
MarR	
MatA	bioF//
MazE	cysG//
MazE-MazF	fumB//
McbR	
MelR	glpK//uxuB//
MetJ	bioB//polB//lacZ//hypF//paaY//
