# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	aroH//chbF//
Ada	argG//yqjH//entC//hcaD//
AdiY	purD//lacZ//argA//truB//
AgaR	aceB//
AidB	caiA//
AlaS	tynA//
AllR	hcaE//rutD//paaZ//dgcC//fabI//fes//
AraC	carB//fadI//dgcC//cynT//purM//astC//
ArgP	phnN//glpA//poxB//lsrG//glpD//metE//ccp//hycE//iscS//
ArgR	ycjG//nrdF//ilvC//ulaG//ascB//murG//allB//carB//cysK//glpK//napB//nrfC//lsrF//dgcZ//ydcS//wzb//citC//bioB//gltD//nfsA//dapB//gadB//hcaF//
ArsR	ulaF//cdd//
AscG	atoB//nrdE//
AtoC	rimK//argI//garL//
BaeR	purM//recF//
BasR	wrbA//nrdF//ftsI//
BirA	paaG//lsrK//ugpQ//nfsB//torA//
BluR	
BtsR	purB//
CadC	paaI//nagA//garK//
CaiF	gntK//wzb//cysE//tdcE//ynfG//
Cbl	garK//rnpB//citX//iscS//astC//
CecR	umuC//
ChbR	aroF//folE//hmp//
ComR	
CpxR	argH//ilvC//galE//fumC//murC//moaE//uxuB//fabH//argF//paaB//fabA//moaD//nrdD//dgkA//feaB//
Cra	deoC//purH//dkgA//cysG//aceB//gcvH//fdhF//hycE//fabI//nrdE//rimK//xylA//bioC//araA//wzc//fabD//mazG//mpaA//trpD//glcF//glpA//caiD//metF//metA//mhpB//folA//
CreB	
CsgD	trpD//rutC//ldtD//phnI//
CspA	
CueR	nrfD//hcp//
CusR	dgcC//wzb//
CynR	puuD//ilvC//purH//
CysB	citC//argD//puuB//entH//nadB//glcB//hemL//phnG//fabI//
CytR	feaB//deoC//treC//carB//galT//sbcC//tdcD//nrdF//hyi//
DcuR	cysM//ndh//fabG//fadE//
DeoR	nrfA//patD//aroL//astD//
DicA	
DinJ-YafQ	glnA//
DnaA	torC//nanK//purA//glpQ//caiC//purD//
DpiA	aspA//malP//mraY//paaZ//dapB//
EnvR	fabI//entF//
EvgA	tdcG//aspA//hyaA//ribA//pspE//
ExuR	
FabR	ulaE//adhE//glmS//
FadR	katG//rbsD//astE//sbcC//moaD//glpB//atoB//ttdB//mdh//cysE//phnN//purA//ndh//pdeR//glxR//
FeaR	glyA//caiC//
FhlA	araD//aroH//fumB//guaA//trpE//ndh//paaB//
FlhDC	aceF//ycjG//
FliZ	ahpF//chbG//hcaF//murQ//gloA//
Fur	pflB//murE//fabG//ogt//fabH//tam//gdhA//hcaF//atoB//kbaZ//fadI//malY//guaA//hypF//argI//citX//paaZ//paaY//atoD//glcE//galT//cdd//paaG//gcvP//argC//entD//astC//caiA//allB//trpB//mazG//
GadE	relA//phnM//tdcD//
GadE-RcsB	purN//ahpC//hmp//srkA//glmU//
GadW	acnA//glpX//waaZ//
GadX	mtlD//atoA//galE//cyoE//mhpE//
GalR	malY//hycF//rhaD//iscS//glpD//
GalS	napH//fadH//malY//entA//nanK//
GcvA	ygeA//zwf//nrfD//
GlcC	frdC//fabG//citC//
GlpR	rutC//fumC//umuD//trpC//tdcG//glpX//fabG//
GlrR	
GntR	citE//rutE//phnL//pflB//bglB//
HU	lacZ//murQ//astC//ugpQ//
HcaR	feaB//pnp//
HdfR	
HigA	glpC//
HigB-HigA	srkA//
HipAB	fau//fumC//
HipB	bioF//glpX//metF//
HprR	mraY//ftnA//
HypT	ribA//paaH//
IclR	ppiA//murE//guaB//
IlvY	aroL//
IscR	nfsA//paaF//deoD//ycjG//trpA//dgcZ//bioD//
KdgR	argC//
KdpE	nfsA//
LacI	yqjH//folE//hyaB//
LeuO	phnH//paaK//ugpQ//
LexA	appA//ruvA//epd//phnL//hmp//purF//ttdB//ahpF//trpC//
LldR	deoD//fdhF//
LrhA	
LsrR	ndh//puuE//ldtD//ulaE//glnA//
MalI	adhE//glyA//
MalT	nrdB//dgcZ//rimK//ruvA//
MarA	glcB//paaB//garR//pflB//pflB//glcE//murE//gpmA//phnJ//citE//recB//pgaD//
MarR	
MatA	hcaE//
MazE	ssuE//
MazE-MazF	tyrB//
McbR	
MelR	trpB//astA//
MetJ	tauD//zwf//bglB//grxA//glpX//
MetR	edd//uvrB//aceB//
MhpR	fabG//metF//glpA//astE//galT//waaZ//
Mlc	glpK//caiC//galE//
MlrA	patD//
MngR	glpA//dgcC//
MntR	ycjG//
ModE	puuB//bglB//ynfF//nfsB//ogt//mraY//cadA//aroG//gcvP//gapA//lysC//rnpB//murQ//fes//atoD//
MprA	hycE//
MqsA	hcaD//murC//
MraZ	fumB//napG//luxS//add//putA//galM//ftsI//gadB//luxS//ulaD//
MurR	moaC//paaE//glxR//
Nac	ubiX//phnP//aceB//nfsB//
NadR	phnG//
NagC	napA//yqjH//gloA//paaI//nfsB//metC//hycF//mhpF//ascB//hycB//mazG//argD//frdB//allB//
NanR	waaZ//glpB//mtlD//ssuD//aroL//hmp//
NarL	metA//tauD//murQ//lysA//puuC//paaB//paaI//argG//murD//folA//grxA//cueO//hycE//hcaC//narI//dgcZ//dapD//entE//hycB//nadB//hycG//moaC//aroF//bioB//
NarP	fadD//srkA//uxuB//purN//napA//mraY//ynfF//tyrA//hcaE//
NemR	cadA//purN//
NhaR	paaY//appA//nanK//napH//gapA//
NikR	dgcZ//
NimR	yedX//
NorR	gcvT//
NrdR	argH//mhpA//paaG//trpE//
NsrR	wzc//lldD//cynS//napG//astB//trpD//
NtrC	fumB//murG//glcF//recD//galM//deoA//murC//mdh//
OmpR	torA//fadJ//ruvB//gcvH//astB//mraY//puuE//pgaD//
OxyR	lldD//bioC//purM//nrdA//pgaC//nirD//sbcC//astA//phnO//fabA//astE//carB//glcF//
PaaX	grxA//astA//ssuE//nrfA//phnI//carA//fbaA//dkgA//entE//
PdeL	eno//
PdhR	pykF//argB//ulaF//rhaA//phnH//aceF//cyoE//phnP//malY//fau//rutD//rbsD//gcvP//relA//napG//ydcS//nrdD//fabI//dgcZ//patD//ppsA//pck//
PepA	hycG//lpxC//
PgrR	add//appA//
PhoB	gcl//patD//pflB//narG//narI//rnpB//rbsK//entB//hyaB//lldD//deoD//moaA//rbsD//hycE//fadE//
PhoP	araB//sbcD//nrfA//
PspF	cyoE//
PurR	fabA//purN//glcB//rutB//pgaD//ftsI//napB//araD//torC//entC//alaC//purA//
PutA	glcF//rnpB//
PuuR	caiB//ndh//purH//puuD//trpE//caiB//
QseB	
RbsR	ttdA//ruvA//lacZ//glpC//galT//glpK//
RcdA	pgaC//
RclR	
RcnR	purA//
RcsAB	aroL//acnA//
RcsB	lpd//citC//
RcsB-BglJ	alkB//nrfC//
RelB	zwf//
RelB-RelE	pdeR//
RhaR	
RhaS	rhaD//purM//truB//poxB//
Rob	astC//edd//yqhD//purC//
