# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	alkA//glpX//
Ada	nrfD//astE//sbcC//bioF//
AdiY	glpB//glpB//fabI//rbsK//
AgaR	allB//
AidB	rbsD//
AlaS	mtlD//
AllR	ccp//dmsB//zwf//truB//glcF//trpA//
AraC	pdeR//sufS//nrdB//ilvC//metE//ychF//
ArgP	yqhD//ynfG//nagA//uxuB//frdC//paaZ//torA//gloA//luxS//
ArgR	malY//treC//patD//adiA//umuC//ychF//murF//hypF//mpaA//mhpD//fabG//napH//citG//ccp//ldtC//bioF//rhaA//metE//aroL//hyaB//pykF//citD//mhpC//
ArsR	tyrB//mtlD//
AscG	ndh//moaA//
AtoC	entF//malQ//dmsC//
BaeR	fadE//caiC//
BasR	iscS//puuC//entE//
BirA	umuD//ahpC//gadA//glnA//moaC//
BluR	
BtsR	carA//
CadC	tdcD//treC//paaC//
CaiF	ndh//aspA//cysK//nrdF//paaC//
Cbl	glcE//hemH//ftnA//tdcG//dapD//
CecR	rnpB//
ChbR	nrdF//fadJ//aceA//
ComR	
CpxR	ndh//mhpD//bioC//umpH//bioC//phnN//malP//bioD//eno//citC//wzb//narH//nrfA//hmp//zwf//
Cra	entD//grxA//mhpA//fumC//napB//ppsA//phnG//pgaB//nrdA//garK//argI//fabA//dapD//yqjH//fadD//putA//alaC//rnpB//nirD//tdcG//ulaD//oxc//hcaD//deoC//glcB//accA//
CreB	
CsgD	hyaC//mngB//dapD//moaA//
CspA	
CueR	gadA//hyi//
CusR	sbcD//glpX//
CynR	dgcC//xylB//fabH//
CysB	phnO//pyrC//lldD//accC//ynfE//garL//aspA//torC//trpC//
CytR	gltB//pspE//gpmA//paaJ//napH//accA//aceB//glpX//glmU//
DcuR	frc//ada//dgcC//mhpF//
DeoR	glpC//mhpE//rhaB//add//
DicA	
DinJ-YafQ	aceF//
DnaA	feaB//atoA//appA//xylA//entA//ynfG//
DpiA	wzc//nanA//malQ//allA//melA//
EnvR	glnA//hcaC//
EvgA	phnH//araB//napG//patD//relA//
ExuR	
FabR	dmsC//paaE//gcvH//
FadR	gltB//pdeL//nrdB//narH//metF//fbaA//frdA//alaC//dapD//xylA//paaG//frdA//wzb//moaA//ynfE//
FeaR	ddlB//zwf//
FhlA	moaC//entH//galE//hycF//kbaZ//torC//dapD//
FlhDC	citC//fdhF//
FliZ	trpB//cyoE//icd//phnL//ychF//
Fur	mazG//fabH//gcl//edd//mhpB//pfkA//folA//lsrG//ssuE//phoA//ttdB//gcl//lsrK//recB//nadB//hycC//puuE//paaF//fabD//torC//ycjG//lacA//cynS//paaJ//frdD//ygeA//carA//rutD//paaE//add//frdD//
GadE	accD//citX//ulaD//
GadE-RcsB	aroF//frdB//dgcZ//hyaC//zwf//
