# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	xylB//mhpE//
Ada	srkA//tauD//murF//sbcC//
AdiY	ndh//accC//umuD//rnpB//
AgaR	entF//
AidB	dmsC//
AlaS	paaG//
AllR	carB//astC//chbF//truB//rutC//trpC//
AraC	glnA//aceF//rimK//citF//nadB//glpX//
ArgP	astA//mazG//rsmH//patD//puuA//nrdB//sufS//ssuD//wzb//
ArgR	uxuA//nrdF//murF//paaB//fau//aceE//hyaA//ubiX//hcaC//fabB//ynfH//murD//wzb//gloA//garK//aldA//araA//paaA//metF//mhpA//cynS//rbsK//trpA//
ArsR	ugpQ//cysG//
AscG	grxA//pck//
AtoC	dapD//nfsA//pnp//
BaeR	glxR//aceA//
BasR	mhpF//bioF//pfkA//
BirA	lysC//argH//moaC//purC//nanK//
BluR	
BtsR	srkA//
CadC	rutA//sbcD//katG//
CaiF	rhaB//atoA//uvrB//katG//argI//
Cbl	aceE//guaA//aldA//nrdA//mhpA//
CecR	ssuE//
ChbR	trpA//citC//phnI//
ComR	
CpxR	sbcC//phnM//moaD//pnp//ccp//ycjG//hyi//mraY//narG//argF//nrdD//nrdD//bioD//fabB//aceF//
Cra	trpE//hypF//gcl//fabD//citF//mhpC//lsrF//argB//tyrB//ahpF//glyA//ycjG//murG//argC//rnpB//murD//trpE//argG//tnaA//guaB//lysC//melA//edd//pgaB//glmU//tynA//
CreB	
CsgD	argF//lsrG//astD//yqjH//
CspA	
CueR	mhpF//pyrC//
CusR	yqjH//nrdD//
CynR	glpD//ftnA//ydcS//
CysB	katG//atoD//lsrF//tdcE//ychF//recF//accD//paaH//moaA//
CytR	trpE//gltB//allB//ulaF//hycE//gadA//wzc//aceE//phnG//
DcuR	lsrK//alaC//trpB//cadA//
DeoR	purC//umuC//gloA//nfsA//
DicA	
DinJ-YafQ	paaI//
DnaA	katG//bioF//hyaC//ndh//nagA//napB//
DpiA	nanM//sbcD//astA//narG//ycjG//
EnvR	hemL//citD//
EvgA	puuA//ynfE//rnpB//hcaC//nrdA//
ExuR	
FabR	yedX//aroG//aldA//
FadR	argG//glpB//citD//caiB//alaS//hcaB//metF//galM//codA//aceA//lsrF//polA//paaC//paaB//carA//
FeaR	bioB//cyoE//
FhlA	ruvA//cdd//poxB//nrfD//torA//folA//xylA//
FlhDC	hyaA//ycjG//
FliZ	uxuB//aroH//cyoE//fabG//citD//
Fur	paaC//gdhA//hemH//bioA//paaZ//deoD//purC//hyaC//oxc//rhaD//nrfC//katG//chbF//cyoE//ynfG//ahpC//moaA//fadJ//cysG//rbsD//atoD//gcvP//ilvC//torA//mazG//citF//paaH//lsrG//eda//ogt//napH//
GadE	recD//bioC//entE//
GadE-RcsB	pflB//fabG//mazG//ydcS//dgcZ//
GadW	tam//garL//hemH//
GadX	chbF//hmp//ynfG//folE//truB//
GalR	srkA//ddlB//nrdB//lysC//rutA//
GalS	hyaB//gltD//treC//moaC//astE//
GcvA	entB//phnI//hycB//
GlcC	lacZ//bioA//sodA//
GlpR	mhpC//dmsC//ahpC//narH//paaB//argB//hycB//
GlrR	
GntR	bioC//aroL//folA//pfkA//wzb//
HU	tyrB//tdcB//ulaE//glcD//
HcaR	adiA//mhpB//
HdfR	
HigA	gntK//
HigB-HigA	purH//
HipAB	fdhF//murQ//
HipB	argC//nanE//galT//
HprR	ung//rutD//
HypT	hyi//tauD//
IclR	moaE//dapB//patD//
IlvY	nirD//
IscR	cadA//trpE//accD//lsrK//rbsK//caiA//fabH//
KdgR	hycE//
KdpE	citF//
LacI	puuB//allB//truB//
LeuO	galE//gntK//glpD//
LexA	mtlD//mhpB//argG//fabA//moaD//fes//fabA//torA//rutC//
LldR	paaG//grxA//
LrhA	
LsrR	malY//paaI//nrdF//paaG//alkB//
MalI	ynfH//rimK//
MalT	uvrB//murQ//rbsD//ttdA//
MarA	entA//narI//argC//guaA//fadD//glpA//ruvA//paaK//ogt//yqjH//relA//purM//
MarR	
MatA	torA//
MazE	glpQ//
MazE-MazF	hycB//
McbR	
MelR	kbaZ//rutD//
MetJ	fabG//ruvA//nrdF//mdh//ribA//
MetR	garK//gcl//kbaZ//
MhpR	hyaC//rhaA//nrfA//glpQ//gcvT//uxuA//
Mlc	entE//phnP//dgkA//
MlrA	citC//
MngR	fabA//ppsA//
MntR	zwf//
ModE	garK//truB//trpC//galK//paaA//entA//pfkA//pnp//gadB//nanM//appA//purC//garL//hypF//galE//
MprA	hyaB//
MqsA	pfkA//bglB//
MraZ	mraY//entH//aspA//entC//argC//napA//narG//paaH//paaY//purH//
MurR	luxS//ynfF//paaI//
Nac	ycjG//lsrG//cynS//udp//
NadR	lacA//
NagC	patD//dgcC//gloA//nagA//fau//metC//glmS//fabD//nrdB//argF//adiA//lpd//fabB//lpxC//
NanR	tyrA//dmsA//paaG//phnI//citF//fabI//
NarL	malQ//caiB//hcp//paaB//sbcC//nfsA//nirB//polB//waaY//dmsA//xylB//nadB//nfsA//paaE//glxR//caiA//hyaC//acnA//gadA//metA//fabI//cysG//atoB//tauD//
NarP	hyaA//tam//pfkA//fdhF//relA//glpA//metA//truB//trpA//
NemR	fabD//ycjG//
NhaR	sbcC//napG//fbaA//allB//hypF//
NikR	garR//
NimR	frdB//
NorR	rimK//
NrdR	iscS//phnG//rsmH//napG//
NsrR	rutC//wzc//rbsK//tauD//pspE//fadD//
NtrC	ulaF//puuE//nemA//citG//trpC//metC//trpA//arsC//
OmpR	folE//appA//ychF//purN//paaZ//xylA//kbaY//moaD//
OxyR	pdeR//pykF//aceA//dgcZ//pgaC//glnA//hyaB//fabA//grxA//dgcZ//nanE//dmsA//argH//
PaaX	ssuD//tauD//lsrK//sbcC//astC//deoD//mngB//yfdE//fabA//
PdeL	hcaB//
PdhR	moaA//argB//entC//pykF//paaG//paaF//glyA//ychF//adiA//caiA//aceA//hycC//lpxC//mhpF//glmU//gpmA//fes//gntK//torA//cadA//ndh//malQ//
PepA	pgaB//paaC//
PgrR	bglB//chbG//
PhoB	argH//allA//paaH//ychF//bioF//murD//dmsA//ldtC//purD//fabH//lpxC//citG//epd//argF//galK//
PhoP	aroL//cynT//srkA//
PspF	dapD//
PurR	mhpD//wzb//nrdF//bioD//ribA//entE//puuC//fabA//moaD//cysE//srkA//frdA//
PutA	glxK//fadJ//
PuuR	gltD//mhpF//argE//ygeA//citE//malQ//
QseB	
RbsR	moaA//pgaC//pck//folE//deoB//sbcC//
RcdA	carB//
RclR	
RcnR	mpaA//
RcsAB	carB//frdD//
RcsB	citF//guaA//
RcsB-BglJ	dmsA//astB//
RelB	argI//
RelB-RelE	hycG//
RhaR	
RhaS	dmsC//paaY//rutC//rhaD//
Rob	gloA//rsmH//purC//mdh//
RstA	fdhF//
RutR	nrdD//ynfF//ahpC//luxS//murI//alaS//sbcD//nanM//guaB//murC//
SdiA	
SgrR	rutB//pdeR//uxuA//
SlyA	fabG//nanE//lpxC//moaE//fadJ//oxc//hycB//ssuD//uxuA//
SoxR	ssuE//
SoxS	murG//lysC//lysA//rutD//aceB//glxK//moaE//torA//nrdF//allB//lacZ//bglB//xylB//bioF//nemA//mhpD//
StpA	bioD//
SutR	lsrK//murQ//
TdcA	glpK//eno//aroG//cynS//nrfC//
TdcR	entD//hycD//entA//glpA//purH//
TorR	garK//grxA//sodA//gcvH//
TreR	argD//ruvA//
TrpR	ndh//ndh//moaA//nagA//aroL//aroF//recF//metE//ynfE//
TtdR	napB//atoA//
TyrR	guaA//tynA//purA//hyaC//frdC//hycB//acnA//frdD//moaA//
UhpA	purM//
UlaR	garL//puuA//iscS//caiC//ychF//
UvrY	galE//hycC//
UxuR	carB//trpA//aceF//
XylR	ogt//pgk//napH//
YdeO	bioA//hcaD//ulaE//
YefM	phnJ//
YefM-YoeB	mhpF//
YhaJ	
YjjQ	
YpdB	
YqhC	paaA//fes//
YqjI	garR//
ZntR	wrbA//
ZraR	
Zur	entF//
