# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	astE//nanK//
Ada	pspE//fumC//ppsA//hycF//
AdiY	uxuA//entB//moaC//caiD//
AgaR	tdcG//
AidB	aroL//
AlaS	chbF//
AllR	chbF//mngB//nemA//araA//waaZ//ada//
AraC	cysM//argE//relA//entC//alkB//purM//
ArgP	frdD//gapA//aceE//glmU//waaY//gdhA//gcvT//moaD//yedX//
ArgR	glmU//fdhF//add//glpC//hemL//kbaY//chbG//cdd//araA//glmU//pgaD//deoD//deoB//hcaB//dkgA//malP//hycB//argB//bioB//hycC//ynfE//fadH//garR//
ArsR	pgaB//mraY//
AscG	tyrA//napB//
AtoC	ldtD//gdhA//tdcE//
BaeR	wzc//moaE//
BasR	fes//phnO//epd//
BirA	gltD//gltB//entA//eda//aceF//
BluR	
BtsR	hcaB//
CadC	mtlD//hyaA//lysC//
CaiF	folA//puuA//tyrA//alaS//galK//
Cbl	aceA//glpQ//nrdD//nemA//tdcG//
CecR	argI//
ChbR	rutE//mtlD//garR//
ComR	
CpxR	grxA//umpH//phnN//icd//aceE//murI//pgaD//allA//allA//caiD//accC//ftnA//ynfE//paaA//guaA//
Cra	ynfE//polA//cysG//narH//mazG//paaZ//phnM//fabG//nanM//poxB//fabA//argE//lsrG//xylA//oxc//glpQ//mhpB//cysK//ygeA//add//phnN//deoB//murF//ubiX//murI//aspA//
CreB	
CsgD	cysG//eno//entB//ldtC//
CspA	
CueR	glpB//hemH//
CusR	ada//lsrK//
CynR	aldA//phnI//deoC//
CysB	putA//bioB//ascB//nrfD//deoB//atoD//nrfC//aroF//entC//
CytR	hcaD//cynS//phnI//deoA//paaY//torA//frdB//pnp//epd//
DcuR	argG//codA//yqhD//murD//
DeoR	fadJ//hycG//metA//dgcZ//
DicA	
DinJ-YafQ	edd//
DnaA	waaY//icd//napA//aceA//bglB//fumC//
DpiA	tdcE//gpmA//ccp//gadA//wzb//
EnvR	deoD//phnN//
EvgA	nrdE//ppsA//pyrC//ldtC//cadA//
ExuR	
FabR	codA//ulaE//puuC//
FadR	hyaA//hcaB//gdhA//waaY//trpB//fau//gcl//umpH//moaE//gadB//glpK//argA//cysK//glpC//sbcD//
FeaR	ada//pflB//
FhlA	rutA//patD//ygeA//wzc//trpA//nagB//mhpD//
FlhDC	ccp//hycE//
FliZ	citD//ahpC//folA//fabG//lpxC//
Fur	argH//hyaA//puuA//accD//lysA//ychF//pgaD//aroG//nirB//napG//atoD//ttdB//pgk//caiD//dmsA//astC//acnA//trpE//metA//chbG//ulaG//hemL//hyaB//hyaC//purC//accC//mpaA//entH//dgcC//bioF//nrdD//
GadE	ccp//fabH//pyrC//
GadE-RcsB	polA//mngB//purC//napB//oxc//
GadW	malQ//pdeL//nirD//
GadX	gdhA//murE//ychF//alkA//cueO//
GalR	rutB//ttdB//acnA//paaY//pgaC//
GalS	eno//nirD//murE//feaB//dgcC//
GcvA	puuE//purB//ahpF//
GlcC	hcaB//citD//polA//
GlpR	purH//citE//ycjG//aceA//umuC//napH//deoC//
GlrR	
GntR	alkA//bglB//paaG//rutB//folA//
HU	oxc//sodA//entC//patD//
HcaR	citF//ldtD//
HdfR	
HigA	paaH//
HigB-HigA	tauD//
HipAB	fes//oxc//
HipB	ssuD//astA//deoA//
HprR	ulaE//ygeA//
HypT	moaE//fadH//
IclR	relA//ulaF//poxB//
IlvY	cysK//
IscR	hycF//trpE//entA//astA//purM//ccp//ada//
KdgR	lldD//
KdpE	pnp//
LacI	icd//cueO//fabG//
