# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	tyrB//purF//
Ada	mtlD//deoD//chbG//citG//
AdiY	purC//uvrB//glpX//carB//
AgaR	hycE//
AidB	recD//
AlaS	rhaD//
AllR	garR//gadA//argB//dgcZ//nfsA//mdh//
AraC	nrdD//trpC//aceF//lldD//hcaC//rutB//
ArgP	phnJ//lysA//nanA//phoA//glpC//hcp//trpA//ilvC//mhpE//
ArgR	ppsA//eno//fumC//slt//frdB//fumC//deoB//nirB//bioD//mraY//rutA//adiA//entE//rutA//folE//fabA//accD//hemL//paaZ//metF//glcF//gdhA//mtlD//
ArsR	purD//yqhD//
AscG	alaS//accC//
AtoC	astA//metA//cynT//
BaeR	ung//gcvT//
BasR	tyrA//nrfD//galT//
BirA	fbaA//nrfD//paaK//argI//sbcC//
BluR	
BtsR	hyi//
CadC	glcE//rutA//aceF//
CaiF	paaB//ttdB//ulaE//puuB//rimK//
Cbl	ahpC//ychF//hcaE//aceF//tynA//
CecR	hcaF//
ChbR	ygeA//purH//polA//
ComR	
CpxR	umuD//hemL//aroG//gloA//nrdD//argC//poxB//paaC//lysA//cynT//eno//ttdB//adiA//luxS//gcvT//
Cra	glcF//putA//deoC//accA//ssuD//argF//folE//ssuE//pgaC//polA//murG//aceA//lacZ//ruvB//ruvB//aldA//paaB//pgaC//alkA//metF//lldD//bioB//lsrK//ftnA//rhaD//fabA//
CreB	
CsgD	argB//alkB//uxuB//ulaF//
CspA	
CueR	lacZ//murE//
CusR	chbF//garL//
CynR	waaY//ribA//rhaD//
CysB	ftsI//fumB//bioC//glpB//ahpF//nanE//deoA//luxS//lsrK//
CytR	rhaB//aroF//ynfH//paaZ//torC//malQ//astB//ilvC//trpB//
DcuR	rnpB//dmsB//yedX//paaA//
DeoR	puuD//metC//umpH//ada//
DicA	
DinJ-YafQ	deoC//
DnaA	nrdB//paaA//citG//glpQ//pnp//cyoE//
DpiA	hcaB//wzc//gltD//aroF//truB//
EnvR	pgk//torC//
EvgA	gltB//dkgA//astC//glmU//glpB//
ExuR	
FabR	rutD//napG//aroL//
FadR	hmp//fadD//pgaD//puuA//tdcE//hycE//umuC//aroF//entA//metF//uvrB//hmp//srkA//grxA//ssuE//
FeaR	bioF//trpD//
FhlA	ftsI//recB//patD//entH//carB//atoD//aspA//
FlhDC	citE//nemA//
FliZ	argC//argC//deoB//hyaB//nrdE//
Fur	nemA//accD//galE//entF//pdeL//pgaB//metE//astE//frc//metE//cysK//ulaG//slt//galK//xylB//guaB//araD//glyA//hemH//araB//polA//aroL//recD//nanM//sufS//fabD//nrdB//cyoE//treC//trpA//cynT//
GadE	allA//pgk//trpA//
GadE-RcsB	entD//fabA//acnA//tdcG//astE//
GadW	nagA//paaZ//entB//
GadX	argC//araB//argG//purH//umpH//
GalR	truB//mpaA//nadB//nrdE//dgkA//
GalS	icd//srkA//patD//ssuD//glmU//
GcvA	eno//citC//mhpC//
GlcC	mpaA//luxS//nemA//
GlpR	tyrA//gpmA//ftsI//ruvA//narG//dkgA//rutB//
GlrR	
GntR	nrfD//nemA//deoB//paaH//caiC//
HU	puuA//rutE//astB//fabH//
HcaR	dmsB//puuC//
HdfR	
HigA	codA//
HigB-HigA	phnI//
HipAB	ahpF//citX//
HipB	guaA//wrbA//metF//
HprR	mtlD//pgaC//
HypT	tam//frc//
IclR	waaZ//pspE//aroF//
IlvY	frdD//
IscR	caiB//caiD//phnM//nanE//ruvA//appA//bglB//
KdgR	kbaZ//
KdpE	aceB//
LacI	aceE//atoD//frdD//
LeuO	hycC//alkA//ahpC//
LexA	paaZ//fadI//nrfA//rhaA//trpD//puuC//metC//frdB//cynT//
LldR	alaC//mhpE//
LrhA	
LsrR	araB//nagB//cadA//aceA//nfsB//
MalI	polA//gcvP//
MalT	allB//hyaB//puuA//pnp//
MarA	edd//fabG//galM//ynfH//mhpC//mhpC//hycB//dapD//paaC//ynfF//ygeA//pgaC//
MarR	
MatA	tyrB//
MazE	nrfD//
MazE-MazF	nrdD//
McbR	
MelR	araD//pgaD//
MetJ	alaS//galT//icd//citE//truB//
MetR	gadB//ugpQ//recD//
MhpR	rutB//citF//dmsA//glcE//kbaZ//citD//
Mlc	ogt//ogt//ynfH//
MlrA	ulaD//
MngR	pgaB//fadH//
MntR	rutD//
ModE	gpmA//ulaF//purF//argF//entE//purH//lsrG//rhaD//epd//moaC//napA//phnO//murF//ynfG//ynfG//
MprA	rsmH//
MqsA	xylA//ynfH//
MraZ	ydcS//atoB//ulaF//ftsI//astD//cueO//xylA//yedX//hyaC//deoA//
MurR	tdcB//pdeR//paaB//
Nac	ftnA//recB//aroH//feaB//
NadR	uvrB//
NagC	feaB//phnG//astD//gltB//nanK//fdhF//lpxC//bioB//garR//ribA//allB//tyrB//dkgA//yfdE//
NanR	purF//chbG//nemA//glpQ//tdcE//moaD//
NarL	paaF//purC//napB//nadB//gadA//ulaF//ndh//hemH//atoA//edd//citD//fes//nfsA//aldA//astB//dgcZ//galT//pck//cynS//hemH//citC//waaZ//fadI//pdeL//
NarP	ynfG//nrdE//gadB//phoA//entA//entE//hcaD//nrfC//entC//
NemR	mraY//luxS//
NhaR	yedX//trpB//dgcC//wrbA//fadE//
NikR	puuD//
NimR	paaY//
NorR	rhaB//
NrdR	dgcC//galE//malP//guaB//
NsrR	ynfH//deoC//murG//glpK//torC//hycG//
NtrC	gadA//aroL//hypB//nrdB//hypF//argA//gcl//paaE//
OmpR	relA//pgaD//malP//argF//frdD//waaZ//frdA//cadA//
OxyR	napG//glcD//ldtC//melA//cynT//xylB//ttdB//fumC//mngB//entF//tnaA//garK//pdeL//
PaaX	ulaD//rhaB//paaC//rnpB//sbcC//mhpE//puuD//dgcC//adiA//
PdeL	glcB//
PdhR	ahpF//gpmA//nirD//aspA//ascB//tdcG//dmsB//nrdF//mazG//aceA//xylA//frdC//gdhA//patD//hcp//argF//phnH//hcaE//narG//tyrB//caiD//phnL//
PepA	tdcD//frdB//
PgrR	frdD//udp//
PhoB	citX//paaI//paaJ//truB//ndh//rutC//dapB//metA//bglB//pgk//astC//fbaA//moaA//narH//putA//
PhoP	cyoE//murC//edd//
PspF	bioF//
PurR	pgk//ccp//polA//glpD//ynfG//nirD//ygeA//dapD//malP//glpA//hcaE//murF//
PutA	umpH//yqhD//
PuuR	hycE//lacA//aceA//phnP//bioD//fbaA//
QseB	
RbsR	adiA//gcvH//glpA//argG//wzc//lsrG//
RcdA	puuC//
RclR	
RcnR	deoB//
RcsAB	malP//deoC//
RcsB	nrfD//aroG//
RcsB-BglJ	rbsD//lsrF//
RelB	mhpF//
RelB-RelE	fabI//
RhaR	
RhaS	ogt//nrdE//caiC//hcaE//
Rob	fes//zwf//nrfD//nfsB//
RstA	murF//
RutR	paaC//hycF//phnO//ulaG//astB//allA//adhE//glmU//fabB//malP//
SdiA	
SgrR	gcvH//luxS//fabG//
SlyA	puuC//adhE//fadJ//rutB//napG//mhpF//lysC//fau//bglB//
SoxR	puuC//
SoxS	lldD//garR//phoA//galE//ttdB//cysG//melA//gcvT//garL//purA//folA//pdeR//ftnA//ulaF//deoB//slt//
StpA	pdeL//
SutR	phnG//alaS//
TdcA	narI//puuE//ogt//hycG//gltB//
TdcR	glpD//bioA//ynfF//entC//fabI//
TorR	puuD//allA//oxc//lacZ//
TreR	guaB//nrdB//
TrpR	fbaA//fabA//murI//hemL//mhpE//fabA//atoD//galK//lacZ//
TtdR	deoD//gadA//
TyrR	slt//dapD//uvrB//caiB//lacA//entH//paaY//cadA//guaA//
UhpA	polB//
UlaR	argC//glxK//pflB//astA//murG//
UvrY	torC//ttdB//
UxuR	hcp//araB//umuD//
XylR	trpA//mngB//ychF//
YdeO	mhpD//mdh//wzc//
YefM	cueO//
YefM-YoeB	ycjG//
YhaJ	
YjjQ	
YpdB	
YqhC	arsC//mazG//
YqjI	mhpA//
ZntR	rimK//
ZraR	
Zur	mpaA//
