# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ahpF//fabH//
Ada	argE//caiC//phnM//citF//
AdiY	eno//argE//umpH//glpD//
AgaR	gapA//
AidB	torA//
AlaS	ftsI//
AllR	glcB//ulaD//nemA//argA//metA//recD//
AraC	pck//oxc//treC//rnpB//napG//ynfE//
ArgP	hmp//rnpB//fadH//lsrK//atoD//folA//torA//recD//puuD//
ArgR	galT//lsrK//hcaF//nrdD//paaF//paaG//ynfH//ynfE//murD//ubiX//rhaB//ubiX//paaZ//paaK//umuD//mhpE//ydcS//ada//lsrF//malY//murG//umuD//nrfD//
ArsR	fumC//chbG//
AscG	truB//bioD//
AtoC	nanE//entB//polB//
BaeR	nrdF//hcaE//
BasR	pgk//citF//glpA//
BirA	rutA//cysE//glmS//tyrA//ugpQ//
BluR	
BtsR	argI//
CadC	sufS//edd//guaB//
CaiF	lysA//folA//ftsI//ftsI//mhpB//
Cbl	luxS//paaK//phnJ//garK//murE//
CecR	purB//
ChbR	glcB//argA//ynfE//
ComR	
CpxR	entF//ahpC//fabB//fabG//allA//ada//entC//murG//nanA//codA//frdB//accC//aroH//hemH//phnJ//
Cra	hyaC//hyaA//fabA//puuC//puuB//carA//putA//pspE//fadI//alaS//fadJ//gcvP//pgaD//folE//frdC//ugpQ//argA//glyA//mhpB//paaK//fbaA//murG//ynfG//ldtD//aroL//deoD//
CreB	
CsgD	poxB//metE//ygeA//ahpF//
CspA	
CueR	rutA//garL//
CusR	metA//fabH//
CynR	dgcZ//ruvA//nrfC//
CysB	ynfG//aspA//entA//caiC//ada//kbaY//frdB//metC//deoD//
CytR	yqhD//lsrG//entB//uxuA//deoA//rbsD//dapB//murE//hcaB//
DcuR	ulaE//hypB//glmS//argF//
DeoR	citG//gdhA//murD//rhaA//
DicA	
DinJ-YafQ	hycG//
DnaA	murQ//poxB//argI//nrdE//hypB//ulaD//
DpiA	melA//truB//garR//nrfA//galE//
EnvR	nrdF//araA//
EvgA	aldA//deoB//bioD//garL//paaI//
ExuR	
FabR	purF//gloA//ahpF//
FadR	gcl//torA//nrfA//gdhA//entD//malP//phnL//murE//cysM//purB//ppsA//mhpF//murQ//araA//kbaZ//
FeaR	aroH//mhpD//
FhlA	tdcG//hcaD//fadD//carB//ssuD//ruvA//arsC//
FlhDC	nirB//chbF//
FliZ	ssuD//yfdE//waaY//argA//pgaD//
Fur	pykF//dmsB//bioA//gcvP//tauD//ubiX//mhpB//mhpA//yqhD//argB//astE//fabH//phnH//caiD//cysM//cadA//aroH//treC//recD//nrdF//paaH//phnP//umuD//katG//truB//argA//murD//luxS//codA//wzb//murF//
GadE	wzb//aroH//paaK//
GadE-RcsB	fumC//polB//dapB//lpxC//pnp//
GadW	fabH//glpB//glyA//
GadX	glpA//frdC//araA//garL//relA//
GalR	cysE//purA//fdhF//patD//recD//
GalS	purB//purD//hycF//nrdA//aceA//
GcvA	fes//frdC//phnM//
GlcC	fdhF//aroF//lsrG//
GlpR	nagB//allA//fau//polB//acnA//lpd//wzc//
GlrR	
GntR	mhpB//glcF//hyaC//gcvP//frc//
HU	metA//pgaC//recD//argC//
HcaR	icd//chbG//
HdfR	
HigA	caiD//
HigB-HigA	ppiA//
HipAB	rsmH//glyA//
HipB	mhpD//icd//bioC//
HprR	hcaF//folA//
HypT	narH//hcaF//
IclR	tynA//patD//argD//
IlvY	fabA//
IscR	garK//yqjH//malQ//mraY//cynS//codA//lpxC//
KdgR	phoA//
KdpE	murQ//
LacI	pflB//ddlB//ynfF//
LeuO	glcF//pykF//uvrB//
LexA	nrdF//ftsI//tdcE//glyA//iscS//fabG//bioB//mhpF//murD//
LldR	cysK//ddlB//
LrhA	
LsrR	metA//rhaA//truB//lldD//paaH//
MalI	nagB//accD//
MalT	dgcC//feaB//aroF//glpX//
MarA	recB//argB//astD//tdcE//paaY//fumC//hyaB//guaB//gdhA//argA//pflB//allB//
MarR	
MatA	gcvP//
MazE	umuD//
MazE-MazF	rnpB//
McbR	
MelR	ulaD//ldtD//
MetJ	glnA//cynS//relA//gadA//tnaA//
MetR	cynT//purN//hemH//
MhpR	frdA//aceA//alkA//aroL//ndh//aroL//
Mlc	glyA//napA//ssuE//
MlrA	galM//
MngR	rnpB//alaC//
MntR	nrdB//
ModE	yqhD//astB//napG//deoA//ftnA//pgaC//narI//trpE//pyrC//tyrA//paaI//folA//yqjH//gdhA//malQ//
MprA	arsC//
MqsA	nrfC//nanK//
MraZ	garK//gpmA//ppsA//kbaY//glmS//folE//entA//chbG//nrdB//astD//
MurR	hypF//narI//folE//
Nac	ulaG//cadA//citC//recB//
NadR	citF//
NagC	galK//cysK//narI//hyaC//entA//ydcS//mdh//aceA//puuC//caiB//phoA//citE//wrbA//mhpF//
NanR	ynfE//argC//guaB//paaH//chbG//argH//
NarL	sufS//xylA//glpB//deoB//fadD//gapA//nfsB//lldD//rutB//galK//paaH//hcaE//astE//carA//gadB//hyaA//metC//pdeR//frc//rimK//moaC//purD//moaA//citG//
NarP	phnG//tdcG//accA//bglB//paaG//kbaY//phnG//bglB//nfsA//
NemR	gadB//ftnA//
NhaR	narH//nagA//edd//galE//aceB//
NikR	atoD//
NimR	glmS//
NorR	mhpF//
NrdR	eno//tdcB//phnN//hycG//
NsrR	pdeL//tdcG//cysK//glxK//hyaB//bioC//
NtrC	eda//aspA//lacZ//paaJ//nrdD//entH//adhE//bioB//
OmpR	rimK//astE//garL//sodA//gcl//adiA//lysC//nagB//
OxyR	polA//hcaE//nemA//galK//rhaD//entF//alaS//malQ//tyrA//gltD//dmsB//fadE//tdcG//
PaaX	argC//truB//tdcE//hycB//rutE//nrdE//tdcG//hypB//cueO//
PdeL	hcaE//
PdhR	argC//aceB//araD//ndh//dmsC//glnA//gadA//sodA//xylA//napB//metC//pck//citF//mngB//gltB//rimK//napA//melA//mngB//pyrC//sbcC//fadD//
PepA	ung//glcD//
PgrR	entB//metA//
PhoB	alaC//nfsA//aceB//murI//puuD//hyaA//atoB//fabB//argD//ftsI//aspA//aroH//fumB//frdC//aroL//
PhoP	narH//narG//frdC//
PspF	gcvT//
PurR	udp//sbcC//malP//appA//phnN//alkA//trpB//mhpD//gcl//paaE//lacA//sbcD//
PutA	ynfG//pdeR//
PuuR	iscS//ulaF//paaY//ahpC//truB//citC//
QseB	
RbsR	ubiX//sufS//rsmH//purH//deoB//paaI//
RcdA	gntK//
RclR	
RcnR	paaI//
RcsAB	rutA//rsmH//
RcsB	arsC//argH//
RcsB-BglJ	citE//polB//
RelB	aroL//
RelB-RelE	murD//
RhaR	
RhaS	argA//paaK//galE//ppiA//
Rob	metA//citC//glcD//waaY//
RstA	ycjG//
RutR	argG//rutD//recF//uxuA//eda//ldtD//paaB//paaC//ulaD//mngB//
SdiA	
SgrR	cdd//deoD//dapD//
SlyA	yqhD//guaB//ung//puuA//pgk//fabA//glpK//citX//lldD//
SoxR	ttdA//
SoxS	garR//glmS//fbaA//lysA//trpE//nanM//paaH//fbaA//fadH//carA//metC//atoD//malY//accC//argE//citE//
StpA	sbcD//
SutR	entH//edd//
TdcA	ugpQ//umpH//murG//moaE//xylA//
TdcR	entA//aldA//melA//lsrG//acnA//
TorR	rutB//polA//deoD//glxK//
TreR	lpd//ahpC//
TrpR	ttdA//accA//fadH//glpB//hycB//pflB//fabG//citG//ftsI//
TtdR	trpC//astB//
TyrR	nadB//rnpB//aroF//hycB//gpmA//deoB//slt//caiD//melA//
UhpA	tauD//
UlaR	pspE//accA//paaA//metF//gntK//
UvrY	sodA//ruvB//
UxuR	argI//frc//paaJ//
XylR	murD//fadH//entB//
YdeO	hyaA//phnM//rnpB//
YefM	argC//
YefM-YoeB	torA//
YhaJ	
YjjQ	
YpdB	
YqhC	ribA//bioD//
YqjI	fabD//
ZntR	lsrF//
ZraR	
Zur	caiA//
