# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	argG//purC//
Ada	cysM//mhpD//aceB//lacA//
AdiY	metC//gltB//truB//purF//
AgaR	puuE//
AidB	mhpB//
AlaS	argI//
AllR	wrbA//gloA//pyrC//tyrB//glpA//rutB//
AraC	dapD//gltD//napG//paaG//hcaB//gloA//
ArgP	trpC//glpX//lysA//kbaZ//argC//hcaF//bioC//alaS//fabD//
ArgR	glmU//narH//ppsA//ascB//citE//gltD//pgk//tdcE//nrdD//gadA//hypF//moaE//nfsB//pyrC//aroF//purH//paaE//allA//dmsB//nrfC//ygeA//aceB//rhaA//
ArsR	argC//fabG//
AscG	torC//adhE//
AtoC	paaF//fadJ//yfdE//
BaeR	metC//eda//
BasR	yfdE//waaZ//mhpD//
BirA	hcaC//glpC//fabI//hycE//mtlD//
BluR	
BtsR	phnH//
CadC	ahpF//dmsB//rhaD//
CaiF	hemL//gpmA//glmS//entE//murC//
Cbl	nemA//alkB//nanA//ulaD//glpX//
CecR	tnaA//
ChbR	puuE//hyaB//paaH//
ComR	
CpxR	ruvA//glpB//cynT//bglB//nanM//hyaA//citG//oxc//putA//paaH//alaS//fabG//sbcC//srkA//kbaY//
Cra	fdhF//paaF//ttdB//glcE//murD//metC//ndh//aceF//puuE//adiA//deoD//argD//gltB//pgaD//folA//galT//napA//citF//murI//moaE//hcaE//glcF//recB//allA//yfdE//recD//
CreB	
CsgD	katG//paaF//glcF//aceF//
CspA	
CueR	fabA//lsrK//
CusR	melA//purA//
CynR	nrdF//phnH//lacA//
CysB	gcvP//rutE//entH//napB//acnA//purB//katG//bioA//mhpC//
CytR	aceE//uxuA//trpE//eno//pgaB//glcD//iscS//entD//argF//
DcuR	purC//mhpC//hcaB//treC//
DeoR	citD//ydcS//uxuB//napH//
DicA	
DinJ-YafQ	yqhD//
DnaA	metE//astA//tyrB//murF//gadA//ulaG//
DpiA	dmsA//zwf//paaB//carB//cysM//
EnvR	tam//trpE//
EvgA	fadE//ddlB//nadB//lsrG//nagA//
ExuR	
FabR	entE//kbaZ//garR//
FadR	fadE//galK//dmsB//galE//frc//narG//nrdF//astE//nrdB//argH//fadI//fbaA//ulaF//nanK//lsrK//
FeaR	fadD//citD//
FhlA	malY//hcaB//phnH//rutA//glnA//bioC//mhpB//
FlhDC	uvrB//tdcB//
FliZ	ahpC//carB//recB//astB//argD//
Fur	tyrA//pgk//nirB//aceE//nagA//mhpE//hycB//pgk//ddlB//aspA//cynS//kbaZ//nrdA//hyaA//fadE//tauD//astB//atoA//caiD//malP//argI//mhpA//ygeA//lsrF//ogt//ahpF//pflB//gcvH//aroG//gapA//aceA//
GadE	glcD//cynS//cynT//
GadE-RcsB	gltB//ccp//citG//citC//hycC//
GadW	nemA//mhpE//astA//
GadX	bioD//bglB//fadD//edd//rhaD//
GalR	mhpD//gloA//pyrC//melA//garR//
GalS	entF//aceE//aroL//trpD//malQ//
GcvA	hcaF//rutB//bioC//
GlcC	metF//entA//gadB//
GlpR	lpd//ahpC//paaB//ulaF//fadE//hypF//hyaB//
