# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	entC//glpK//
Ada	ugpQ//puuE//rsmH//ttdA//
AdiY	argD//gcvT//adhE//nrfA//
AgaR	bioA//
AidB	purH//
AlaS	rbsK//
AllR	aroH//ftsI//paaJ//pyrC//purM//aceA//
AraC	fadI//nrdE//lysC//entB//fes//pflB//
ArgP	murQ//poxB//fes//zwf//ahpC//waaZ//dmsC//uxuA//gcvP//
ArgR	mhpE//trpC//paaF//phnO//bioC//codA//gloA//paaE//rsmH//ccp//relA//katG//glpA//lysA//mhpF//glcF//eno//dgkA//ahpF//chbG//argA//fumC//paaC//
ArsR	malY//rutC//
AscG	trpA//deoD//
AtoC	metA//pyrC//phnJ//
BaeR	cueO//melA//
BasR	ynfH//pgaD//nrdB//
BirA	carA//paaH//caiB//ydcS//glpX//
BluR	
BtsR	fumC//
CadC	hycF//aspA//mhpF//
CaiF	aceA//hmp//fadD//rutD//paaJ//
Cbl	deoD//ada//adhE//uxuA//alaC//
CecR	napG//
ChbR	bioB//moaA//ulaE//
ComR	
CpxR	trpB//fumC//relA//purH//argA//hcaB//dmsB//ssuD//yfdE//glcF//atoB//hycE//glcB//nrdB//sbcC//
Cra	metC//ssuE//feaB//rbsD//bioB//eda//ynfF//rutA//uxuA//glpX//araA//hycD//fadJ//glxR//nrdE//luxS//narI//pdeR//wzb//glcB//tynA//paaE//paaZ//dmsC//hcaF//puuE//
CreB	
CsgD	pspE//nirD//phnO//galK//
CspA	
CueR	narH//phnJ//
CusR	purB//ulaE//
CynR	murQ//glyA//purD//
CysB	phnL//glxK//hcaF//frdB//rutA//putA//tauD//fadE//puuD//
CytR	purN//cdd//pdeL//hyi//allA//ssuE//ttdB//recB//moaD//
DcuR	yedX//mhpA//paaG//glcF//
DeoR	lysC//rimK//phnJ//phnN//
DicA	
DinJ-YafQ	fabA//
DnaA	argB//codA//nanK//phnH//hemL//rutA//
DpiA	murE//cysM//metE//ulaG//ftnA//
EnvR	garL//rimK//
EvgA	nrdD//ccp//hcaD//caiD//gadB//
ExuR	
FabR	murE//frdD//cysK//
FadR	hmp//fau//purD//lysC//aroF//gcl//ydcS//nfsA//zwf//aspA//puuC//nrfA//folE//adiA//mpaA//
FeaR	kbaY//mhpE//
FhlA	adhE//deoB//glpK//phnM//argB//paaZ//purD//
FlhDC	frc//ulaE//
FliZ	pfkA//murE//fes//hcaF//sodA//
Fur	paaI//aceB//nfsA//tauD//dmsA//hcaF//adhE//deoB//entE//fumB//phnP//waaZ//gapA//nirB//murF//chbF//guaB//gcl//phnO//srkA//paaE//galT//citF//aspA//tdcD//tam//carA//adiA//murG//ulaE//gcvP//
GadE	tdcG//ilvC//mhpA//
GadE-RcsB	malP//nrfA//ruvA//caiC//moaA//
GadW	rimK//nagB//argG//
GadX	dgkA//metE//argI//tynA//chbF//
GalR	pck//appA//fumB//lsrK//purD//
GalS	nirD//tauD//nirB//ulaF//pfkA//
GcvA	gltD//ada//ycjG//
GlcC	xylA//pspE//paaE//
GlpR	lysA//ilvC//srkA//rsmH//caiD//deoC//argB//
GlrR	
GntR	galT//feaB//ygeA//murC//polA//
HU	nagA//fabG//tyrB//yedX//
HcaR	caiC//pspE//
HdfR	
HigA	lacA//
HigB-HigA	ygeA//
HipAB	glnA//phnN//
HipB	fdhF//cysM//frdA//
HprR	rutC//paaG//
HypT	tam//aldA//
IclR	hemL//purM//patD//
IlvY	nanM//
IscR	nrdF//ydcS//paaG//bioA//ftnA//murE//phnH//
KdgR	argI//
KdpE	ycjG//
LacI	phoA//paaF//napA//
LeuO	murG//caiB//lldD//
LexA	melA//ddlB//dmsC//ydcS//napA//torA//entH//feaB//hyi//
LldR	nrdE//metC//
LrhA	
LsrR	entH//paaK//dmsA//lsrG//udp//
MalI	purH//mhpD//
MalT	uvrB//gltD//pfkA//araD//
MarA	fbaA//glpA//hycD//hcaF//nfsB//fumC//lpd//argH//edd//cdd//bioA//hcaF//
MarR	
MatA	garR//
MazE	ilvC//
MazE-MazF	edd//
McbR	
MelR	nrfC//puuB//
MetJ	glpA//wrbA//garK//cysM//nrdB//
MetR	atoD//uvrB//hycG//
MhpR	katG//trpA//dgcZ//alaS//torC//wzb//
Mlc	frc//cueO//trpA//
MlrA	nrdA//
MngR	ssuE//glpX//
MntR	napB//
ModE	paaZ//sbcC//argH//garR//garK//argI//dmsB//poxB//astB//glpB//dmsB//hyi//mtlD//melA//narI//
MprA	napH//
MqsA	allA//gpmA//
MraZ	aceF//dgcC//nagA//cynS//ttdA//melA//ahpF//yedX//frdC//rsmH//
MurR	argI//ulaF//murF//
Nac	trpC//argI//tnaA//fabI//
NadR	phnH//
NagC	grxA//glxR//ubiX//moaD//torC//iscS//ogt//paaK//astD//dgcZ//atoA//guaA//galE//eda//
NanR	galE//purF//rimK//aroL//mhpE//kbaY//
NarL	ulaE//trpD//hyaB//tauD//tnaA//paaF//lsrK//arsC//ulaF//patD//nrdF//metE//citG//garL//lsrG//gltB//lpxC//ascB//dgcZ//eno//chbF//torA//trpE//rnpB//
NarP	argA//fabG//rutE//allA//iscS//hmp//cyoE//waaZ//gltB//
NemR	puuC//nrdB//
NhaR	lysA//srkA//phnG//hcp//waaZ//
NikR	ycjG//
NimR	galM//
NorR	alaC//
NrdR	nrdA//aroL//poxB//dgkA//
NsrR	aceA//hyaC//purC//moaA//argI//paaF//
NtrC	phnI//nagA//citX//caiA//malQ//napH//chbG//fadH//
OmpR	malP//gdhA//dmsC//garL//hyaA//ulaF//uxuB//astD//
OxyR	glpQ//aspA//astB//metE//glcE//iscS//purM//uxuB//ada//umuD//rhaA//ilvC//murF//
PaaX	nfsA//recF//phnL//glpQ//rbsD//ada//fumB//rimK//mhpE//
PdeL	aroH//
PdhR	ulaF//malY//ssuD//tdcG//astE//pgaC//wrbA//dmsC//cyoE//gdhA//rutD//ssuD//poxB//puuD//murG//ynfE//aroL//lysC//grxA//trpC//guaB//phnP//
PepA	paaI//deoD//
PgrR	deoD//hypF//
