# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	cynS//gadB//
Ada	aldA//napH//ilvC//chbG//
AdiY	bioA//ilvC//cadA//nfsB//
AgaR	lsrK//
AidB	bioA//
AlaS	phnM//
AllR	gcvH//ahpC//narI//yqhD//tdcE//citF//
AraC	alkB//ubiX//galK//recD//astB//ilvC//
ArgP	fadH//pck//glmS//umpH//purH//icd//epd//uxuB//waaY//
ArgR	recB//cadA//feaB//nirD//ttdB//pck//pgaC//uxuA//wzb//ynfH//aroH//metA//pdeR//moaE//cyoE//paaJ//mtlD//fes//lsrG//paaH//tnaA//wzc//lsrG//
ArsR	pck//eda//
AscG	phoA//entH//
AtoC	rutE//trpD//relA//
BaeR	ruvA//waaZ//
BasR	murE//cyoE//tam//
BirA	murE//murC//astE//nirD//ygeA//
BluR	
BtsR	cysG//
CadC	nrdF//sufS//malP//
CaiF	trpE//phoA//garR//nanK//udp//
Cbl	folE//yfdE//cynS//hycF//pck//
CecR	xylB//
ChbR	recB//entH//folA//
ComR	
CpxR	malQ//fabA//sbcD//mhpD//chbG//dmsC//glpA//phnH//dgkA//citX//purD//lysA//hyi//aceF//wrbA//
Cra	malP//carB//fadI//dmsC//gcvH//malY//gltD//murQ//fadI//nrdB//carB//rhaB//purD//torA//pfkA//uxuB//fumC//dmsA//pgaC//entA//phnI//murC//hcaB//ribA//cynT//mraY//
CreB	
CsgD	srkA//guaB//nanA//murF//
CspA	
CueR	caiC//astA//
CusR	astA//purM//
CynR	pspE//dmsB//narH//
CysB	gloA//paaA//nadB//allA//ygeA//citX//frdC//mdh//murI//
CytR	murD//ruvA//purF//deoC//yfdE//pgk//fabH//ulaF//paaG//
DcuR	dmsA//nrdA//citX//lldD//
DeoR	purB//nrfD//hypF//srkA//
DicA	
DinJ-YafQ	uvrB//
DnaA	phnI//nemA//wzc//alkA//entH//ulaE//
DpiA	narH//dmsA//ruvA//metE//glpQ//
EnvR	poxB//trpB//
EvgA	guaA//oxc//ilvC//zwf//zwf//
ExuR	
FabR	cysG//ung//nanK//
FadR	hcaE//araB//melA//mhpA//fadI//ilvC//entF//moaC//araA//icd//trpE//phnL//nanA//acnA//hycC//
FeaR	hemH//torA//
FhlA	narH//mhpC//melA//ahpC//caiA//rutC//ahpC//
FlhDC	hcp//phnP//
FliZ	ulaD//gcvT//lysA//gcl//mraY//
Fur	cdd//xylA//fdhF//moaD//lpxC//atoA//glcD//ynfF//nanK//relA//garK//paaE//bioF//pfkA//rbsK//pgk//paaK//ubiX//mazG//purN//astD//polB//paaB//nadB//pykF//phnM//trpB//argA//atoA//purN//codA//
GadE	paaK//glpA//ssuE//
GadE-RcsB	glcD//acnA//astC//purM//lldD//
GadW	atoD//umuC//uxuB//
GadX	pgaD//murI//yedX//cynT//ynfE//
GalR	mraY//argF//araB//dgkA//poxB//
GalS	paaJ//hcaB//purB//torC//phnI//
GcvA	fumB//ygeA//lldD//
GlcC	grxA//cynS//accA//
GlpR	glmS//patD//gapA//gcl//purN//bioC//edd//
GlrR	
GntR	hyaA//atoD//paaA//puuB//gadB//
HU	ruvA//ftnA//fumC//glcD//
HcaR	aroH//yqjH//
HdfR	
HigA	gpmA//
HigB-HigA	rbsK//
HipAB	dmsA//cynS//
HipB	entD//phoA//rhaD//
HprR	puuB//entE//
