# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	rutC//nanM//
Ada	deoB//cynS//folE//gltD//
AdiY	allA//metC//cysM//pgaD//
AgaR	lsrG//
AidB	epd//
AlaS	ldtD//
AllR	ribA//fabI//truB//paaY//dgcC//ribA//
AraC	glxK//ftnA//chbG//cynS//pdeR//rutA//
ArgP	gadB//dgcZ//ugpQ//kbaY//napG//dmsC//cysG//purC//melA//
ArgR	treC//ychF//fabA//putA//gcvT//sufS//cysM//chbG//ppiA//glyA//ahpC//caiB//mhpB//tdcB//phnO//torA//caiB//lacZ//kbaZ//fabI//pgaB//ydcS//ycjG//
ArsR	aspA//carA//
AscG	narI//ycjG//
AtoC	melA//ppsA//lsrG//
BaeR	phnO//hmp//
BasR	rhaB//relA//paaA//
BirA	adiA//ugpQ//tam//metE//paaB//
BluR	
BtsR	trpE//
CadC	melA//wrbA//feaB//
CaiF	yedX//rutB//fabH//ftnA//frdB//
Cbl	caiB//galE//caiA//codA//deoC//
CecR	glcE//
ChbR	icd//entF//hypF//
ComR	
CpxR	rnpB//hcp//malY//metC//alaC//metC//ychF//rutC//pspE//phnH//dgkA//yfdE//lacA//ubiX//chbG//
Cra	gltB//fabI//uvrB//argB//ynfG//citF//ccp//hcaE//lysC//pgk//paaZ//ttdB//metF//cynS//aldA//folE//glmS//citD//gadA//citG//ttdA//murD//rhaD//galE//umpH//citC//
CreB	
CsgD	alaS//caiD//paaI//rhaB//
CspA	
CueR	yqhD//gltD//
CusR	gpmA//paaG//
CynR	gpmA//paaZ//hyaC//
CysB	astC//citF//rsmH//hycG//puuA//atoB//moaD//bioB//pdeL//
CytR	rimK//lldD//bioA//dapB//murQ//fabA//pspE//nrfC//caiB//
DcuR	argH//ssuE//fabG//accC//
DeoR	phnJ//rnpB//purC//nrdF//
DicA	
DinJ-YafQ	dmsC//
DnaA	caiA//nrdB//add//argE//mraY//pgaD//
DpiA	fabB//hycC//hmp//cysM//fabG//
EnvR	cadA//tdcB//
EvgA	paaJ//murG//paaE//metE//gadA//
ExuR	
FabR	ulaF//fabB//hcaD//
FadR	hcp//hycE//nrdA//narI//aldA//gdhA//carA//glpX//aceA//recF//gadA//ydcS//murI//puuC//aroG//
FeaR	hcaF//aroG//
FhlA	zwf//accC//astA//dmsA//fabB//pflB//nanE//
FlhDC	astA//ulaD//
FliZ	entF//metC//cdd//mngB//galE//
Fur	mhpE//gadB//allB//paaH//narG//bioD//lsrG//pgaC//glnA//alaS//argF//recB//fbaA//mraY//gapA//tam//rutE//galK//narG//kbaY//gdhA//alaS//malP//glmU//galM//aldA//gdhA//paaZ//entB//hyaA//murF//
GadE	hemL//nrdE//deoA//
GadE-RcsB	bglB//murF//katG//cyoE//nrdD//
GadW	ppsA//deoB//chbF//
GadX	yqjH//hypB//moaD//hypF//chbF//
GalR	hcaE//argB//fadH//purB//rutE//
GalS	araD//glmU//luxS//yqjH//napB//
GcvA	gntK//poxB//gntK//
GlcC	dgcC//argF//nemA//
GlpR	trpC//ssuD//torC//mazG//lsrF//glcF//hypB//
GlrR	
GntR	garR//caiD//entH//aroG//frdD//
HU	paaB//caiB//ycjG//tdcB//
HcaR	wrbA//glpX//
HdfR	
HigA	aldA//
HigB-HigA	fumC//
HipAB	lsrG//ldtD//
HipB	trpC//nagB//hemL//
HprR	torA//puuB//
HypT	ldtC//adiA//
IclR	paaY//mngB//folA//
IlvY	glyA//
IscR	yfdE//waaY//garR//icd//fabH//umuC//bioD//
KdgR	mngB//
KdpE	mpaA//
LacI	nanA//cynT//nrdA//
LeuO	gadA//carB//gcvT//
LexA	ycjG//lysA//pnp//hyi//mpaA//ulaE//mhpD//accA//arsC//
LldR	fbaA//rutC//
LrhA	
LsrR	lsrF//adiA//ygeA//aceE//fadE//
MalI	epd//paaF//
MalT	umuD//narH//recB//yfdE//
MarA	putA//rimK//malP//add//ada//deoA//hcaC//citE//paaH//glpQ//putA//argG//
MarR	
MatA	ulaG//
MazE	mraY//
MazE-MazF	pgaC//
McbR	
MelR	tyrA//gltB//
MetJ	mngB//fadE//ldtD//rutE//lacZ//
MetR	tynA//carB//adhE//
MhpR	fadE//gltB//yqjH//mpaA//hycE//paaE//
Mlc	poxB//guaB//nirB//
MlrA	grxA//
MngR	pfkA//yqjH//
MntR	paaC//
ModE	purM//paaC//eda//gloA//rnpB//dkgA//nemA//ddlB//nrdF//malY//bioB//aceE//gcl//accD//cueO//
MprA	ynfH//
MqsA	bioC//argC//
MraZ	pgaD//waaY//chbG//mngB//ftnA//rutE//lpd//treC//ftnA//glpB//
MurR	moaC//purM//phnG//
Nac	entD//wrbA//sbcC//lpd//
NadR	nirB//
NagC	gdhA//nagB//fabH//treC//nrdE//rutC//yqhD//phnI//ulaE//adiA//argH//truB//trpC//trpB//
NanR	ynfH//aceE//entA//frdD//fabD//cynS//
NarL	murI//nagB//ynfH//mhpD//pykF//alaC//nirB//srkA//nrdE//hcaC//araA//argC//astA//garL//hycF//narH//caiD//putA//lsrK//ulaG//purD//nrfA//mtlD//ndh//
NarP	waaY//moaE//aroF//araD//kbaY//pdeL//deoD//umuC//carA//
NemR	fabH//paaC//
NhaR	narI//frdD//hypF//murI//hemH//
NikR	hycD//
NimR	ppiA//
NorR	mraY//
NrdR	moaA//purB//gcl//katG//
NsrR	narG//argC//paaE//add//citE//argG//
NtrC	gadB//caiA//paaI//phnI//araD//entC//nadB//napA//
OmpR	gltD//cdd//mhpE//sbcD//glcB//ynfG//cysE//ulaD//
OxyR	mraY//feaB//fadH//aroG//pck//hypB//accC//hemH//gcl//mpaA//mhpF//sbcD//eda//
PaaX	glcE//melA//nemA//accD//astB//alaC//alaS//hemH//fadH//
PdeL	tnaA//
PdhR	torC//lysA//glcB//astA//feaB//pdeR//pgaC//yedX//mngB//sodA//ubiX//fabI//cdd//dgcZ//eno//sbcC//napB//nemA//carB//hemL//mazG//alaS//
PepA	xylB//nanA//
PgrR	glcD//deoD//
PhoB	paaY//eda//ugpQ//ulaG//oxc//wzb//entB//entC//trpE//nadB//moaA//pgaD//sbcC//trpE//lysA//
PhoP	pdeL//murD//metC//
PspF	hemH//
PurR	napB//torC//nfsA//wzb//glcB//fabG//purC//grxA//pgaC//narH//glmU//mdh//
PutA	hcp//zwf//
PuuR	tnaA//hcaF//araB//paaA//paaH//moaA//
QseB	
RbsR	rimK//glpD//ssuD//phnM//rutD//lsrK//
RcdA	tyrB//
RclR	
RcnR	nrfD//
RcsAB	paaH//paaB//
RcsB	paaJ//ynfE//
RcsB-BglJ	murD//deoD//
RelB	cysM//
RelB-RelE	gcl//
RhaR	
RhaS	iscS//hcaB//citX//murC//
Rob	nrfA//glxR//galT//galT//
RstA	murD//
RutR	ulaD//puuD//cdd//nanK//aldA//metA//paaK//sodA//waaY//atoA//
SdiA	
SgrR	aceA//nemA//relA//
SlyA	phnL//ada//poxB//mhpD//xylB//fumB//phnN//rsmH//gltD//
SoxR	entA//
SoxS	gadA//glpK//dmsC//murI//ugpQ//recF//murC//guaB//rhaA//paaC//ssuD//slt//argB//hypF//epd//phnG//
StpA	ychF//
SutR	araD//wrbA//
TdcA	moaA//garK//yqhD//waaY//mhpC//
TdcR	tam//chbG//glcE//glpQ//fabA//
TorR	glxR//pgaC//argB//rsmH//
TreR	phoA//narI//
TrpR	cysK//phnP//glmU//metA//glpQ//lysA//yqjH//chbG//sbcD//
TtdR	garR//deoB//
TyrR	wzc//metA//nanM//galT//ppiA//entE//hycB//atoB//dapB//
UhpA	eda//
UlaR	hcaF//rnpB//ynfH//sodA//sodA//
UvrY	frdD//uvrB//
UxuR	sbcC//bioC//aceB//
XylR	sufS//umuC//nrdD//
YdeO	nanM//citF//pck//
YefM	carB//
YefM-YoeB	lsrG//
YhaJ	
YjjQ	
YpdB	
YqhC	purM//aceE//
YqjI	ung//
ZntR	rbsK//
ZraR	
Zur	phnG//
