# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	ndh//dkgA//
Ada	puuE//phoA//mdh//nrdF//
AdiY	hypB//torA//dgkA//gltB//
AgaR	hycG//
AidB	bioB//
AlaS	nanM//
AllR	gltD//ynfE//galT//gcl//astA//caiB//
AraC	pyrC//entE//frdB//hcaE//narG//fabH//
ArgP	glxK//aroG//lacA//puuA//tdcB//glxR//argC//entB//cueO//
ArgR	phnH//grxA//paaE//ahpF//nrfC//fabB//hcaE//glnA//katG//melA//pykF//trpD//tyrB//astD//argB//glxK//melA//waaY//ftnA//fau//alkB//sufS//trpD//
ArsR	citX//umuC//
AscG	deoD//yqhD//
AtoC	citD//glpB//hypF//
BaeR	argG//glnA//
BasR	bioC//slt//araB//
BirA	ung//mhpD//tdcB//entD//hcaF//
BluR	
BtsR	citX//
CadC	tdcD//kbaY//fadH//
CaiF	garK//rutA//puuE//metE//wrbA//
Cbl	hemL//cynS//rutC//torC//murE//
CecR	grxA//
ChbR	entH//yfdE//hcaC//
ComR	
CpxR	glpD//dapD//rbsD//lpd//ttdB//ung//tynA//pdeR//hycB//sbcC//atoA//metE//mngB//cynS//lsrF//
Cra	garR//polA//kbaZ//alkA//cysE//garR//dapD//nagA//fadH//nanE//gadA//glxK//narI//wrbA//grxA//hyaC//mtlD//tyrB//dgcC//nfsB//dmsB//puuA//cysM//hycE//gcvT//allA//
CreB	
CsgD	mhpB//alaC//garK//paaE//
CspA	
CueR	nrfA//hcaB//
CusR	garL//wzb//
CynR	dgcC//guaB//cysM//
CysB	umuC//glcE//mdh//fadH//ppiA//accC//galE//gpmA//puuA//
CytR	bioB//nirD//aroL//pyrC//hemL//mhpB//phnO//ttdA//cynT//
DcuR	astE//fadJ//nagA//rhaB//
DeoR	puuC//purM//pflB//ynfG//
DicA	
DinJ-YafQ	adiA//
DnaA	hycB//gcvH//murQ//phnI//truB//fabH//
DpiA	rbsK//bioD//hycG//poxB//pdeL//
EnvR	metF//trpC//
EvgA	fadD//malQ//astC//glpK//hcp//
ExuR	
FabR	dgcC//ynfF//napG//
FadR	nrdF//mhpA//torA//metA//wzc//ubiX//nrdA//ribA//paaI//cadA//nrfD//narG//citX//fumC//eda//
FeaR	tnaA//argB//
FhlA	glmU//narG//putA//murI//pgaC//astD//frdA//
FlhDC	trpC//paaF//
FliZ	dmsA//bioD//ogt//poxB//rutD//
Fur	zwf//lsrF//gloA//treC//garL//yqjH//lpxC//paaE//entE//nrdA//fadD//entA//rbsD//astA//zwf//argG//luxS//ynfG//frdD//frc//dapB//glmS//rutE//nanM//hypF//aceB//gcvH//fumC//gntK//folA//hyaB//
GadE	gltB//recB//citX//
GadE-RcsB	hemL//wrbA//kbaY//galT//glpC//
GadW	purB//metE//argH//
GadX	deoA//cueO//dapD//trpA//cynS//
GalR	phnM//argA//mtlD//deoD//recD//
GalS	yqjH//fadE//aspA//lpxC//xylA//
GcvA	dapD//guaA//nrfA//
GlcC	entC//aceF//argG//
GlpR	moaD//pfkA//glpB//paaC//frdC//phnI//ribA//
GlrR	
GntR	ppiA//argD//hemH//pck//guaB//
HU	nrdE//appA//eno//accC//
HcaR	puuB//dmsA//
HdfR	
HigA	cysK//
HigB-HigA	rutD//
HipAB	bioD//acnA//
HipB	fadE//katG//mhpB//
HprR	hcp//frdA//
HypT	uxuB//hcaB//
IclR	astC//gntK//uxuA//
IlvY	ndh//
IscR	nanK//acnA//putA//murE//nrdE//yqjH//hypF//
KdgR	ftnA//
KdpE	deoB//
LacI	glpQ//hypF//gadB//
LeuO	aroH//fabH//glxR//
LexA	paaF//atoD//metE//glmS//puuE//dapB//guaA//phnO//frdD//
LldR	relA//paaY//
LrhA	
LsrR	recF//phnG//yedX//tyrA//lsrK//
MalI	recF//recB//
MalT	paaK//cysG//galT//entC//
MarA	tam//fdhF//accA//pflB//arsC//nrdF//tynA//napB//adhE//gltD//phnI//purF//
MarR	
MatA	galE//
MazE	citX//
MazE-MazF	adiA//
McbR	
MelR	appA//ugpQ//
MetJ	rbsD//mhpE//lpxC//ttdB//murG//
MetR	ruvA//waaZ//nanK//
MhpR	luxS//aceA//caiA//ynfE//pflB//purA//
Mlc	accC//trpA//gltD//
MlrA	moaD//
MngR	trpC//entD//
MntR	hcaE//
ModE	puuD//folE//acnA//glpD//nemA//cysE//purH//fabB//hypF//argH//chbG//hycC//hcaF//tdcD//nrfD//
MprA	puuA//
MqsA	accA//napA//
MraZ	hycB//bglB//aceB//pyrC//tam//paaB//dapD//nfsA//phnI//alaC//
MurR	narH//hycG//cynS//
Nac	lsrK//metC//recF//pfkA//
NadR	ubiX//
NagC	malQ//frdB//rnpB//puuB//murQ//dmsC//accA//dapD//ppiA//malY//zwf//argF//bglB//ahpC//
NanR	ynfE//astE//rutD//torA//polA//malY//
