# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	garL//cysG//
Ada	cueO//hcaC//hyi//aroF//
AdiY	araD//argH//lpd//glpQ//
AgaR	aspA//
AidB	mpaA//
AlaS	paaE//
AllR	yfdE//tam//glpK//citE//glpA//hemH//
AraC	atoB//deoC//mhpC//atoA//citF//ldtD//
ArgP	frdA//recD//gcvH//grxA//folE//wzb//relA//mazG//nrdA//
ArgR	feaB//gpmA//pykF//fadI//phnN//fabH//caiA//dmsA//gltD//icd//narH//lpd//fbaA//truB//caiA//phnO//yqhD//lsrF//accD//tdcE//pnp//hycF//nrfD//
ArsR	ogt//accA//
AscG	moaD//cysK//
AtoC	paaA//hycG//aceE//
BaeR	xylA//glcE//
BasR	hcaC//ssuD//metA//
BirA	dgkA//narH//hypB//tnaA//rhaB//
BluR	
BtsR	malQ//
CadC	hcaD//ldtD//rbsD//
CaiF	hycE//purB//trpA//icd//murI//
Cbl	murG//dgkA//phnJ//aspA//argF//
CecR	murD//
ChbR	kbaZ//dmsA//mhpE//
ComR	
CpxR	hyi//icd//hycF//metC//polA//garR//lysC//iscS//galM//ldtC//acnA//astE//rsmH//galE//paaK//
Cra	hycG//hcaD//glpQ//purA//rutE//wzb//gcl//astB//paaJ//rnpB//ssuD//wzc//paaJ//paaG//aroG//deoC//ruvB//dkgA//guaB//murF//rutB//frdD//mhpF//frdA//guaA//paaK//
CreB	
CsgD	ychF//metC//phnP//purC//
CspA	
CueR	cysG//argH//
CusR	rhaB//dmsA//
CynR	mngB//paaY//nfsB//
CysB	araD//ldtC//recB//galM//gcvT//narI//argD//guaA//purB//
CytR	glmS//trpC//tynA//caiD//ccp//astD//ahpC//udp//accC//
DcuR	metF//cynT//glpQ//fbaA//
DeoR	moaA//torC//guaB//treC//
DicA	
DinJ-YafQ	relA//
DnaA	murG//dapB//pgaC//rutA//wzb//rhaB//
DpiA	ung//gcvT//argA//pnp//gltB//
EnvR	ttdB//slt//
EvgA	allB//ddlB//glxR//polB//argG//
ExuR	
FabR	garR//aceE//glmS//
FadR	puuA//hycE//astB//argH//purC//argC//galT//caiD//astD//lsrK//hyaA//fdhF//wzb//garR//hycC//
FeaR	fes//cadA//
FhlA	umuD//adiA//purC//alkB//argA//torA//uvrB//
FlhDC	ynfF//aroG//
FliZ	truB//hycE//sodA//deoB//kbaZ//
Fur	ndh//phnO//nirB//entC//argD//hycC//puuB//glxR//frdB//astA//atoA//cueO//aspA//wzb//puuC//argD//uxuB//paaF//lacZ//pgaD//carA//trpE//hycF//glpX//ubiX//narH//hcaB//ftnA//bioF//lpxC//ldtD//
GadE	puuD//nanA//gapA//
GadE-RcsB	paaG//nagA//fadH//wrbA//cysG//
GadW	bioB//ychF//ttdA//
GadX	lacA//aldA//nanK//moaD//glmS//
GalR	uvrB//gntK//nagA//xylB//cysK//
GalS	srkA//truB//nrfA//purM//gapA//
GcvA	paaJ//metF//citE//
GlcC	frdA//frc//phnP//
GlpR	pgaB//wzb//araD//lsrK//paaY//glmS//phnO//
GlrR	
GntR	narG//murF//ung//glcB//astA//
HU	entD//hyi//umpH//nirD//
HcaR	gcvT//srkA//
HdfR	
HigA	murI//
HigB-HigA	napG//
HipAB	nemA//fabB//
HipB	astC//fau//bioC//
HprR	araB//mhpC//
HypT	ulaD//moaA//
IclR	gltB//dgkA//pdeR//
IlvY	dapB//
IscR	hmp//metF//ynfF//lpd//nfsA//pfkA//chbG//
KdgR	hycC//
KdpE	eno//
LacI	rutC//glpB//pgaD//
LeuO	ulaD//cysG//napH//
LexA	glpD//caiD//argE//ppsA//cysG//metA//lacA//phnN//pnp//
LldR	dgcZ//sufS//
LrhA	
LsrR	mhpD//yedX//hycE//narH//edd//
MalI	slt//glpX//
MalT	tdcB//garR//napA//carA//
MarA	purF//mtlD//fadH//recF//ynfH//ppsA//phnO//moaC//sufS//gpmA//citG//fadD//
MarR	
MatA	treC//
MazE	pfkA//
MazE-MazF	glpB//
McbR	
MelR	nadB//relA//
MetJ	feaB//cynT//torA//alkB//yedX//
MetR	argH//xylA//pnp//
MhpR	moaE//aroL//phnL//rhaD//nrdF//entF//
Mlc	fumC//mtlD//relA//
MlrA	ldtC//
MngR	argH//tyrB//
MntR	astA//
ModE	citE//accC//galK//aroH//uxuA//mhpE//hcaD//ychF//paaF//deoB//phnM//yedX//gadB//puuE//dmsB//
MprA	mhpA//
MqsA	alaS//nrdF//
MraZ	nemA//argI//ynfF//ulaG//narH//pgaD//ydcS//bioC//ftsI//moaA//
MurR	guaA//ascB//garL//
Nac	ttdB//aspA//entB//gpmA//
NadR	rbsD//
NagC	paaB//tam//fabB//acnA//iscS//gpmA//tnaA//entA//ndh//pnp//bioB//purA//purD//aroH//
NanR	argH//rbsK//sodA//argF//accA//folE//
NarL	hyaB//pflB//tam//citD//fau//moaA//yqhD//argC//fabA//rbsK//polA//trpE//gltB//trpC//hycG//bioB//pdeR//truB//phnH//fadD//umuC//deoB//pnp//nfsB//
NarP	gltB//hcp//ahpF//paaB//pdeL//appA//purB//pgaC//rbsK//
NemR	luxS//aspA//
NhaR	ftsI//hypB//argE//codA//poxB//
NikR	lysA//
NimR	hycC//
NorR	kbaY//
NrdR	bioC//ycjG//trpC//hcaD//
NsrR	cysK//rutC//aspA//ddlB//adiA//ppsA//
