# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	paaE//nagB//
Ada	glcE//paaE//eno//puuE//
AdiY	ychF//rutD//hcaC//puuD//
AgaR	ribA//
AidB	ccp//
AlaS	poxB//
AllR	ascB//deoB//cyoE//purC//galM//ubiX//
AraC	pyrC//tyrB//deoA//fabD//carB//aroH//
ArgP	paaF//relA//grxA//nfsB//aldA//aldA//citF//icd//ynfG//
ArgR	hycE//putA//galK//lsrF//gcl//pykF//pspE//cueO//murQ//guaA//argA//tdcE//glpC//hmp//nanE//aceF//dmsA//cadA//araD//argH//caiA//purD//tdcB//
ArsR	frdB//fbaA//
AscG	sodA//glpA//
AtoC	entF//pyrC//wzb//
BaeR	nrfC//nrfA//
BasR	fadJ//iscS//ada//
BirA	wrbA//nrfC//puuB//yqhD//nanM//
BluR	
BtsR	add//
CadC	phnN//ynfF//gltD//
CaiF	ftsI//nanE//fadI//cynT//entE//
Cbl	murD//fabD//fadH//gcl//feaB//
CecR	pflB//
ChbR	fabH//xylB//rbsK//
ComR	
CpxR	bioA//glmS//nagA//trpA//fabA//galK//mtlD//nrfC//narH//ydcS//ung//nagA//argH//hypB//dmsC//
Cra	glpK//gdhA//icd//puuE//garK//aceE//lpd//rutC//glpD//pdeL//katG//ydcS//rutD//moaC//pykF//nrdA//tdcD//phnH//mhpA//cynS//lacZ//cdd//galM//mhpB//aceA//rutD//
CreB	
CsgD	phoA//yqhD//gntK//paaA//
CspA	
CueR	cadA//guaA//
CusR	ddlB//yqhD//
CynR	metF//nanE//zwf//
CysB	galK//aceA//glpA//gcvP//metF//iscS//glpX//udp//moaE//
CytR	wzc//mhpD//feaB//fes//nanA//fadI//cueO//bioB//murE//
DcuR	nanK//relA//moaC//pgaC//
DeoR	polA//araB//purB//nirD//
DicA	
DinJ-YafQ	adhE//
DnaA	lldD//malP//phnM//allA//ogt//feaB//
DpiA	nemA//nirB//nrdD//hmp//argG//
EnvR	hcaE//hycD//
EvgA	purC//ydcS//lsrG//glcF//paaB//
ExuR	
FabR	mhpD//allB//yfdE//
FadR	lpd//galT//dapD//trpB//rutC//dkgA//phnM//torA//uxuA//phnO//ndh//relA//glpC//metF//bioD//
FeaR	slt//rutD//
FhlA	moaE//nrdF//nrfC//umpH//citD//hycC//trpA//
FlhDC	torC//murF//
FliZ	dmsA//mhpA//hemL//cyoE//phnL//
Fur	moaD//bioB//mhpC//argA//hyaB//hemH//wzb//garL//caiD//fbaA//dgcC//frc//phnI//polB//lysA//entA//folA//aceA//moaA//hyaC//alaS//lacA//mpaA//glpB//hyaA//pdeR//paaJ//napH//fabD//cynT//glmS//
GadE	fadI//caiB//entB//
GadE-RcsB	zwf//hycG//pdeL//codA//caiB//
GadW	recD//deoD//putA//
GadX	ssuE//tyrA//moaC//cynS//napH//
GalR	bglB//entE//argB//lysC//tnaA//
