# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 06:54:14 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons_strong//analysis/all_enzymes_in_set.txt
AcrR	dgcZ//torA//
Ada	ccp//hyi//waaY//metC//
AdiY	ndh//deoB//gltD//ubiX//
AgaR	metC//
AidB	araA//
AlaS	fadI//
AllR	pfkA//galM//argC//malQ//fbaA//aceB//
AraC	aceB//murI//paaG//fabD//phnL//nirD//
ArgP	uxuB//aroG//ppsA//paaY//gcvT//argC//treC//hycD//cadA//
ArgR	alkB//hycE//mhpC//cadA//phnH//entF//treC//murQ//bioF//glpK//umuD//accC//ruvA//puuB//entB//cysK//allA//argE//accA//murD//glmU//astD//fumC//
ArsR	rhaD//bglB//
AscG	chbG//fabI//
AtoC	pflB//ppiA//citF//
BaeR	udp//nrdD//
BasR	atoB//garK//yqjH//
BirA	hyi//deoB//lsrK//glpX//iscS//
BluR	
BtsR	ftsI//
CadC	mhpD//cysM//astD//
CaiF	hycD//rutB//frdD//uxuB//aroG//
Cbl	ppiA//narH//ada//tdcE//truB//
CecR	citE//
ChbR	ulaD//carA//torA//
ComR	
CpxR	entE//ulaG//araA//gltD//guaA//atoB//nanE//galE//ulaD//tyrA//gapA//paaH//nrdB//pdeL//phnP//
Cra	udp//puuA//chbF//waaZ//fabI//araB//lldD//sufS//frdD//glyA//citE//adhE//accA//nrdB//luxS//glpA//cadA//frdA//malY//trpB//puuC//lacZ//dmsA//pdeL//cadA//recB//
CreB	
CsgD	purC//gapA//pspE//sbcD//
CspA	
CueR	nrfC//lldD//
CusR	cynT//mhpC//
CynR	hycG//alaC//folE//
CysB	glpX//dmsC//cysK//gcvT//caiA//cynT//purN//phnP//rbsK//
CytR	umuC//hemH//narG//mngB//adiA//cysM//dmsB//yfdE//dapD//
DcuR	nrdB//dmsB//araA//tdcE//
DeoR	polB//entC//pgaB//astE//
DicA	
DinJ-YafQ	murQ//
DnaA	folA//gloA//torC//rbsD//hycG//glpX//
DpiA	ubiX//tdcB//nanA//rhaD//purD//
EnvR	dgcZ//tyrA//
EvgA	argH//guaB//sodA//nrfD//puuE//
ExuR	
FabR	murF//recF//mhpB//
FadR	trpE//ycjG//dmsC//umuC//zwf//yqjH//araA//ung//ccp//torC//murC//cynT//paaZ//ahpF//puuE//
FeaR	nirD//frdB//
FhlA	frdD//gltB//glcE//wzb//aceA//purB//astC//
FlhDC	purB//purH//
FliZ	zwf//lysC//cysG//hmp//rbsK//
Fur	lpxC//cynT//fumB//torC//nfsB//atoA//hypF//pspE//lysC//ppiA//caiC//rhaD//citF//metF//phnL//mazG//napG//argD//carB//glpD//rutA//garR//rimK//entH//tdcD//guaA//ubiX//pgaD//ahpF//murE//yqjH//
GadE	lacA//puuC//dapB//
GadE-RcsB	deoB//phnG//ychF//torA//uvrB//
GadW	narI//carB//pgaC//
GadX	aceF//cysE//torC//ttdA//fabD//
GalR	hycB//grxA//rutB//slt//puuB//
GalS	ychF//napB//puuA//paaC//ulaE//
GcvA	folE//murQ//sodA//
GlcC	mhpF//trpD//yedX//
GlpR	paaJ//purH//adiA//pflB//glpD//puuC//puuD//
GlrR	
GntR	phnO//folE//mhpE//moaC//metC//
HU	ccp//gpmA//cueO//phnI//
HcaR	ascB//ogt//
HdfR	
HigA	nfsA//
HigB-HigA	purM//
HipAB	entF//fumB//
HipB	araA//ulaD//mdh//
HprR	glcB//hcaD//
HypT	argE//fabA//
IclR	paaA//pspE//glxR//
IlvY	gloA//
IscR	frdD//purF//fabG//glpB//atoD//paaY//hemL//
KdgR	xylB//
KdpE	rbsD//
LacI	alaS//murC//tynA//
LeuO	paaG//frc//mdh//
LexA	ruvA//argA//glxK//fabD//fadJ//lldD//adhE//patD//lpd//
LldR	waaY//nagA//
LrhA	
LsrR	rnpB//putA//hcp//mhpC//paaY//
MalI	phnI//kbaZ//
MalT	hyaB//mtlD//nrdA//purF//
MarA	alkB//mhpD//yedX//murD//moaA//bioD//deoD//lacA//eno//paaH//frdA//rhaB//
MarR	
MatA	xylA//
MazE	entB//
MazE-MazF	relA//
McbR	
MelR	rimK//aldA//
MetJ	bioF//cueO//nirD//luxS//argC//
MetR	fabD//ynfH//lsrF//
MhpR	nanM//fadE//aspA//murD//phnH//glmU//
Mlc	putA//puuC//citC//
MlrA	lsrG//
MngR	lpxC//lpd//
MntR	fadD//
ModE	allA//pgaD//phnO//nanE//waaY//frdC//ldtD//nanE//ynfH//napG//tyrA//phnO//fau//accC//aroG//
MprA	tdcD//
MqsA	trpA//lsrK//
MraZ	ynfH//astE//glpB//lsrF//frdC//pfkA//eda//zwf//frdD//ssuD//
MurR	fabB//glxK//xylA//
Nac	udp//entF//aceF//phnP//
NadR	garR//
NagC	paaI//gpmA//ulaG//cysM//paaC//glpA//glpA//codA//pgk//hycF//ruvA//phnP//luxS//cysE//
NanR	glpK//mraY//trpD//pdeL//feaB//bioF//
NarL	rutC//rhaA//lysC//carA//cueO//trpC//dapB//ada//wzb//argH//puuE//narH//citF//galK//purC//lsrG//argH//fabI//carB//alaC//putA//phnM//waaY//tauD//
NarP	accC//tdcD//iscS//ssuE//ada//trpC//bioD//nagA//slt//
NemR	ugpQ//relA//
NhaR	cueO//aroH//gapA//glpB//caiC//
NikR	entD//
NimR	aspA//
NorR	fabG//
NrdR	argC//cysE//frdA//citF//
NsrR	fes//relA//ddlB//mtlD//accA//murF//
NtrC	rutA//napA//chbF//astD//phnP//poxB//nrfC//nagB//
OmpR	nanK//argI//poxB//deoC//ulaG//gadA//slt//yqjH//
OxyR	mhpF//dapD//fau//ynfG//pgaC//eda//puuA//adhE//rhaB//napB//entB//malQ//dgcZ//
PaaX	phnI//cysK//fabA//paaF//dapD//glnA//oxc//zwf//ssuE//
PdeL	purM//
PdhR	codA//mraY//fabB//zwf//argE//gcvH//add//adhE//mhpF//iscS//oxc//mhpA//napA//hyaC//umuC//deoC//ssuE//fadD//nrdB//lpd//frc//dmsC//
PepA	nrdD//hycC//
PgrR	purC//napA//
PhoB	deoB//torA//uxuA//bioF//sufS//lsrK//cysK//argH//argA//glcD//melA//ftsI//ychF//paaH//fabH//
PhoP	astC//fadE//sodA//
PspF	lldD//
PurR	metE//pgk//grxA//ssuD//aceB//umpH//mraY//puuE//glpQ//puuC//puuB//pgaC//
PutA	puuB//ygeA//
PuuR	ndh//hypF//phnM//glpC//cysE//tdcD//
QseB	
RbsR	tam//recB//dgcC//moaA//hcaB//frdA//
RcdA	pflB//
RclR	
RcnR	puuB//
RcsAB	entB//pspE//
RcsB	mtlD//glpX//
RcsB-BglJ	recB//fabG//
RelB	uvrB//
RelB-RelE	hmp//
RhaR	
RhaS	mazG//phnG//carB//guaB//
