# From /Users/Daniela/Documents/CCG/GUs_analysis/random_connectivity/scripts/conn_of_random_sets_v3.pl on Sat May 26 17:36:31 2018
# Using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/random_clusters/
# Columns= GU
# Rows= Random set
	Ada-Methylated	AlaS-L-alanine	AllS-allantoin	AraC-L-arabinose	ArcA-Phosphorylated	ArgP-L-arginine	ArgR-L-arginine	AtoC-phosphorylated	BaeR-Phosphorylated	BirA-bio-5-AMP	CRP-cAMP	ChbR-Monoacetylchitobiose-6P	CpxR-Phosphorylated	CreB-Phosphorylated	CueR-Ag	CueR-Cu+	CuerR-Au	CusR-Pasp	CynR-Cyanate	CysB-N-acetyl-L-serine	CysB-O-acetyl-L-serine	DcuR-Phosphorylated	DnaA-ATP	DpiA-Pasp	DsdC-D-serine	EvgA-Phosphorylated	FNR-Fe_reduced	FhlA-Formate	FucR-L-fuculose-1-phosphate	Fur-Fe2+	Fur-Mn2+	GlcC-Acetate	GlcC-Glycolate	GlrR-Pasp56	IclR-pyruvate	IdnR-5-ketogluconate	IdnR-Idonate	IlvY-2-acetolactate	IlvY-Alfa-acetohydroxybutirate	IscR-2Fe	LldR-L-lactate	Lrp-Leucine	LsrR	MalT-ADP-Maltotriose	MalT-Maltotriose-ATP	MelR-Melibiose	MetJ-S-adenosylmethionine	MetR-L-homocysteine	MhpR-3-DHPP	MhpR-3HPP	MntR-Cd2+	ModE-MoO42-	NarL-Phosphorylated	NarP-Phosphorylated	NhaR-Na+	NikR-Cd2+	NikR-Co2+	NikR-Cu2+	NikR-Ni2+	NikR-Zn2+	NrdR-ATP	NrdR-Zn2+	NrdR-dATP	NsrR-2Fe	PhoB-Phosphorylated	PhoP-Phosphorylated	PrpR-2-methylcitrate	PurR-Guanine	PurR-Hypoxanthine	QseB-Phosphorylated	RhaR-L-rhamnose	RhaS-L-rhamnose	RstA-Phosphorylated	SoxR-2Fe_oxydized	TorR-Phosphorylated	TrpR-Tryptophan	TyrR-L-tryptophan	TyrR-Phenylalanine	TyrR-Tyrosine	UhpA-Phosphorylated	XapR-xanthosine	XylR-Xylose	ZntR-Cd2+	ZntR-Hg	ZntR-Zn2+	ZraR-Phosphorylated	Zur-Zn2+
rn_cluster_1.txt	0.1	NA	0.2	0.0	0.6	0.3	0.5	0.3	0.0	0.1	0.2	0.3	0.2	0.8	0.3	0.1	0.1	0.2	0.0	0.4	0.4	0.5	0.4	0.2	0.7	0.0	0.1	0.7	0.2	0.6	0.6	0.2	0.6	NA	0.2	0.8	0.1	NA	NA	0.2	0.3	0.3	0.6	0.1	0.6	NA	0.4	0.2	0.3	0.3	0.3	0.5	0.5	0.6	0.0	NA	NA	NA	1.0	NA	0.2	0.4	0.6	0.4	0.5	0.5	0.0	0.4	0.4	NA	NA	0.1	0.2	0.3	0.0	0.3	0.3	0.2	0.2	NA	0.0	0.2	NA	NA	NA	NA	NA
rn_cluster_10.txt	0.0	NA	0.5	0.3	0.7	0.3	0.3	0.5	0.0	0.5	0.5	0.4	0.3	0.8	0.1	0.4	0.2	0.0	0.3	0.2	0.5	0.5	0.4	0.2	0.2	0.2	0.3	0.6	0.1	0.6	0.7	0.0	0.2	NA	0.1	0.5	0.3	NA	NA	0.4	0.0	0.6	0.1	0.2	0.2	0.0	0.3	0.5	0.2	0.2	0.0	0.3	0.5	0.2	0.2	NA	NA	NA	NA	NA	0.3	0.3	0.0	0.4	0.5	0.3	0.3	0.4	0.4	NA	NA	0.3	0.4	0.0	0.0	0.4	0.4	0.4	0.2	NA	0.0	0.2	NA	NA	NA	NA	NA
rn_cluster_100.txt	0.2	NA	0.6	0.2	0.7	0.5	0.4	0.2	0.0	0.7	0.3	0.4	0.4	0.7	0.1	0.1	0.5	0.8	1.0	0.5	0.3	0.3	0.0	0.1	NA	0.1	0.0	0.6	0.4	0.6	0.7	0.4	0.5	NA	0.0	0.3	0.2	0.0	0.0	0.4	0.3	0.5	0.2	0.3	0.3	0.0	0.4	0.1	0.4	0.2	0.0	0.5	0.3	0.1	0.3	NA	NA	NA	NA	NA	0.1	0.0	0.1	0.5	0.6	0.4	0.0	0.3	0.2	NA	NA	0.0	0.4	0.0	0.2	0.3	0.1	0.4	0.1	NA	0.7	0.2	NA	NA	NA	NA	NA
rn_cluster_11.txt	0.5	NA	0.0	0.3	0.7	0.2	0.5	0.2	0.0	0.2	1.0	0.3	0.2	0.8	0.1	0.3	0.1	0.2	0.0	0.1	0.4	0.1	0.6	0.1	0.2	0.4	0.2	0.7	0.2	0.6	0.5	0.4	0.3	NA	0.3	0.4	0.4	NA	NA	0.2	0.2	0.4	0.2	0.2	0.1	0.0	0.1	0.2	0.3	0.1	0.0	0.3	0.4	0.2	0.0	NA	NA	NA	NA	NA	0.1	0.1	0.2	0.5	0.4	0.8	0.3	0.5	0.5	NA	NA	0.0	0.3	NA	0.3	0.3	0.4	0.5	0.2	NA	0.0	0.2	NA	NA	NA	NA	NA
rn_cluster_12.txt	0.0	NA	0.2	0.2	0.8	0.4	0.3	0.1	0.0	0.0	0.2	0.3	0.0	0.8	0.1	0.2	0.0	0.2	0.2	0.3	0.3	0.4	0.2	0.3	NA	0.2	0.3	0.7	0.2	0.5	0.6	0.8	0.0	NA	0.0	0.5	0.3	NA	NA	0.2	0.3	0.5	0.0	0.4	0.4	0.0	0.4	0.1	0.0	0.2	1.0	0.4	0.4	0.4	0.1	NA	NA	NA	NA	NA	0.2	0.1	0.0	0.4	0.3	0.5	0.2	0.5	0.3	NA	NA	0.1	0.2	0.0	0.5	0.4	0.1	0.3	0.1	NA	0.3	0.3	NA	NA	NA	NA	NA
rn_cluster_13.txt	0.1	NA	0.0	0.4	0.7	0.2	0.4	0.2	0.0	0.0	0.5	0.5	0.2	0.8	0.1	0.1	0.5	0.2	0.0	0.2	0.4	0.2	0.4	0.4	0.0	0.4	0.3	0.6	0.4	0.5	0.6	0.3	0.5	NA	0.0	0.2	0.6	NA	NA	0.2	0.2	0.4	0.0	0.2	0.0	0.0	0.5	0.0	0.3	0.4	0.0	0.4	0.6	0.3	0.4	NA	NA	NA	NA	NA	0.2	0.5	0.7	0.3	0.5	0.5	0.3	0.5	0.4	NA	NA	0.0	0.5	0.3	0.0	0.2	0.4	0.3	0.4	NA	0.0	0.0	NA	NA	NA	NA	NA
rn_cluster_14.txt	0.1	NA	0.0	0.3	0.7	0.3	0.3	0.2	0.3	0.1	0.0	0.4	0.2	0.8	0.3	0.1	0.3	0.2	0.4	0.6	0.3	0.2	0.2	0.0	1.0	0.0	0.3	0.7	0.5	0.6	0.5	0.3	0.0	NA	0.5	0.4	0.4	NA	NA	0.4	NA	0.4	0.0	0.3	0.4	0.0	0.2	0.3	0.1	0.0	0.0	0.4	0.5	0.2	0.1	1.0	NA	NA	NA	NA	0.3	0.1	0.0	0.4	0.2	0.5	0.1	0.4	0.3	NA	NA	0.0	0.0	0.1	0.8	0.4	0.5	0.2	0.1	NA	0.0	0.0	NA	NA	NA	NA	NA
rn_cluster_15.txt	0.2	NA	0.6	0.3	0.6	0.5	0.4	0.2	0.0	0.1	0.4	0.4	0.2	0.8	0.1	0.2	0.6	0.3	0.0	0.4	0.4	0.3	0.7	0.2	0.5	0.3	0.4	0.6	0.3	0.5	0.7	0.3	0.2	NA	0.0	0.2	0.4	NA	NA	0.3	0.3	0.4	0.0	0.2	0.2	NA	0.3	0.2	0.1	0.3	0.0	0.2	0.4	0.2	0.3	NA	NA	NA	NA	NA	0.0	0.1	0.1	0.4	0.4	0.4	0.0	0.5	0.4	NA	NA	0.0	0.0	0.3	0.6	0.3	0.2	0.1	0.3	NA	0.2	1.0	NA	NA	NA	NA	NA
rn_cluster_16.txt	0.0	NA	0.3	0.2	0.6	0.2	0.5	0.1	0.5	0.2	0.2	0.4	0.2	0.8	0.1	0.2	0.0	0.5	0.3	0.5	0.5	0.2	0.3	0.0	0.3	0.2	0.2	0.7	0.0	0.5	0.5	0.0	0.3	NA	0.0	0.4	0.4	NA	NA	0.2	0.0	0.5	0.3	0.5	0.1	0.5	0.4	0.3	0.6	0.2	0.0	0.1	0.3	0.2	0.3	NA	NA	NA	NA	NA	0.5	0.0	0.0	0.3	0.3	0.4	0.1	0.6	0.6	NA	NA	0.2	0.3	0.0	0.3	0.5	0.2	0.2	0.2	NA	0.0	0.0	NA	NA	NA	NA	NA
rn_cluster_17.txt	0.6	NA	1.0	0.7	0.7	0.4	0.5	0.0	0.3	0.2	0.2	0.3	0.0	0.8	0.3	0.0	0.4	0.3	0.2	0.2	0.3	0.0	0.5	0.3	0.2	0.4	0.2	0.8	0.1	0.5	0.7	0.4	0.3	NA	0.3	0.3	0.2	NA	NA	0.4	0.0	0.3	0.3	0.0	0.2	0.0	0.2	0.2	0.0	0.0	0.0	0.4	0.5	0.1	0.2	NA	NA	1.0	NA	NA	0.1	0.3	0.1	0.4	0.3	0.5	0.4	0.3	0.4	NA	NA	0.0	0.0	NA	0.2	0.3	0.2	0.3	0.2	NA	0.0	0.3	NA	NA	0.0	NA	NA
rn_cluster_18.txt	0.0	NA	0.0	0.1	0.7	0.7	0.3	0.2	0.3	0.0	0.0	0.3	0.0	0.8	0.3	0.1	0.1	0.0	0.3	0.2	0.4	0.0	0.3	0.3	0.0	0.0	0.3	0.7	0.2	0.6	0.6	0.2	0.4	NA	0.1	0.2	0.4	NA	NA	0.1	0.0	0.6	0.7	0.3	0.1	0.7	0.5	0.2	0.3	0.2	0.3	0.4	0.6	0.2	0.1	NA	NA	NA	NA	NA	0.0	0.6	0.1	0.5	0.4	0.5	0.2	0.4	0.6	NA	NA	0.5	0.0	0.0	0.2	0.4	0.2	0.4	0.3	NA	0.3	0.0	NA	NA	NA	NA	NA
