# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	rbsD//napB//
AcrR_neg	rffM//feaB//
Ada_neg	nanE//nrdF//
Ada_pos	ada//glmU//napB//phoA//
AdiY_pos	phnO//fucO//murF//ubiC//
AgaR_neg	dsdA//
AidB_neg	nrdB//
AlaS_neg	atoD//
AllR_neg	glgC//murG//gor//folE//ybjG//tyrA//
AllS_pos	dhaK//cueO//treC//
AlsR_neg	metA//kbaY//gdhA//
AppY_pos	glpK//ubiX//
AraC_neg	dapD//hycE//dmsB//moeA//ycjG//
AraC_pos	moaA//serA//cysM//fadA//glyA//
ArgP_neg	
ArgP_pos	putA//nrfC//appA//glgA//atoB//purK//pagP//ascB//fbaA//
ArgR_neg	carB//moeA//argB//gabT//pdeH//purD//yeaE//yfbR//ppc//ssuD//phnJ//atoB//paaY//add//serA//argA//purE//garL//
ArgR_pos	acnB//cysI//tdcB//wzc//nrfB//
ArsR_neg	aceA//malQ//
AscG_neg	pck//slt//
AsnC_neg	rutC//
AsnC_pos	ubiA//
AtoC_pos	treC//murC//allB//
BaeR_pos	malY//purA//
BasR_neg	lsrK//
BasR_pos	atoD//rfe//
BetI_neg	puuC//hcaB//nrfD//
BirA_neg	ssuE//lysC//ycjG//ynfH//paaC//
BluR_neg	
BolA_neg	trpB//pepD//
BolA_pos	patA//napB//
CadC_pos	alkA//sodA//
CaiF_pos	ada//tam//gapA//malY//bioB//
Cbl_pos	nrfB//glnA//carA//rhaB//napH//
CdaR_pos	pyrD//fabD//serA//glgC//glmS//frc//caiD//murI//yfbR//
CecR_neg	
ChbR_neg	nanK//phr//ribA//
ChbR_pos	allB//glcD//gntK//
ComR_neg	
CpxR_neg	murG//pgpC//asnB//
CpxR_pos	allD//gatD//allD//uvrB//paaE//puuE//sdhC//glpD//torC//bioB//ldtC//glpX//fadI//fruK//pspE//fadA//patD//tnaA//
Cra_neg	ftsI//aroH//rnpB//pncB//gltD//epd//nanE//fdhF//deoC//mhpD//ascB//polB//prpE//paaF//fucK//entF//lpd//aspC//napB//katE//hycF//cdd//citG//gcl//uxaB//lacZ//ampC//sufS//nanM//dgkA//puuE//pyrD//ascB//rbsD//araD//puuE//fadM//bglB//glcD//lldD//tktB//bioA//hypF//dkgB//prpC//alaS//
Cra_pos	astD//pyrD//serA//paaH//codA//moeA//xylA//allA//icd//puuE//rffM//allA//ybaS//ldtC//ahpC//hycE//narH//
CreB_neg	serA//
CreB_pos	nrdE//
CsgD_neg	sdhB//lysC//
CsgD_pos	murE//pck//dgcC//
CsiR_neg	gcvH//fumC//phnH//argA//
CspA_pos	pncB//
CueR_neg	ulaE//mhpB//
CueR_pos	puuC//nrdB//
CusR_pos	entC//nanM//uxuA//
CynR_neg	
CynR_pos	purE//ulaG//mpl//
CysB_neg	fadD//nfsB//caiC//
CysB_pos	citC//napH//bioB//cyoE//fabD//metE//ldtC//rpiB//gatZ//hycC//purE//idnD//sucD//napH//lpxD//
CytR_neg	gcvT//fadE//phnN//tadA//fdhF//malQ//paaE//napB//gatY//purC//
Dan_pos	chbG//metC//
DcuR_pos	mpaA//speB//hyaB//uxuB//
DeoR_neg	napH//phnJ//bioC//cyoE//mpaA//metC//
DhaR_neg	
DhaR_pos	pck//
DicA_neg	
DinJ-YafQ_neg	fbaA//
DnaA_neg	rhaA//aceB//puuD//caiC//argH//
DnaA_pos	rpiB//gcvT//murE//
DpiA_neg	
DpiA_pos	bioA//nagA//amn//fruK//araA//
DsdC_neg	
DsdC_pos	paaZ//moeA//
EbgR_neg	
EnvR_neg	cysH//citF//
EnvY_pos	gltD//katE//
EvgA_pos	yqhD//nanA//trpB//glk//ldtC//alaS//
ExuR_neg	yfbR//mpaA//murQ//mpaA//xapA//entF//
FabR_neg	amn//chbF//
FadR_neg	pheT//gudD//aroL//rnpB//treC//hycF//rdoA//eda//kbaY//
FadR_pos	fabH//paaY//pgm//metA//murQ//argG//ndh//hycE//purH//
FeaR_pos	rsmH//sucD//
FhlA_pos	rutD//rffH//nagA//fdhF//gntK//dgkA//allE//
FlhDC_neg	hcaF//paaJ//
FlhDC_pos	ulaG//eno//phnI//mpl//sodB//glcE//bioC//purF//kbaZ//
FliZ_neg	allC//glcB//tdcD//ftsI//fabD//
FucR_pos	fucU//cysC//gudD//paaG//citF//entA//
Fur_neg	sucB//pgi//hyaB//sodA//cadA//ulaG//tehB//hcaD//galM//paaJ//putA//metE//pgaC//melA//murI//nagA//tam//mdh//fruK//rffG//gnd//yibQ//hcaC//glgA//alaC//ubiA//fdhF//glpK//allA//waaZ//mnmG//cysD//mdh//entE//astA//entB//serA//citX//astE//cadA//ahpF//glxK//folA//umuC//napA//ampC//gcvH//gapA//murE//allA//sufS//pck//ada//ynfE//
Fur_pos	ftsI//lpxA//citX//ruvB//pyrD//rsmH//relA//galK//ascB//argE//betB//frdB//asnB//glpB//phnO//gltB//yibQ//
GadE-RcsB_pos	hemH//nrfD//gadA//ybaS//
GadE_pos	mhpF//ulaE//fumB//accC//fadM//yqhD//ahpF//fucK//sgbE//bioC//
GadW_neg	sucD//entA//sodB//
GadW_pos	dhaL//codA//purK//rutB//
GadX_neg	murD//amn//
GadX_pos	murI//epd//hemL//ulaF//mtlD//glcD//citC//mhpE//murG//accD//
GalR_neg	hyaC//glk//fabG//galK//rffG//nirB//
GalR_pos	citE//hyaC//lsrK//ampC//
GalS_neg	glgC//fabG//gor//citX//accB//hcaB//
GalS_pos	iscS//puuA//patD//fabG//
GatR_neg	serA//tadA//speB//
GcvA_neg	trpA//hcaD//uxuA//
GcvA_pos	pgaC//dacC//glcE//
GlcC_neg	
GlcC_pos	prpC//hcaC//galM//
GlpR_neg	cysE//nanE//ada//guaA//rdoA//dgcC//nfsA//
GlrR_pos	
GntR_neg	lsrG//prpB//prpD//citD//bioC//rhaB//hyaA//hcaE//polA//
GutM_pos	bioD//atoA//mhpD//
GutR_neg	guaB//fumC//relA//
HU_neg	deoA//rutB//rhaA//dkgA//purH//pgk//allA//
HU_pos	
HcaR_neg	
HcaR_pos	hycB//caiD//
HdfR_neg	
HdfR_pos	
HigA_neg	fucA//
HigB-HigA_neg	waaY//
HipAB_neg	narI//glmS//
HipB_neg	pgaD//cysN//galM//
HyfR_pos	pck//
HypT_neg	hcaC//nanE//
HypT_pos	nrfB//dhaK//trpC//nagB//nirD//
IclR_neg	sgbH//tyrA//ada//
IdnR_neg	nrdD//feaB//
IdnR_pos	allA//gabT//fabD//uidA//
IlvY_neg	
IlvY_pos	yeaG//
IscR_neg	paaE//dmsB//hcaC//sdhD//
IscR_pos	dinB//mtlD//
KdgR_neg	dkgA//fucO//
KdpE_pos	ubiX//
LacI_neg	ung//sucB//pdeH//
LeuO_neg	
LeuO_pos	aldA//nadB//ruvB//leuA//rutD//paaJ//
LexA_neg	xylB//leuC//lsrG//asnA//glmS//sdhA//glgB//gor//lacZ//argC//argD//hycC//zwf//alaC//prpC//rutD//pyrD//sodB//waaZ//rffM//ynfH//
LldR_neg	mazG//accA//
LldR_pos	argB//cysI//
LrhA_neg	
LrhA_pos	
LsrR_neg	gapA//glk//napC//cynT//deoB//
LysR_neg	
LysR_pos	rsmH//
MalI_neg	narG//purA//
MalT_pos	dgcZ//moeB//uxaB//deoC//fadA//pgm//
MarA_neg	ndh//
MarA_pos	lhgO//gadB//pdeH//trpA//rnpB//rutB//polB//murF//rhaA//narI//pck//pdeR//atoB//deoB//sdhB//entE//dgkA//aroG//torA//fabZ//caiB//glxK//
MarR_neg	
MatA_neg	malS//
MatA_pos	
MazE-MazF_neg	nrdD//
MazE_neg	murF//
McbR_neg	
McbR_pos	
MelR_neg	rffM//araA//
MelR_pos	rbsK//gadA//
MetJ_neg	nrdD//tynA//rbsK//lsrF//fadA//prs//atoA//dkgB//mhpB//mazG//
MetR_neg	murQ//
MetR_pos	umuD//relA//ddlB//pyrD//
MhpR_pos	moeA//ynfH//nrfB//metA//glpQ//fadE//
Mlc_neg	lpd//fucI//argH//caiC//
MlrA_pos	fabI//
MngR_neg	lysA//gatZ//
MntR_neg	ulaE//
MntR_pos	accD//
ModE_neg	dhaL//pykF//fucA//oxc//guaB//ulaF//gloA//malZ//
ModE_pos	ssuE//hyaC//uidA//deoB//gabT//cynS//
MprA_neg	rnpB//murG//cysM//
MqsA_neg	asnA//gpmM//
MraZ_neg	leuB//citD//yeaE//puuC//hemL//paaZ//gnd//purK//fucU//ynfF//fbaA//
MtlR_neg	aldA//glgA//phnG//
MurR_neg	pgaB//gutQ//trpA//
MurR_pos	
Nac_neg	hycD//gor//speA//
Nac_pos	glpB//aceF//argD//accB//gapA//murC//purA//
NadR_neg	cysH//fadH//metE//gatZ//
NagC_neg	ldtB//wzc//narH//lyxK//pgi//wzb//aldA//bioB//dapD//araB//sodB//ychF//argE//nrdD//cysM//lldD//purD//carA//
NagC_pos	pheT//lhgO//
NanR_neg	paaZ//fau//frdA//caiD//uxuB//paaG//
NanR_pos	
NarL_neg	moeB//glgP//fadB//fucA//adhE//wecB//tehB//fadD//ynfH//ubiC//metE//nrfD//araB//dmsC//metF//fadB//glpQ//mhpD//malP//truB//gutQ//gcvT//ldtC//sodA//
NarL_pos	trpC//lpxA//atoA//melA//carB//uidA//atoA//paaY//xylB//nrfC//tauD//nanM//glnA//
NarP_neg	ung//lsrK//yeaE//
NarP_pos	gatD//citE//glpQ//rhaB//ybjG//ubiC//dhaM//truB//paaA//serA//
NemR_neg	caiD//gadB//
NhaR_pos	paaJ//gor//amn//murF//fadD//
NikR_neg	appA//
NimR_neg	ubiC//
NorR_neg	
NorR_pos	pepD//
NrdR_neg	gcvP//trpB//cadA//uxuB//
NsrR_neg	dmsA//tnaA//dmsB//asnB//sucC//lldD//leuD//fdhF//speB//patD//alsE//glpA//gcvH//alkA//gloA//ampC//mhpA//glmU//prpC//gpmM//idnK//mhpA//amn//nfsB//pspE//astE//talA//asnB//purK//aroF//rffT//fumC//paaG//waaZ//malQ//lhgO//
NtrC_neg	gdhA//moeA//
NtrC_pos	entD//fadI//add//guaB//nadB//dsdA//truB//gutQ//phoA//hcaE//araB//bioC//sgbU//citG//acnA//serA//metC//icd//thrS//narG//citF//
OmpR_neg	hmp//nrfD//pyrC//aroL//citE//
OmpR_pos	sufS//deoA//paaZ//sgbH//
OxyR_neg	citF//paaH//frdC//ynfF//alaC//
OxyR_pos	dhaL//murC//pheT//entF//hycC//caiA//dmsB//frdD//moaA//
PaaX_neg	ftsI//citF//pspE//nrfA//mazG//cysC//rpiB//argB//garR//
PdeL_pos	frdB//
PdhR_neg	accB//bioB//cueO//gltD//phnH//rffM//ada//tauD//umuC//glgX//puuC//sucA//udp//eda//trpB//araA//frdB//epd//cysC//ychF//umpH//phnN//pagP//mhpA//
PdhR_pos	glpD//lldD//
PepA_neg	paaA//cysE//
PgrR_neg	ynfG//pheT//
PhoB_neg	fau//glpC//gudD//garK//
PhoB_pos	rutB//ynfE//paaE//lhgO//cadA//glpC//dgcZ//fbaA//pck//accA//lsrK//galE//bioA//guaB//hcaD//glpD//
PhoP_neg	argD//galT//dinB//
PhoP_pos	yfbR//fadM//argA//yfbR//puuB//astA//folA//hycC//hcaD//ascB//ampC//ulaG//phnP//tauD//entC//aroH//umpH//rsmH//murI//mltF//uxaB//glpA//narH//citG//argD//glpA//nrdE//ychF//frdB//hycD//mraY//alaC//
PrpR_neg	
PrpR_pos	purC//ftnA//astC//pdeL//
PspF_neg	
PspF_pos	fucK//
PurR_neg	fucU//purN//yqhD//yibQ//ldtB//folE//hcaB//cynS//citD//astB//napB//pgaB//dmsB//mhpB//rffG//ndh//ribA//umpH//hyi//nagB//iscS//ubiA//araD//argG//serA//ulaF//
PutA_neg	pgaB//murC//
PuuR_neg	pykF//zwf//fadA//hycF//cueO//moaA//
QseB_pos	
RbsR_neg	argI//argB//aceA//pgaC//garK//
RbsR_pos	frdD//
RcdA_neg	
RcdA_pos	citX//
RclR_pos	
RcnR_neg	argD//
RcsAB_neg	deoC//
RcsAB_pos	fabZ//pgm//
RcsB-BglJ_pos	murD//truB//
RcsB_neg	pykF//
RcsB_pos	gcvT//pagP//aceF//
RelB-RelE_neg	argD//
RelB_neg	napB//
RhaR_pos	
RhaS_pos	chbG//dmsB//hycD//nrdA//
Rob_neg	
Rob_pos	bglB//sgbH//paaC//citG//cdd//ulaD//rffM//pgaD//glgP//hyi//gatY//lpxD//frdB//relA//ulaD//aceB//fabB//dhaM//ruvB//
RstA_neg	garR//hypB//
RstA_pos	yeaE//
RtcR_pos	kbaZ//frdB//
RutR_neg	rutD//garR//gloA//pnp//hcaD//argI//citG//umpH//ftnA//lpxD//
RutR_pos	trpA//
SdiA_neg	
SdiA_pos	
SgrR_neg	dapB//
SgrR_pos	pykF//cynT//
SlyA_pos	
SoxR_neg	
SoxR_pos	paaE//
SoxS_neg	
SoxS_pos	sodB//alaS//puuE//gcvT//uxaA//nanE//ubiX//garR//fadB//melA//yiaK//dapB//folA//rutC//gcvT//pgaC//garL//metB//epd//amn//gpmA//ynfF//ahpF//slt//allA//garK//
StpA_neg	phnG//prpC//napB//
SutR_neg	araA//ahpC//
SutR_pos	
TdcA_pos	mpaA//gabD//fbaA//dsdA//gcvH//
TdcR_pos	rffM//sdhC//accA//deoD//purL//
TorR_neg	paaC//
TorR_pos	deoC//truB//puuA//
TreR_neg	deoD//dhaM//
TrpR_neg	fadA//rffH//murF//glxK//mraY//rffT//trpA//ssuE//cysC//
TyrR_neg	pgaB//tam//mpaA//fucA//aroL//nirB//argH//
TyrR_pos	sucC//puuB//glgX//
UhpA_pos	tdcE//
UidR_neg	garR//hyaB//
UlaR_neg	garD//nanM//lpd//atoD//speB//
UvrY_pos	pgaC//deoB//
UxuR_neg	tadA//ftsI//dgkA//malS//wecC//
XapR_pos	fumC//alsE//
XylR_neg	
XylR_pos	waaH//mngB//ssuD//
YdeO_neg	
YdeO_pos	astE//bioD//malS//
YedW_neg	gnd//lsrG//
YedW_pos	araD//
YefM-YoeB_neg	gcvT//
YefM_neg	dgkA//
YehT_pos	
YeiL_pos	
YiaJ_neg	fabZ//cysM//guaB//mnmG//phnH//dhaM//
YjjQ_neg	paaF//
YpdB_pos	
YqhC_pos	bioF//murE//
YqjI_neg	feaB//
ZntR_pos	trpA//
ZraR_pos	
Zur_neg	hycG//
