# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	cdd//ttdA//
AcrR_neg	trpE//mhpA//
Ada_neg	rutC//uxuA//
Ada_pos	frdA//gor//uxaB//dacC//
AdiY_pos	pdeL//icd//astC//aspA//
AgaR_neg	ascB//
AidB_neg	pyrD//
AlaS_neg	puuC//
AllR_neg	sdhC//narH//paaZ//deoC//ulaD//pgm//
AllS_pos	cysD//tyrA//eda//
AlsR_neg	sgbU//fadI//metB//
AppY_pos	glyA//glcF//
AraC_neg	bioA//ulaE//fadA//fucA//citC//
AraC_pos	caiD//ada//metL//hcaF//lyxK//
ArgP_neg	
ArgP_pos	araA//nirB//lsrK//tam//lsrK//lpxD//napA//iscS//garD//
ArgR_neg	uvrB//asnB//pnp//fau//ulaE//astB//ung//entH//asnB//tynA//speA//pgm//mtlD//pgaC//metC//sodA//fadE//glpB//
ArgR_pos	lysA//accB//metA//argD//pyrD//
ArsR_neg	ttdA//phnI//
AscG_neg	narH//icd//
AsnC_neg	epd//
AsnC_pos	fucK//
AtoC_pos	prs//lsrK//carB//
BaeR_pos	rhaA//rfe//
BasR_neg	atoB//
BasR_pos	aspA//hyaA//
BetI_neg	paaZ//glpC//pgm//
BirA_neg	paaF//purA//garR//garK//cysJ//
BluR_neg	
BolA_neg	relA//cysM//
BolA_pos	ung//astC//
CadC_pos	glpK//hypB//
CaiF_pos	dmsA//citD//argF//napG//ruvA//
Cbl_pos	sodB//gltB//mraY//rutA//glcD//
CdaR_pos	nfsB//amn//alkA//caiA//allB//tynA//pdeH//uvrB//katE//
CecR_neg	
ChbR_neg	uvrA//arsC//nanK//
ChbR_pos	sodB//prpC//katG//
ComR_neg	
CpxR_neg	pflB//fes//fes//
CpxR_pos	fabA//fadA//hyaA//glpD//ynfG//wzb//allB//citF//gltD//dkgA//hyaC//ynfE//mraY//fbaA//glk//tyrB//uxaC//puuE//
Cra_neg	ribA//fabH//kbaY//frdD//ldtB//yfdE//metH//mpl//pheT//nanE//ruvB//gutQ//frdA//rffT//metE//phnJ//gcvH//chbF//recF//phr//tdcD//dapB//citX//pgpC//fabB//rimK//thrS//gltB//ychF//xylB//tynA//ldtB//katG//alaS//ynfE//ppiA//hmp//rffG//rutB//melA//prpB//mhpD//yfdE//glpQ//puuC//lysC//
Cra_pos	purC//murD//ulaE//argG//frdB//gntK//pdeR//glpQ//fabG//rimK//yqhD//waaY//ldtD//ychF//metH//galM//pgaB//
CreB_neg	rutA//
CreB_pos	atoB//
CsgD_neg	metB//fabB//
CsgD_pos	fabH//gadB//fbaA//
CsiR_neg	rffH//mpl//alsE//puuD//
CspA_pos	prpE//
CueR_neg	argG//atoB//
CueR_pos	ampC//nrdB//
CusR_pos	hcaF//glk//gabT//
CynR_neg	
CynR_pos	yfbR//fucI//prpD//
CysB_neg	frdB//ftsI//citD//
CysB_pos	dkgB//metB//fabD//fabH//murE//adhE//ynfE//mraY//glpX//acnA//phnO//fucU//yiaK//mpaA//bglB//
CytR_neg	mhpF//tynA//allE//tauD//purE//malY//gatD//glxK//purM//gcvT//
Dan_pos	glyA//mhpF//
DcuR_pos	dapB//purC//lpd//katE//
DeoR_neg	cadA//gdhA//ybjG//tdcB//cysH//argC//
DhaR_neg	
DhaR_pos	garD//
DicA_neg	
DinJ-YafQ_neg	cysM//
DnaA_neg	mpaA//citF//ulaE//caiD//yeaE//
DnaA_pos	caiB//rbsD//araB//
DpiA_neg	
DpiA_pos	yiaK//deoC//puuE//citX//alaC//
DsdC_neg	
DsdC_pos	paaE//purE//
EbgR_neg	
EnvR_neg	moeB//gatD//
EnvY_pos	dgkA//hycE//
EvgA_pos	citC//araD//add//argH//folA//mhpB//
ExuR_neg	alaS//mazG//murG//atoB//gltB//zwf//
FabR_neg	malQ//glk//
FadR_neg	cyoE//gltD//aroL//galE//pdeH//sodA//deoD//leuC//phnH//
FadR_pos	ynfF//bacA//glcF//moaD//phnH//narI//araB//trpD//bioD//
FeaR_pos	cynT//mhpD//
FhlA_pos	pdeH//gadA//acnB//tynA//sgbH//luxS//rbsK//
FlhDC_neg	puuC//ubiC//
FlhDC_pos	argG//alkB//puuB//ulaG//nanA//tehB//argA//purM//fadD//
FliZ_neg	epd//napC//aspA//lpxC//leuD//
FucR_pos	argI//speB//atoD//nrdF//gntK//tdcD//
