# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	nrfD//bacA//
AcrR_neg	murQ//uxaC//
Ada_neg	caiB//fucI//
Ada_pos	accB//rbsD//narI//trpB//
AdiY_pos	fumC//pyrD//cysI//puuA//
AgaR_neg	tyrB//
AidB_neg	xapA//
AlaS_neg	ynfH//
AllR_neg	cysK//allD//dsdA//dinB//cysN//fadM//
AllS_pos	hypF//alaS//eno//
AlsR_neg	ubiX//speA//pgaC//
AppY_pos	puuB//pdeR//
AraC_neg	phnG//fbaA//arsC//paaA//fau//
AraC_pos	paaI//codA//codA//cueO//kbaY//
ArgP_neg	
ArgP_pos	rhaD//phnN//citE//paaJ//argC//tauD//lhgO//ubiX//amn//
ArgR_neg	ulaD//garR//cysH//folE//rffM//hcaE//rutB//ribA//nadB//nagA//paaK//ttdB//recF//zwf//pgm//deoC//malY//caiA//
ArgR_pos	folA//mltF//nanE//gatY//adiA//
ArsR_neg	udp//ldtC//
AscG_neg	fabB//pepD//
AsnC_neg	tadA//
AsnC_pos	fadM//
AtoC_pos	asnA//astE//ttdA//
BaeR_pos	aroG//narG//
BasR_neg	ruvB//
BasR_pos	epd//fdhF//
BetI_neg	lldD//argH//codA//
BirA_neg	moaD//napA//waaZ//leuC//fadJ//
BluR_neg	
BolA_neg	gatD//polA//
BolA_pos	fabD//melA//
CadC_pos	metA//fdhF//
CaiF_pos	wrbA//glnA//uxuB//frc//umuD//
Cbl_pos	dgcC//aspA//atoD//citF//napB//
CdaR_pos	alkB//gdhA//moaA//malS//rhaA//metB//pdeL//entE//gudD//
CecR_neg	
ChbR_neg	dinB//tadA//dhaL//
ChbR_pos	citC//cysI//ung//
ComR_neg	
CpxR_neg	rutC//sucB//uidA//
CpxR_pos	glpB//leuB//hyaA//feaB//fadJ//metF//accD//puuE//narH//accA//napC//allB//cysI//fadM//dhaM//malQ//tyrA//galE//
Cra_neg	prpD//frdB//sgbE//uvrA//rhaA//argE//metE//glnA//ubiA//cysJ//dkgB//rpiB//serA//mhpC//glpD//sodA//purE//metH//rbsK//nadA//paaI//glk//acnA//metC//rutB//malY//purE//speA//sgbE//murC//edd//cyoE//ybjG//pncB//fumB//cysC//tnaA//pheT//aceF//puuA//citX//gltD//trpE//trpE//oxc//metF//
Cra_pos	dacC//sdhA//purE//betA//citC//tam//glmU//umuD//rffH//glmU//napA//metK//gcvT//napB//mhpC//pspE//purL//
CreB_neg	gudD//
CreB_pos	tam//
CsgD_neg	rutB//fdhF//
CsgD_pos	citC//moeA//uxaA//
CsiR_neg	aroH//zwf//fabG//ybjG//
CspA_pos	phnI//
CueR_neg	paaY//ssuD//
CueR_pos	ttdB//fabH//
CusR_pos	murQ//cysK//prpD//
CynR_neg	
CynR_pos	fucK//psd//fucU//
CysB_neg	hypF//puuC//gcvP//
CysB_pos	frc//glcB//dsdA//astD//metC//gltB//yiaK//mpl//thrS//lacZ//tnaA//nrfB//tnaA//murD//purK//
CytR_neg	glgX//argF//sdhA//fadA//cysG//galT//patD//garK//moaD//glpK//
Dan_pos	sucD//hemL//
DcuR_pos	leuD//leuA//tdcD//ycjG//
DeoR_neg	argB//fucO//ubiC//dgcZ//gor//pncB//
DhaR_neg	
DhaR_pos	yqhD//
DicA_neg	
DinJ-YafQ_neg	yfdE//
DnaA_neg	astE//rbsD//rutD//cyoE//gabD//
DnaA_pos	frdC//moaA//lacZ//
DpiA_neg	
DpiA_pos	pfkA//gloA//rimK//dapB//gpmA//
DsdC_neg	
DsdC_pos	hyaA//gloA//
EbgR_neg	
EnvR_neg	umuD//gabD//
EnvY_pos	mpaA//leuB//
EvgA_pos	malP//talA//aceA//sucA//garR//glcF//
ExuR_neg	mraY//glpA//entA//argG//yeaG//nanK//
FabR_neg	folE//dapB//
FadR_neg	rhaD//metE//gapA//yiaK//gatD//purF//entA//bioD//pdeH//
FadR_pos	argA//garL//paaI//narH//mpl//astA//hyaB//glyA//caiB//
