# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	malP//epd//
AcrR_neg	argE//pgaC//
Ada_neg	metA//rhaB//
Ada_pos	fucA//astE//accA//yibQ//
AdiY_pos	ynfE//atoA//lsrK//treC//
AgaR_neg	sucB//
AidB_neg	uxaC//
AlaS_neg	sgbH//
AllR_neg	cyoE//nrdE//gltD//citD//dhaK//sucB//
AllS_pos	ycjG//fbaB//rdoA//
AlsR_neg	tyrA//purL//ttdA//
AppY_pos	caiD//ulaE//
AraC_neg	dhaL//mhpA//glgC//hcaE//argI//
AraC_pos	glgB//tauD//phnO//hycG//glmS//
ArgP_neg	
ArgP_pos	appA//fadH//psd//bglB//phnP//nadB//idnO//gatD//mhpB//
ArgR_neg	ynfG//fucI//galE//relA//uvrA//pheS//hmp//atoA//pdeL//purN//ilvC//malY//nagA//tadA//hmp//paaJ//rdoA//betB//
ArgR_pos	paaY//garD//uvrB//hcaD//aroG//
ArsR_neg	entD//hmp//
AscG_neg	paaI//dmsA//
AsnC_neg	phnN//
AsnC_pos	paaH//
AtoC_pos	gltD//metB//adhE//
BaeR_pos	galT//ubiX//
BasR_neg	puuB//
BasR_pos	fruK//argF//
BetI_neg	ahpF//psd//pncB//
BirA_neg	fdhF//prpD//asnB//nrdE//ndh//
BluR_neg	
BolA_neg	citD//galM//
BolA_pos	ulaD//tam//
CadC_pos	hycE//yfbR//
CaiF_pos	paaF//caiD//pgk//lsrF//hyaA//
Cbl_pos	codA//paaI//patD//pheT//speA//
CdaR_pos	citF//gudD//pyrD//purF//sgbH//paaE//cysE//eda//paaF//
CecR_neg	
ChbR_neg	ynfE//mhpC//yqjH//
ChbR_pos	nrdB//yeaG//pgaC//
ComR_neg	
CpxR_neg	mazG//dinB//dmsA//
CpxR_pos	katE//glyA//kbaZ//malQ//glpC//lacZ//fabZ//yfdE//truB//aspA//codA//accA//nrdE//ubiX//lacZ//sucB//phnH//glpA//
Cra_neg	aceF//ldtD//pyrC//aceF//purC//murI//nrfB//lpd//uvrA//galT//nrfC//hcaE//cysH//fadD//ilvC//paaG//narG//arsC//rbsK//lyxK//paaA//cdd//nagA//nrdA//mhpF//nrdF//hypB//hemH//tauD//rhaD//tnaA//prpC//xylB//argD//hycG//entH//prs//araA//ampC//putA//argG//gor//fucU//lpxD//caiD//puuA//
Cra_pos	fabZ//lpxA//paaA//moaA//gabT//nrfC//sdhD//glmS//glcF//mltF//fucU//luxS//argE//rdoA//pflB//tyrA//rnpB//
CreB_neg	ynfE//
CreB_pos	rhaB//
CsgD_neg	moaE//citE//
CsgD_pos	aroG//hemH//lpxA//
CsiR_neg	relA//iscS//allC//feaB//
CspA_pos	araA//
CueR_neg	tdcD//galK//
CueR_pos	aspA//aspA//
CusR_pos	fucO//astB//edd//
CynR_neg	
CynR_pos	cysE//argD//relA//
CysB_neg	mhpE//nanM//sdhC//
CysB_pos	accD//cueO//talA//glnA//dkgA//rffM//phnI//polB//phoA//umuC//tadA//edd//glpB//narG//metF//
CytR_neg	garD//mhpB//fabB//gltD//ulaD//entE//napG//mhpC//fadE//aspA//
Dan_pos	uidA//metE//
DcuR_pos	ldtD//gabT//cysM//katG//
DeoR_neg	entD//trpC//pagP//tauD//pncB//dsdA//
DhaR_neg	
DhaR_pos	aceB//
DicA_neg	
DinJ-YafQ_neg	prpD//
DnaA_neg	katG//fabB//leuD//ulaG//glcB//
DnaA_pos	glxK//ascB//napC//
DpiA_neg	
DpiA_pos	lpxC//deoD//paaI//idnK//ssuD//
DsdC_neg	
DsdC_pos	glpA//leuB//
EbgR_neg	
EnvR_neg	metC//purN//
EnvY_pos	slt//phnH//
EvgA_pos	fadA//dhaM//hcaC//asnB//lpxC//speB//
ExuR_neg	glgX//add//mhpB//hcaB//entF//murG//
FabR_neg	purA//pyrD//
FadR_neg	uxuA//leuD//ttdB//pyrC//tauD//rbsK//accA//sucC//prs//
FadR_pos	metC//aceA//deoD//hcaD//frdD//glk//mhpA//allB//hycF//
FeaR_pos	deoC//galE//
FhlA_pos	accB//gltB//metK//nrfD//hemH//bioF//dacC//
FlhDC_neg	nrfA//pgi//
FlhDC_pos	cueO//alkA//nanM//deoD//tnaA//ttdA//phnJ//ilvC//umuD//
FliZ_neg	paaY//paaJ//cdd//fdhF//tnaA//
FucR_pos	cynT//hcaF//codA//hmp//yeaE//lacA//
Fur_neg	galE//rffG//cynT//purN//uvrA//accD//truB//glmU//mhpA//sgbE//bioB//mpaA//frdC//pykF//galE//nfsB//hcaC//ndh//accD//ynfE//fadA//ssuE//cysE//pyrD//garR//gadA//ubiA//rsmH//paaF//metC//fruK//paaI//prpD//rfe//citF//cueO//asnB//gor//ung//trpC//phoA//ahpC//tdcD//phnH//ulaD//add//fdhF//nrdF//hycG//prpC//psd//aroH//cysD//argA//
Fur_pos	hypF//pfkA//tynA//rffG//pgaB//pnp//lyxK//rbsD//cueO//mhpC//metB//rpiB//alaS//alaS//alkB//leuD//dmsC//
GadE-RcsB_pos	ulaD//ynfF//rhaA//phnL//
GadE_pos	sgbH//fadM//ascB//glmU//cysN//accB//nrfC//eda//tadA//moaA//
GadW_neg	hyaC//cysH//sucD//
GadW_pos	cynT//dhaK//entE//uxaA//
GadX_neg	araA//thrS//
GadX_pos	glcD//fucO//glmS//sdhA//malZ//astD//xylB//galT//purN//entD//
GalR_neg	alkB//eda//pdeH//glxR//napH//dacC//
GalR_pos	folE//asnB//aceF//aceE//
GalS_neg	purF//ruvB//bglB//nrdE//fabB//entA//
GalS_pos	aceF//glxR//pdeL//phnH//
GatR_neg	frdC//uvrB//uvrB//
GcvA_neg	cysK//caiB//trpA//
GcvA_pos	fabH//dkgA//mltF//
GlcC_neg	
GlcC_pos	gadB//sgbE//moaE//
GlpR_neg	bacA//yqjH//ruvB//prpE//astB//ada//lldD//
GlrR_pos	
GntR_neg	nfsA//bioF//cysE//asnA//acnB//dmsA//atoB//ynfE//sdhC//
GutM_pos	patA//xapA//tyrA//
GutR_neg	cdd//argA//rffG//
