# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	phnM//hmp//
AcrR_neg	ubiC//glcB//
Ada_neg	xapA//moaE//
Ada_pos	glmS//wecB//cysM//bioA//
AdiY_pos	cyoE//pagP//trpE//serA//
AgaR_neg	metB//
AidB_neg	puuA//
AlaS_neg	lsrG//
AllR_neg	lyxK//pflB//glcF//trpA//paaC//hycE//
AllS_pos	allA//phnN//argG//
AlsR_neg	hcaD//gpmA//cysG//
AppY_pos	hcaB//mhpD//
AraC_neg	asnB//hyaC//argB//gdhA//napG//
AraC_pos	glk//torA//hypF//sodA//hcaD//
ArgP_neg	
ArgP_pos	dapD//paaC//pheS//fadE//guaB//fucA//ftsI//rhaA//cysC//
ArgR_neg	fadB//ilvC//speA//wecB//phnO//xapA//eno//gudD//rffG//wecC//betB//leuB//icd//allB//lpxA//mtlD//idnK//lpxC//
ArgR_pos	aldA//deoB//rffG//rsmH//glmU//
ArsR_neg	accD//glcD//
AscG_neg	yiaK//ndh//
AsnC_neg	allE//
AsnC_pos	nadB//
AtoC_pos	ulaG//phr//hyaC//
BaeR_pos	bioA//tdcG//
BasR_neg	ampC//
BasR_pos	xapA//lacZ//
BetI_neg	phnP//arsC//fes//
BirA_neg	ftsI//cysC//dacC//sucC//leuC//
BluR_neg	
BolA_neg	gatZ//ruvA//
BolA_pos	metK//add//
CadC_pos	polA//hycE//
CaiF_pos	murG//pflB//paaA//fadJ//tyrB//
Cbl_pos	tdcD//carA//puuA//ynfE//lysC//
CdaR_pos	ruvB//nirD//edd//uvrB//phnI//tehB//moeB//tdcE//paaA//
CecR_neg	
ChbR_neg	mraY//edd//sucD//
ChbR_pos	nrfC//asnB//citC//
ComR_neg	
CpxR_neg	ppsA//garL//aldA//
CpxR_pos	argG//sdhA//lacA//sucB//entE//dmsB//zwf//bioA//narH//umpH//malS//fucU//yfdE//puuB//fadE//deoC//ulaE//rffT//
Cra_neg	tyrA//feaB//ruvB//gadB//sodA//metC//entD//uxaA//fadI//glnA//betA//lyxK//tdcG//alaC//carA//napC//wzb//cysH//wecC//fdhF//mhpF//arsC//entH//murE//paaC//rffH//bioD//ada//yeaG//deoC//nrdA//nemA//glgB//folE//pdeL//hypF//hcaE//accC//mngB//deoD//glyA//hmp//murQ//rnpB//hmp//fadM//
Cra_pos	ssuE//lsrG//bglB//accA//recF//dapD//allC//talA//katE//nanM//entF//gnd//tauD//umuD//hyi//aceB//paaF//
