# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	purA//tdcD//
AcrR_neg	rffC//glgA//
Ada_neg	mazG//melA//
Ada_pos	frdA//putA//asnA//bioB//
AdiY_pos	paaB//sgbE//talA//atoB//
AgaR_neg	pepD//
AidB_neg	fabA//
AlaS_neg	srlD//
AllR_neg	dgkA//recF//gadB//alaS//hycF//citX//
AllS_pos	ssuE//glpX//trpA//
AlsR_neg	tam//trpD//fumB//
AppY_pos	nanK//idnO//
AraC_neg	cyoE//tdcD//pfkA//fadA//xylB//
AraC_pos	xylA//dinB//eno//lyxK//purB//
ArgP_neg	
ArgP_pos	fbaA//ruvA//purM//ulaD//idnK//fes//sucA//ilvC//fucI//
ArgR_neg	astC//frdA//phoA//kbaY//codA//accB//moeA//araB//iscS//folA//gabD//sdhB//metL//chbF//yeaG//guaA//ttdA//kbaZ//
ArgR_pos	purH//poxB//putA//paaA//fadA//
ArsR_neg	mhpA//fabB//
AscG_neg	amn//murE//
AsnC_neg	epd//
AsnC_pos	yeaE//
AtoC_pos	fadH//fucO//ogt//
BaeR_pos	zwf//hyaC//
BasR_neg	lyxK//
BasR_pos	cynT//ascB//
BetI_neg	purH//betA//pyrC//
BirA_neg	metE//hycD//caiB//tdcD//chbF//
BluR_neg	
BolA_neg	tam//sdhC//
BolA_pos	rutE//ada//
CadC_pos	mraY//sgbH//
CaiF_pos	allA//nagB//dgcC//moaE//rffC//
Cbl_pos	paaB//slt//rffM//idnO//phr//
CdaR_pos	gltD//ppc//idnK//yeaE//sucB//paaC//cynT//fumB//umuD//
CecR_neg	
ChbR_neg	tktB//paaA//katG//
ChbR_pos	purN//paaI//rhaB//
ComR_neg	
CpxR_neg	chbF//tktB//sucA//
CpxR_pos	purD//aspA//icd//moaA//prpE//lldD//bioA//hcaD//aceA//prs//glcE//argF//tdcE//rutE//hemL//appA//fadH//codA//
Cra_neg	moeA//wzc//nirD//lpxC//ssuE//serA//bioD//mhpD//metA//wrbA//malS//tdcD//napG//chbG//hycB//argG//wrbA//mnmG//uvrC//ttdB//puuE//citG//mpl//zwf//sucA//talA//gadA//pheS//citF//speA//fau//entE//fadI//ssuD//hycB//uvrA//hemL//ribA//gatD//phoA//ulaF//fbaA//asnB//nrfC//pheS//torC//
Cra_pos	mnmG//rhaD//glgB//allA//nfsA//fucK//gpmM//phnG//purN//entD//cysI//edd//serA//ilvC//hycB//nagA//bioC//
CreB_neg	nrdD//
CreB_pos	purE//
CsgD_neg	pgaC//ppsA//
CsgD_pos	eda//cynS//ftnA//
CsiR_neg	ugpQ//katG//speB//adhE//
CspA_pos	ppsA//
CueR_neg	hcaE//hycF//
CueR_pos	dapD//ruvB//
CusR_pos	sdhC//xylB//ilvC//
CynR_neg	
CynR_pos	paaK//katG//kbaZ//
CysB_neg	fbaB//glyA//uxaA//
CysB_pos	cyoE//phnL//tehB//fucU//fadM//entB//chbF//allC//deoA//galK//tdcD//cysM//nirB//eno//mhpA//
CytR_neg	dapB//ahpC//talA//cysE//lpxD//nfsA//ung//sodA//speB//fadE//
Dan_pos	argA//dapB//
DcuR_pos	wzb//tnaA//idnO//speA//
DeoR_neg	nrfB//icd//rbsD//dgcZ//allB//argA//
DhaR_neg	
DhaR_pos	gatD//
DicA_neg	
DinJ-YafQ_neg	ulaF//
DnaA_neg	mtlD//zwf//paaE//rpiB//aroH//
DnaA_pos	fruK//glyA//pdeH//
DpiA_neg	
DpiA_pos	cueO//deoC//fadD//fabD//garR//
DsdC_neg	
DsdC_pos	dmsB//mhpC//
EbgR_neg	
EnvR_neg	ahpC//metF//
EnvY_pos	slt//murC//
EvgA_pos	alkB//carB//chbG//umpH//gpmM//sgbU//
ExuR_neg	dapD//paaB//bioB//acnB//gltB//mhpE//
FabR_neg	patA//slt//
FadR_neg	carA//rutC//paaF//cysJ//acnA//murC//polA//citX//sdhD//
FadR_pos	mhpC//ahpF//phoA//tnaA//mngB//phr//lpxA//gatY//paaI//
FeaR_pos	fabH//paaC//
