# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	fau//glcB//
AcrR_neg	malP//lysA//
Ada_neg	ndh//waaZ//
Ada_pos	acnA//glgB//malQ//betB//
AdiY_pos	pgaC//paaG//pgi//ybaS//
AgaR_neg	argE//
AidB_neg	katE//
AlaS_neg	gcvP//
AllR_neg	citC//aspC//gatD//rfe//rutE//hcp//
AllS_pos	fadM//deoD//allA//
AlsR_neg	purD//aroH//nfsB//
AppY_pos	rnpB//gatD//
AraC_neg	sdhD//fadI//murC//rffH//gatZ//
AraC_pos	fadJ//garL//mhpD//leuB//gnd//
ArgP_neg	
ArgP_pos	codA//aceF//sdhD//accC//mnmG//araB//pepD//nagA//citX//
ArgR_neg	malZ//waaZ//mpaA//bioD//yfdE//lsrK//purF//trpC//chbG//ogt//gpmM//cysK//entA//moaD//xylB//mpl//patD//rffH//
ArgR_pos	rimK//fadA//poxB//phnJ//argC//
ArsR_neg	lyxK//nrfD//
AscG_neg	melA//rffG//
AsnC_neg	rhaD//
AsnC_pos	umuC//
AtoC_pos	fadD//pflB//accD//
BaeR_pos	fucU//glgC//
BasR_neg	nrdD//
BasR_pos	asnA//psd//
BetI_neg	narI//murQ//pdeL//
BirA_neg	murD//aceB//fdhF//entA//gadA//
BluR_neg	
BolA_neg	ppiA//fabA//
BolA_pos	ahpC//yeaE//
CadC_pos	murF//murE//
CaiF_pos	hycC//hycB//glcE//nrdE//araD//
Cbl_pos	cysE//yfdE//glpA//entH//purC//
CdaR_pos	speB//glpX//napG//glcF//paaZ//garD//cysH//wzc//glpC//
CecR_neg	
ChbR_neg	lacA//carA//fadB//
ChbR_pos	frdB//prpB//gor//
ComR_neg	
CpxR_neg	relA//waaZ//nagB//
CpxR_pos	allA//sucD//asnA//garR//fau//oxc//glnA//ldtB//lldD//ilvC//appA//metB//lpxA//hemL//lldD//ubiC//pgi//hyi//
Cra_neg	ldtC//guaA//dgcC//slt//argI//murD//sdhD//fucO//moaD//galK//argG//ubiC//lpxD//caiD//nrdB//astA//araD//hycF//dacC//nanK//garK//gatY//fabD//cynT//lacZ//paaB//rutC//garD//garD//sgbH//guaB//ssuE//acnA//leuC//mngB//fadB//glmS//glyA//argB//purL//puuA//pdeH//umuC//lpxA//dmsA//deoC//
Cra_pos	phnM//appA//glcD//araB//metH//uidA//xylB//rutA//ung//rdoA//sufS//prpB//pagP//yibQ//sufS//purL//aroL//
CreB_neg	kbaZ//
CreB_pos	caiC//
CsgD_neg	polB//ssuE//
CsgD_pos	putA//deoB//murI//
CsiR_neg	gapA//tyrB//aceB//xapA//
CspA_pos	glpQ//
CueR_neg	xylA//guaA//
CueR_pos	pykF//ynfE//
CusR_pos	fbaB//puuB//fucU//
CynR_neg	
CynR_pos	glk//purB//malQ//
CysB_neg	nadB//ulaE//fadE//
CysB_pos	serA//glmU//deoC//mhpB//atoA//cysH//ppiA//uxaA//serA//purN//dhaK//paaE//sufS//ung//gcl//
CytR_neg	glcB//mhpD//sgbU//ubiX//argG//metB//udp//mhpA//murE//ulaF//
Dan_pos	ogt//ruvA//
DcuR_pos	glmS//entE//puuD//aroL//
DeoR_neg	gcvP//ssuE//xylB//astD//lldD//glpC//
DhaR_neg	
DhaR_pos	atoD//
DicA_neg	
DinJ-YafQ_neg	hmp//
DnaA_neg	dkgB//idnO//nadA//ogt//ftnA//
DnaA_pos	fes//arsC//edd//
DpiA_neg	
DpiA_pos	araA//pflB//chbF//rutD//allA//
DsdC_neg	
DsdC_pos	mazG//sdhB//
EbgR_neg	
EnvR_neg	galT//mhpC//
EnvY_pos	nrdD//rutB//
EvgA_pos	purD//ulaD//cysE//betA//citG//araA//
ExuR_neg	paaY//murF//purL//frdB//fadI//oxc//
FabR_neg	pgk//phnM//
FadR_neg	paaJ//metE//hyaB//lhgO//purB//bioD//mngB//nrdF//xylB//
FadR_pos	mnmG//thrS//napA//pyrD//leuD//glcE//gcvT//caiA//nagB//
FeaR_pos	cysN//entA//
FhlA_pos	ung//ugpQ//gatD//nrdE//mhpB//malP//ycjG//
FlhDC_neg	moaE//wecB//
FlhDC_pos	nfsB//patD//citC//ycjG//paaJ//yibQ//hycD//entB//galT//
FliZ_neg	entD//speA//argI//rimK//purE//
