# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	mhpE//malQ//
AcrR_neg	glxK//adiA//
Ada_neg	tam//bglB//
Ada_pos	malZ//phnH//pfkA//malP//
AdiY_pos	argB//leuD//gltD//betA//
AgaR_neg	ruvA//
AidB_neg	gatY//
AlaS_neg	rffM//
AllR_neg	hcaD//argA//lldD//lacA//phnL//murQ//
AllS_pos	argG//torA//lpd//
AlsR_neg	yeaE//tynA//glpX//
AppY_pos	araD//cysK//
AraC_neg	ung//prpD//metH//bacA//ada//
AraC_pos	polA//metE//argG//kbaY//fabZ//
ArgP_neg	
ArgP_pos	katE//dkgB//araD//entE//ppc//metF//napC//umpH//aceB//
ArgR_neg	ttdA//pdeL//nanE//argB//pdeL//pyrC//frdC//glgA//pck//nrfB//serA//citG//hyaB//frdB//nrfD//bglB//sgbU//pgk//
ArgR_pos	tnaA//fadI//sdhD//puuD//fucI//
ArsR_neg	araA//hcaC//
AscG_neg	ftnA//araA//
AsnC_neg	mdh//
AsnC_pos	trpA//
AtoC_pos	rutD//moaE//hypB//
BaeR_pos	mpl//paaZ//
BasR_neg	nanA//
BasR_pos	malQ//cysC//
BetI_neg	gpmA//eno//napC//
BirA_neg	malZ//phnO//trpE//patD//tnaA//
BluR_neg	
BolA_neg	dmsA//rhaA//
BolA_pos	nanM//hcaE//
CadC_pos	fabZ//lysC//
CaiF_pos	puuD//yeaE//dgcC//mhpB//putA//
Cbl_pos	mnmG//hycF//paaC//idnO//tehB//
CdaR_pos	murG//psd//mraY//glcF//nfsB//moaA//rutB//gadA//prpD//
CecR_neg	
ChbR_neg	hycF//fabZ//nanA//
ChbR_pos	argD//yeaG//glyA//
ComR_neg	
CpxR_neg	lsrF//melA//yibQ//
CpxR_pos	mngB//bioC//moaD//caiB//metH//fruK//pgpC//dkgA//tam//rdoA//uxuA//nrdF//bacA//truB//hemH//bioB//yfbR//argA//
Cra_neg	gdhA//cadA//cysK//cueO//fadE//polA//wecB//ppiA//ldtC//ycjG//putA//fabG//pgm//xylA//argF//uvrB//torA//puuC//glmS//rbsD//nirB//murQ//cynS//yeaE//metE//phnN//narI//idnK//patA//putA//tauD//fabD//entC//galK//talA//gor//astD//pgaB//gcvP//glcB//chbG//fabD//ssuE//citF//nanM//malY//
Cra_pos	puuE//murC//cysE//gcvP//caiA//guaB//phnP//relA//nfsA//sdhD//ulaE//hmp//purL//alkA//paaB//phnH//bioB//
CreB_neg	aroL//
CreB_pos	caiB//
CsgD_neg	bacA//feaB//
CsgD_pos	melA//phnG//nrdF//
CsiR_neg	carA//fucA//gatY//sucA//
CspA_pos	eda//
CueR_neg	sucC//dinB//
CueR_pos	tdcB//dgcZ//
CusR_pos	ldtB//gudD//galE//
CynR_neg	
CynR_pos	amn//bioD//hcaC//
CysB_neg	hyaB//nirB//pgaB//
CysB_pos	fadB//puuE//aspC//cysC//mhpB//umpH//mnmG//malS//chbG//speB//tyrB//kbaZ//dhaK//aceA//hyaB//
