# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	gcvP//purC//
AcrR_neg	glyA//hemL//
Ada_neg	ampC//trpE//
Ada_pos	idnD//mpl//gnd//narH//
AdiY_pos	murF//allA//prpC//citF//
AgaR_neg	glpQ//
AidB_neg	garL//
AlaS_neg	fruK//
AllR_neg	murQ//arsC//argI//nrdA//uidA//cysD//
AllS_pos	glpC//edd//frdB//
AlsR_neg	folA//fadA//dmsC//
AppY_pos	aspC//puuA//
AraC_neg	galT//pncB//umuD//alkA//rffG//
AraC_pos	garD//sgbH//malP//fes//phnI//
ArgP_neg	
ArgP_pos	rdoA//sdhC//accD//hypF//atoB//purH//uxuA//yfdE//deoB//
ArgR_neg	fbaA//guaB//citX//ldtB//tktB//gcvT//idnD//ubiC//uxaC//phnI//nrdD//allB//moaD//deoB//astA//uvrC//uidA//ampC//
ArgR_pos	pepD//glgP//alkB//lsrG//dmsB//
ArsR_neg	fes//hemH//
AscG_neg	uvrC//rutC//
AsnC_neg	phnN//
AsnC_pos	fumC//
AtoC_pos	ldtD//gabT//ubiA//
BaeR_pos	nrfB//argE//
BasR_neg	hycE//
BasR_pos	uidA//dmsA//
BetI_neg	lysA//ynfH//yeaG//
BirA_neg	puuA//cynT//bioA//bglB//accC//
BluR_neg	
BolA_neg	narG//gudD//
BolA_pos	pdeL//ruvA//
CadC_pos	mpl//alkB//
CaiF_pos	galE//murE//eda//aroL//hyaA//
Cbl_pos	umuD//polA//torC//accD//leuD//
CdaR_pos	nirB//phnJ//ogt//oxc//uvrA//hyaA//amn//hcaD//mnmG//
CecR_neg	
ChbR_neg	citF//glgB//asnA//
ChbR_pos	aceF//dapB//amn//
ComR_neg	
CpxR_neg	deoD//oxc//tauD//
CpxR_pos	patD//deoC//idnD//appA//fadJ//pagP//aceE//cyoE//lacZ//caiA//lhgO//lsrK//ubiX//mhpC//fucA//glnA//puuE//alkA//
Cra_neg	argA//aroF//dapB//glpA//frdC//gutQ//rhaB//accB//murI//argD//gcl//chbF//paaI//hycF//puuC//astD//caiA//argF//pdeL//argG//atoA//psd//umuC//cysH//gatZ//bacA//cysH//lyxK//fucK//hycE//malS//ychF//ldtC//atoB//kbaY//trpC//alkB//purH//dgcC//ubiX//fabH//citD//nanA//hcaB//yeaE//ychF//
Cra_pos	fucO//metC//ubiA//guaA//frdA//atoD//rfe//ftsI//rutA//lacZ//dkgA//gapA//ldtD//mhpD//ynfG//fucK//carA//
CreB_neg	lacA//
CreB_pos	tdcE//
CsgD_neg	rhaB//recF//
CsgD_pos	puuC//melA//hcaD//
CsiR_neg	araD//icd//eda//wecB//
CspA_pos	garK//
CueR_neg	ldtD//arsC//
CueR_pos	pspE//udp//
CusR_pos	gatY//nagB//alkA//
CynR_neg	
CynR_pos	rutB//fadI//rnpB//
CysB_neg	hyaC//lysC//rhaA//
CysB_pos	aldA//hycE//murG//citC//xylA//glmS//sodB//hyaC//udp//deoA//phnH//rhaB//napG//pheS//gcl//
CytR_neg	folE//lysA//pagP//gcl//cysJ//aldA//sgbE//folA//ulaE//frdA//
Dan_pos	ynfH//atoD//
DcuR_pos	betB//cysC//polB//leuD//
DeoR_neg	tauD//hypF//ribA//fdhF//tdcB//ssuD//
DhaR_neg	
DhaR_pos	tdcG//
DicA_neg	
DinJ-YafQ_neg	gor//
DnaA_neg	fbaB//fabD//mhpA//astB//uvrA//
DnaA_pos	glgC//bioB//talA//
DpiA_neg	
DpiA_pos	atoD//fes//hcaC//trpC//ftnA//
DsdC_neg	
DsdC_pos	prs//ulaD//
EbgR_neg	
EnvR_neg	sodA//aceE//
EnvY_pos	adhE//leuC//
EvgA_pos	phnN//argF//icd//glgP//nadA//metE//
ExuR_neg	malQ//relA//cysE//dmsC//gltD//frdB//
FabR_neg	talA//araD//
FadR_neg	ruvA//lpd//ilvC//ychF//ppsA//fes//puuB//astE//lsrF//
FadR_pos	yiaK//lpd//garD//cysK//kbaZ//fabG//mhpD//deoD//glxK//
FeaR_pos	lysC//waaY//
FhlA_pos	allE//pgpC//rutA//gor//pncB//dhaM//codA//
FlhDC_neg	leuD//pyrD//
FlhDC_pos	araD//gltD//allD//chbG//murF//garK//fadI//paaI//asnA//
FliZ_neg	nrdE//napG//pyrC//ampC//lsrK//
FucR_pos	gpmA//glpA//entB//feaB//idnK//ftnA//
Fur_neg	paaG//nagA//xylB//treC//pncB//hycC//sgbU//dinB//ttdA//nagA//serA//galT//lacZ//nanA//kbaY//paaJ//glcB//mhpC//astA//pgaC//nrfD//hypB//entD//astD//purB//galK//ampC//leuD//mtlD//fucK//gltD//ulaD//dgkA//melA//galT//mhpC//hcaD//relA//deoB//dgcZ//moaD//prpB//wzc//deoA//ulaE//citD//tdcE//tadA//dhaM//sucD//citE//fadI//ldtD//nagA//
Fur_pos	rutE//tdcD//add//pflB//trpC//cysN//sgbE//lacZ//chbG//ilvC//nagB//aceA//metE//argD//udp//pgaB//yeaG//
GadE-RcsB_pos	gudD//ulaD//cysM//gatY//
GadE_pos	nrdD//fabI//truB//alkB//puuB//tnaA//waaY//guaB//talA//rimK//
GadW_neg	rhaB//nrdE//nrfA//
GadW_pos	lacZ//fbaB//tyrB//nrfD//
GadX_neg	paaA//paaZ//
GadX_pos	gpmM//alsE//pyrC//serA//dmsC//bioF//feaB//entE//allB//pdeL//
GalR_neg	entC//galT//tehB//glpA//nrdB//glgP//
GalR_pos	accC//hycF//atoD//fabZ//
GalS_neg	pgaB//cysG//bglB//waaY//sucC//fadB//
GalS_pos	polB//lpd//garR//lacZ//
GatR_neg	napA//gntK//gutQ//
GcvA_neg	rhaA//glnA//garR//
GcvA_pos	argH//uvrC//glpX//
GlcC_neg	
GlcC_pos	lldD//frdA//moaD//
GlpR_neg	ttdB//rsmH//sufS//psd//yfbR//ulaD//bioB//
GlrR_pos	
GntR_neg	metA//pepD//lsrG//tpiA//fabG//aldA//citD//fabG//deoC//
GutM_pos	fadE//adiA//lyxK//
GutR_neg	dgkA//gcl//leuC//
HU_neg	tnaA//purD//guaB//galE//glgC//accA//nanK//
HU_pos	
HcaR_neg	
HcaR_pos	rffG//ppiA//
HdfR_neg	
HdfR_pos	
HigA_neg	ilvC//
HigB-HigA_neg	alsE//
HipAB_neg	argC//ubiC//
HipB_neg	amn//puuE//ldtD//
HyfR_pos	accA//
HypT_neg	araB//murQ//
HypT_pos	waaZ//deoC//dgkA//ybaS//pdeR//
IclR_neg	fucI//rffT//dhaK//
IdnR_neg	lsrK//entB//
IdnR_pos	xylA//malP//argD//dapD//
IlvY_neg	
IlvY_pos	ada//
IscR_neg	hmp//bioC//frdA//phnI//
IscR_pos	oxc//hyaB//
KdgR_neg	luxS//fucO//
KdpE_pos	rsmH//
LacI_neg	gutQ//lsrG//hcaF//
LeuO_neg	
LeuO_pos	dhaK//narI//arsC//glnA//xylA//appA//
LexA_neg	nirB//idnD//cysD//alkA//pagP//lysC//gnd//napC//sucD//ribA//ugpQ//paaG//hyaA//gudD//srlD//idnD//prpD//murE//nrfD//phnJ//glk//
LldR_neg	galM//waaH//
LldR_pos	gatZ//pgpC//
LrhA_neg	
LrhA_pos	
LsrR_neg	pdeR//katE//dapB//glgP//fucO//
LysR_neg	
LysR_pos	fadJ//
MalI_neg	metL//glgB//
MalT_pos	phnI//lacA//ddlB//wecC//luxS//nrdF//
MarA_neg	prpE//
MarA_pos	cynS//garR//moaA//ulaE//hemH//aroG//mraY//murI//fabI//ldtD//moaE//entC//sufS//nanE//hyaB//oxc//argI//carA//fbaA//umuD//paaH//nemA//
MarR_neg	
MatA_neg	ubiX//
MatA_pos	
MazE-MazF_neg	galT//
MazE_neg	patD//
McbR_neg	
McbR_pos	
MelR_neg	cynS//entB//
MelR_pos	nrdD//hemH//
MetJ_neg	gor//fabH//glmS//mhpB//cysC//galM//sdhA//prpD//rsmH//tktB//
MetR_neg	murI//
MetR_pos	acnA//fadB//fabI//cdd//
MhpR_pos	rsmH//rutB//narG//rutC//fumC//alaC//
Mlc_neg	pyrC//cysC//paaI//icd//
MlrA_pos	ynfF//
MngR_neg	torA//carA//
MntR_neg	malZ//
MntR_pos	sdhC//
ModE_neg	nanK//pflB//bioB//sucA//uxuA//ychF//tdcB//uvrB//
ModE_pos	lacA//garL//phnH//lysA//gcvH//gapA//
MprA_neg	cysD//pgaD//relA//
MqsA_neg	napB//argH//
MraZ_neg	hcaC//lsrF//ttdB//cysN//metH//dmsC//hcaD//glgB//sgbH//psd//alaC//
MtlR_neg	adhE//dhaM//leuD//
MurR_neg	gapA//mhpF//idnD//
MurR_pos	
Nac_neg	purN//gltD//accA//
Nac_pos	waaZ//polA//pgaC//pagP//ampC//metK//glgP//
NadR_neg	fes//dapB//fadB//pdeH//
NagC_neg	puuE//mhpE//talA//sodA//gcl//arsC//rpiB//bioA//metH//purH//bioD//malP//nirB//torA//uxuB//galE//kbaZ//wrbA//
NagC_pos	rsmH//cysH//
NanR_neg	glgX//ubiC//polA//araB//gloA//amn//
NanR_pos	
NarL_neg	pgaD//aldA//gatD//murC//iscS//cysM//asnA//paaJ//rffT//pyrD//purC//pagP//dmsC//metL//ubiX//sufS//tdcE//trpE//napB//ftnA//oxc//sdhA//guaA//hyaC//
NarL_pos	fabI//hycG//mdh//glcD//yiaK//trpD//hycD//sdhA//argB//nanK//kbaY//tyrB//fabZ//
